Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2021 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Aldino;04021001;Comune;182,082;73,450;84,060;5,985;60,350;26,580;65,755;11,242;7,567;5,000;77,110;24,600;;;
Andriano;04021002;Comune;39,110;47,660;34,400;;725,560;15,610;14,570;2,191;3,073;;21,780;15,210;19,040;;
Anterivo;04021003;Comune;;15,000;22,080;0,850;;7,800;11,880;1,855;1,727;0,450;25,730;6,000;;;
Appiano sulla strada del vino;04021004;Comune;2.235,870;125,470;981,340;33,090;387,900;218,170;260,330;127,995;57,365;76,600;611,380;222,075;268,580;;
Avelengo;04021005;Comune;191,480;;77,760;;32,180;22,460;4,300;16,664;10,872;2,750;99,680;12,060;;;
Badia;04021006;Comune;812,390;;380,582;13,899;75,254;121,514;38,062;44,429;8,898;13,903;378,863;55,200;;;
Barbiano;04021007;Comune;87,351;9,619;79,160;0,450;10,610;12,200;4,900;3,388;5,532;;87,560;;;;
Bolzano;04021008;Comune;12.651,410;913,630;8.593,480;82,180;2.570,088;870,800;2.624,510;543,770;213,525;429,730;5.004,450;622,960;854,730;;
Braies;04021009;Comune;119,932;1,484;45,010;1,760;15,144;12,959;20,499;3,702;6,813;;32,059;10,380;6,140;;
Brennero;04021010;Comune;171,130;11,684;165,300;;53,220;25,930;61,540;7,885;11,950;20,153;164,010;34,830;207,170;;
Bressanone;04021011;Comune;3.010,034;;2.204,745;2,449;769,330;289,727;255,936;204,737;88,077;223,384;1.042,569;293,408;718,000;;
Bronzolo;04021012;Comune;233,708;27,640;103,504;1,917;99,290;30,479;108,530;23,565;7,450;28,950;85,969;41,280;38,320;;
Brunico;04021013;Comune;2.532,580;251,003;1.578,686;22,366;438,723;187,128;193,731;110,424;66,305;50,381;756,901;224,730;644,080;;
Caines;04021014;Comune;33,186;9,007;18,562;;11,702;6,533;1,690;1,120;1,663;;15,610;5,805;8,480;;
Caldaro sulla strada del vino;04021015;Comune;809,745;51,690;556,790;25,420;240,860;140,230;202,750;68,667;48,691;30,970;510,760;122,775;61,740;;
Campo di Trens;04021016;Comune;196,320;15,512;152,220;1,160;24,860;40,590;43,660;13,035;9,975;18,759;81,920;38,760;32,630;;
Campo Tures;04021017;Comune;617,885;70,640;437,517;16,093;85,520;80,367;134,108;57,760;24,988;55,498;230,844;31,760;108,480;;
Castelbello-Ciardes;04021018;Comune;331,060;22,220;202,130;4,640;44,520;51,390;8,200;14,605;7,058;;164,670;35,430;;;
Castelrotto;04021019;Comune;954,722;82,350;492,895;19,959;96,064;136,132;142,596;56,929;20,149;7,180;373,097;77,050;;;
Cermes;04021020;Comune;171,196;;80,294;;33,674;16,517;5,357;9,359;3,838;6,077;77,897;16,474;;;
Chienes;04021021;Comune;393,530;137,800;190,070;4,980;0,400;35,701;19,770;8,182;8,800;12,290;109,240;18,080;43,220;;
Chiusa;04021022;Comune;546,540;205,480;322,135;;123,200;114,610;63,815;20,526;15,852;13,327;222,020;78,225;;;
Cornedo all\'Isarco;04021023;Comune;264,150;20,640;99,970;0,250;54,140;28,990;41,558;8,486;8,744;12,400;45,090;17,380;50,300;;
Cortaccia sulla strada del vino;04021024;Comune;412,960;;103,627;3,530;33,960;24,633;50,918;15,656;9,134;11,650;96,246;33,045;;;
Cortina sulla strada del vino;04021025;Comune;25,710;;33,580;1,380;;8,780;13,680;1,214;1,915;3,950;29,950;6,650;;;
Corvara in Badia;04021026;Comune;596,130;;243,193;5,435;29,426;54,805;14,883;17,374;9,801;5,436;194,770;22,365;;;
Curon Venosta;04021027;Comune;87,960;93,450;135,040;11,240;65,366;45,800;10,861;19,330;6,421;11,680;115,820;35,025;130,490;;
Dobbiaco;04021028;Comune;316,710;34,540;212,366;12,466;43,169;48,807;101,565;23,116;13,021;14,980;140,085;35,499;96,460;;
Egna;04021029;Comune;332,130;;245,630;9,750;161,140;48,580;115,930;37,894;16,557;13,450;183,980;82,095;;;
Falzes;04021030;Comune;395,150;101,580;165,891;6,334;;35,796;48,342;12,914;9,680;10,480;92,366;44,790;130,000;;
Fie allo Sciliar;04021031;Comune;237,980;47,150;239,470;5,270;82,430;69,760;106,960;22,971;10,043;10,900;216,160;54,690;232,110;;
Fortezza;04021032;Comune;58,840;24,000;62,560;0,030;6,245;7,038;30,940;3,555;1,985;5,701;44,550;;;;
Funes;04021033;Comune;204,410;69,720;116,530;;;42,690;33,770;13,257;6,524;6,519;96,050;;;;
Gais;04021034;Comune;367,980;62,550;207,720;6,230;89,220;52,239;39,670;17,496;14,288;12,873;118,039;48,375;104,130;;
Gargazzone;04021035;Comune;258,115;4,891;89,370;0,349;7,607;13,905;15,171;10,159;2,741;4,607;79,246;3,913;7,380;;
Glorenza;04021036;Comune;46,816;4,253;37,766;4,316;1,695;13,002;2,961;10,831;7,284;2,573;77,964;8,606;;;
La Valle;04021117;Comune;56,200;0,140;96,432;;;6,370;;;1,916;;48,612;;;;
Laces;04021037;Comune;732,206;34,122;284,520;11,085;72,448;71,840;19,263;38,111;16,515;16,670;208,890;52,330;;;
Lagundo;04021038;Comune;778,960;63,220;265,400;;105,720;60,400;19,400;35,759;26,313;10,000;237,900;60,250;39,380;;
Laion;04021039;Comune;152,940;34,570;113,310;0,050;56,650;26,260;31,280;7,583;6,878;15,000;65,960;40,950;;;
Laives;04021040;Comune;1.617,330;281,950;1.105,370;34,530;485,892;186,392;475,760;91,375;49,258;77,839;757,338;235,160;234,070;;
Lana;04021041;Comune;1.124,799;42,929;773,702;3,685;66,771;103,721;104,784;89,175;34,103;85,331;479,538;34,349;409,310;;
Lasa;04021042;Comune;191,125;35,447;342,553;9,395;69,331;51,582;15,435;28,998;10,787;2,144;159,430;61,305;;;
Lauregno;04021043;Comune;;;9,660;0,140;;0,760;0,720;0,001;0,066;;4,600;;3,400;;
Luson;04021044;Comune;99,320;19,290;74,585;;33,690;34,230;4,980;6,736;4,624;2,791;65,125;23,250;;;
Magre sulla strada del vino;04021045;Comune;76,550;72,976;58,753;1,791;;14,097;29,142;8,959;3,134;;41,964;;;;
Malles Venosta;04021046;Comune;80,371;59,793;329,159;8,125;77,400;51,106;16,034;41,678;16,210;21,134;182,970;77,295;142,890;;
Marebbe;04021047;Comune;328,880;58,340;195,813;7,230;35,920;59,946;16,940;19,697;12,069;;184,898;48,045;;;
Marlengo;04021048;Comune;331,794;29,370;142,746;;59,866;29,363;9,523;16,121;11,384;10,803;138,483;29,286;22,200;;
Martello;04021049;Comune;5,690;8,592;38,160;3,095;13,980;19,840;3,600;5,596;5,173;2,100;43,400;12,405;;;
Meltina;04021050;Comune;35,080;25,530;65,460;;;12,840;13,320;8,882;3,125;6,110;45,600;25,545;11,110;;
Merano;04021051;Comune;3.192,200;;2.946,240;17,460;8,120;385,560;163,770;249,091;105,209;239,930;2.064,570;55,250;;;
Monguelfo-Tesido;04021052;Comune;483,128;1,546;169,207;7,426;56,986;48,207;80,980;14,808;11,773;17,105;123,139;43,305;55,460;;
Montagna;04021053;Comune;143,560;97,460;85,750;2,570;;32,490;43,970;11,933;6,142;6,450;82,790;25,530;18,020;;
Moso in Passiria;04021054;Comune;74,073;15,480;101,371;1,106;16,404;16,547;6,831;9,264;4,752;5,340;69,083;29,446;39,940;;
Nalles;04021055;Comune;324,620;48,140;107,620;;74,880;31,680;6,940;12,268;8,765;6,240;85,700;3,420;;;
Naturno;04021056;Comune;1.352,390;22,360;441,340;;;56,460;25,050;31,239;21,644;31,500;280,920;3,750;21,250;;
Naz-Sciaves;04021057;Comune;484,803;45,636;211,636;3,669;34,041;34,014;27,461;15,857;6,809;16,081;150,831;11,713;;;
Nova Levante;04021058;Comune;268,460;83,710;128,090;8,770;;22,790;99,810;15,580;7,929;2,200;119,310;23,350;;;
Nova Ponente;04021059;Comune;474,420;136,360;334,010;23,830;116,520;84,590;90,740;33,101;8,359;8,400;177,000;;24,820;;
Ora;04021060;Comune;451,040;9,980;149,820;;65,250;30,480;124,160;33,996;22,245;9,620;134,450;34,960;54,640;;
Ortisei;04021061;Comune;670,018;;443,419;1,357;129,923;133,116;102,164;48,089;4,952;27,400;370,291;;;;
Parcines;04021062;Comune;562,258;;225,220;3,260;72,930;56,960;15,502;47,073;20,194;30,100;166,300;58,545;82,180;;
Perca;04021063;Comune;173,172;20,404;151,733;2,090;40,324;19,866;17,772;8,581;4,930;4,842;91,353;17,200;6,820;;
Plaus;04021064;Comune;134,920;5,060;27,120;;4,980;7,780;2,060;0,006;0,829;0,740;24,140;10,680;;;
Ponte Gardena;04021065;Comune;22,540;5,990;24,530;0,030;2,815;4,980;6,600;1,775;0,934;5,650;9,650;;;;
Postal;04021066;Comune;176,686;6,521;67,027;0,466;10,142;14,673;15,455;13,546;4,307;6,143;61,315;5,218;31,760;;
Prato allo Stelvio;04021067;Comune;254,715;13,355;209,317;8,832;25,217;42,944;15,343;29,490;11,531;20,952;167,702;53,804;;;
Predoi;04021068;Comune;26,330;;22,964;;;3,299;0,660;0,899;2,004;3,669;17,440;;;;
Proves;04021069;Comune;;4,940;12,060;0,340;;7,560;;3,340;0,290;;11,560;;6,390;;
Racines;04021070;Comune;423,600;23,230;326,480;0,050;61,470;58,500;103,690;33,387;16,723;30,491;305,720;61,110;;;
Rasun-Anterselva;04021071;Comune;463,480;3,000;211,394;8,691;2,780;40,326;79,117;21,007;10,478;30,555;168,806;43,860;73,360;;
Renon;04021072;Comune;500,760;52,370;369,520;9,040;243,212;82,400;95,820;44,544;10,757;51,500;387,260;74,830;76,640;;
Rifiano;04021073;Comune;105,094;28,523;58,778;;37,058;20,687;5,350;3,547;4,108;14,320;49,430;20,370;12,010;;
Rio di Pusteria;04021074;Comune;403,240;77,578;253,552;0,998;53,778;74,923;68,307;15,420;10,927;5,620;181,205;48,090;;;
Rodengo;04021075;Comune;97,980;18,233;70,257;2,506;27,066;21,970;15,620;6,464;4,059;;45,691;;77,320;;
Salorno;04021076;Comune;206,550;83,920;185,640;7,260;154,170;64,550;108,100;33,069;11,753;21,950;146,910;56,670;;;
