Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2022 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Ala;04022001;Comune;878,880;50,920;498,209;11,680;183,240;113,541;456,502;50,195;13,741;23,600;329,820;132,090;63,050;;
Albiano;04022002;Comune;112,421;;77,942;6,807;34,115;15,401;58,665;8,987;2,459;7,833;60,730;22,545;;;
Aldeno;04022003;Comune;369,300;;181,100;14,796;83,360;43,120;130,797;21,001;3,716;16,762;129,370;48,420;;;
Altavalle;04022235;Comune;92,740;;87,516;7,945;27,380;29,532;68,484;9,266;1,952;9,142;70,831;22,033;40,640;;
Altopiano Della Vigolana;04022236;Comune;801,575;;349,213;21,103;98,763;55,139;129,939;32,615;12,441;18,422;232,630;76,650;157,476;;
Amblar-Don;04022237;Comune;58,423;;38,557;1,701;25,948;10,397;16,836;5,343;1,914;1,717;22,062;8,145;;;
Andalo;04022005;Comune;735,948;;344,613;20,498;103,729;55,085;183,445;21,530;3,044;15,853;212,518;17,205;82,960;;
Arco;04022006;Comune;2.406,609;123,364;1.256,218;86,966;510,921;172,898;860,274;94,203;27,263;7,335;794,610;140,398;212,400;;
Avio;04022007;Comune;445,100;47,155;215,727;7,700;94,440;50,264;142,619;27,128;7,214;9,860;145,030;61,470;23,890;;
Baselga di Pine;04022009;Comune;820,367;;357,399;21,599;101,079;56,431;132,986;33,381;12,733;18,854;238,084;76,905;161,168;;
Bedollo;04022011;Comune;239,979;;104,549;6,318;29,568;16,508;38,903;9,764;3,724;5,515;69,646;22,200;47,146;;
Besenello;04022013;Comune;210,856;;152,994;2,660;86,764;32,360;114,515;18,282;5,310;7,141;92,860;41,655;11,070;;
Bieno;04022015;Comune;31,740;;25,538;1,638;12,888;6,424;13,670;4,378;1,384;0,217;19,260;5,870;9,675;;
Bleggio Superiore;04022017;Comune;175,084;;128,136;41,563;48,084;23,256;54,495;17,153;3,764;1,701;92,294;22,755;;;
Bocenago;04022018;Comune;46,272;;33,864;10,983;12,708;6,147;14,402;4,534;0,995;0,449;24,392;5,925;;;
Bondone;04022021;Comune;79,243;;57,994;18,808;21,763;10,526;24,665;7,763;1,703;0,770;41,773;9,615;;;
Borgo Chiese;04022238;Comune;222,721;;162,999;52,876;61,167;29,584;69,321;21,819;4,789;2,163;117,406;28,920;;;
Borgo d\'Anaunia;04022252;Comune;292,645;;193,134;8,521;129,978;52,084;84,336;26,764;9,583;8,603;110,510;37,665;;;
Borgo Lares;04022239;Comune;82,540;;60,406;19,592;22,668;10,963;25,691;8,087;1,775;0,802;43,510;10,710;;;
Borgo Valsugana;04022022;Comune;1.042,505;49,954;386,882;24,802;196,232;97,315;207,085;67,308;24,242;3,285;291,772;88,924;146,564;;
Brentonico;04022025;Comune;421,820;;259,495;4,560;126,180;58,195;214,990;31,712;6,260;8,160;237,720;61,155;;;
Bresimo;04022026;Comune;26,759;;17,660;0,780;11,885;4,762;7,712;2,446;0,876;0,787;10,105;3,720;;;
