Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2017 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Ala;04022001;Comune;930,919;;492,875;42,830;168,647;90,388;362,639;61,983;15,601;39,119;285,520;133,305;;;
Albiano;04022002;Comune;178,400;;109,071;7,288;37,807;20,817;64,867;10,996;2,399;2,821;58,179;22,230;;;
Aldeno;04022003;Comune;367,935;;224,948;15,031;77,973;42,933;133,782;22,677;4,949;5,819;119,989;46,995;;;
Altavalle;04022235;Comune;214,105;;130,899;8,747;45,373;24,984;77,849;13,197;2,879;3,386;69,822;24,480;;;
Altopiano Della Vigolana;04022236;Comune;479,077;;361,109;15,027;86,573;69,961;111,363;34,912;15,800;15,310;184,998;75,225;;;
Amblar-Don;04022237;Comune;64,976;;40,460;5,564;23,373;10,255;18,127;5,414;1,786;1,441;21,696;7,545;;;
Andalo;04022005;Comune;477,711;;292,063;19,516;101,236;55,744;173,697;29,443;6,425;7,555;155,788;16,530;;;
Arco;04022006;Comune;2.381,855;;1.193,665;125,792;378,294;219,829;1.226,752;143,205;20,961;9,396;120,444;257,907;;;
Avio;04022007;Comune;446,727;;240,785;19,168;109,289;55,590;167,492;37,783;9,386;20,330;140,170;61,365;;;
Baselga di Pine;04022009;Comune;624,203;;428,440;28,839;114,856;87,261;133,433;38,897;17,069;13,809;230,447;57,920;;;
Bedollo;04022011;Comune;180,311;;118,204;6,036;37,970;31,646;36,856;12,929;4,683;3,811;63,624;13,856;;;
Besenello;04022013;Comune;268,458;;155,137;11,421;73,652;30,503;96,448;22,467;4,900;4,534;82,110;39,945;;;
Bieno;04022015;Comune;40,234;;23,898;2,684;7,008;7,729;20,536;3,665;1,374;0,197;12,188;6,495;;;
Bleggio Superiore;04022017;Comune;157,245;;116,158;10,422;34,841;22,017;72,686;13,030;2,606;3,783;72,470;23,595;;;
Bocenago;04022018;Comune;45,003;;33,243;2,983;9,971;6,301;20,802;3,730;0,747;1,083;20,740;5,895;;;
Bondone;04022021;Comune;63,886;;47,194;4,235;14,155;8,945;29,532;5,294;1,059;1,537;29,444;10,005;;;
Borgo Chiese;04022238;Comune;178,599;;131,931;11,838;39,572;25,007;82,557;14,800;2,961;4,296;82,311;30,225;;;
Borgo Lares;04022239;Comune;66,181;;48,887;4,386;14,664;9,266;30,591;5,485;1,097;1,592;30,501;10,650;;;
Borgo Valsugana;04022022;Comune;678,358;;405,474;41,301;128,854;94,261;322,071;55,611;12,639;3,007;135,080;101,018;;;
Brentonico;04022025;Comune;452,157;;264,921;19,722;115,243;47,994;168,141;36,533;8,020;14,930;195,380;59,415;;;
Bresimo;04022026;Comune;26,419;;16,450;2,263;9,503;4,170;7,371;2,201;0,727;0,586;8,822;3,735;;;
Brez;04022027;Comune;83,031;;51,701;7,111;29,868;13,103;23,166;6,917;2,283;1,841;27,724;11,340;;;
Caderzone Terme;04022029;Comune;94,682;;69,942;6,275;20,979;13,257;43,766;7,846;1,568;2,278;43,636;10,035;;;
Cagno;04022030;Comune;35,599;;22,167;3,050;12,806;5,618;9,932;2,967;0,978;0,789;11,886;4,950;;;
