Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2020 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Aldino;04021001;Comune;188,906;89,190;87,420;11,270;79,510;28,400;58,510;11,875;8,287;4,550;77,160;4,200;7,950;;
Andriano;04021002;Comune;65,260;104,040;64,550;;161,960;28,400;38,810;2,733;4,541;;45,240;15,555;11,050;;
Anterivo;04021003;Comune;;14,640;8,870;9,150;;5,790;12,160;3,830;1,475;0,900;23,480;6,045;;;
Appiano sulla strada del vino;04021004;Comune;2.408,230;127,220;962,388;36,899;378,100;245,353;255,367;117,198;53,348;66,700;559,253;222,255;156,360;;
Avelengo;04021005;Comune;190,080;18,810;75,420;;22,680;13,440;4,680;10,110;6,258;3,250;110,100;12,015;;;
Badia;04021006;Comune;942,320;46,688;443,118;29,795;71,706;148,977;68,517;41,360;8,742;10,598;520,734;52,995;97,410;;
Barbiano;04021007;Comune;95,280;14,552;76,440;0,680;17,065;17,090;4,700;4,478;5,910;;82,655;;;;
Bolzano;04021008;Comune;12.652,230;940,820;8.618,872;81,930;2.208,720;864,270;2.405,840;538,067;195,277;459,212;4.872,200;566,380;561,260;;
Braies;04021009;Comune;138,552;6,100;52,887;1,878;0,970;14,204;20,036;3,255;5,569;;42,219;10,110;12,836;;
Brennero;04021010;Comune;183,030;6,205;166,420;;23,060;26,520;60,905;7,960;8,683;19,462;166,040;34,320;211,640;;
Bressanone;04021011;Comune;2.658,146;245,744;2.151,040;19,369;735,796;312,491;252,528;212,295;82,111;15,545;969,078;268,768;493,850;;
Bronzolo;04021012;Comune;287,596;24,050;95,164;18,002;96,520;28,191;107,705;20,206;7,039;29,040;85,478;41,610;39,270;;
Brunico;04021013;Comune;2.931,445;38,880;1.562,855;14,858;443,555;193,234;196,731;100,591;70,932;132,992;723,224;247,420;295,750;;
Caines;04021014;Comune;33,222;9,276;18,029;;11,525;7,253;1,306;2,275;1,161;;13,742;5,925;;;
Caldaro sulla strada del vino;04021015;Comune;635,620;53,940;522,510;22,420;217,070;128,130;190,940;57,597;43,561;31,580;441,420;120,585;;;
Campo di Trens;04021016;Comune;226,080;17,500;142,440;1,240;26,440;27,540;37,150;14,782;9,988;16,900;80,280;27,530;28,760;;
Campo Tures;04021017;Comune;605,640;60,340;428,101;15,342;65,580;78,271;127,686;78,751;26,404;42,006;232,066;32,660;50,360;;
Castelbello-Ciardes;04021018;Comune;350,340;20,146;271,650;2,655;37,880;44,510;7,434;8,503;6,642;;102,880;34,815;;;
Castelrotto;04021019;Comune;1.010,806;77,820;511,975;17,495;93,118;161,697;144,296;50,952;19,491;;392,072;58,330;;;
Cermes;04021020;Comune;167,311;;81,687;;35,518;18,748;5,148;9,280;4,497;5,706;67,248;9,706;;;
Chienes;04021021;Comune;402,250;145,280;209,883;4,335;;29,677;16,398;8,869;9,465;11,373;108,818;10,800;;;
Chiusa;04021022;Comune;388,590;226,035;305,640;;106,390;107,760;67,110;18,290;16,032;14,503;198,520;77,955;;;
Cornedo all\'Isarco;04021023;Comune;267,380;31,660;100,100;;3,260;29,292;43,783;11,642;6,954;4,850;3,890;10,830;;;
Cortaccia sulla strada del vino;04021024;Comune;1.019,580;122,144;98,237;3,097;24,590;27,990;54,301;14,114;7,853;8,050;68,192;;;;
