id;name;latitude;longitude;geometry;artist_name;description;website;type
330790480;Unnamed;45.8957659;10.6786317;POINT (10.6786317 45.8957659);;;;
861231425;Tracciando il Tempo;46.0729693;11.1201891;POINT (11.1201891 46.0729693);;;;
867438823;San Vigilio;46.0666528;11.1218315;POINT (11.1218315 46.0666528);Stefano Zuech;;;statue
869314139;Fiore Lunare;46.060191;11.1132107;POINT (11.1132107 46.060191);;;;
874501172;Unnamed;46.0726064;11.1202893;POINT (11.1202893 46.0726064);;;;
927359291;Unnamed;46.0666678;11.12111;POINT (11.12111 46.0666678);;;;
943285713;Unnamed;46.3652819;11.0332453;POINT (11.0332453 46.3652819);;;;
943372141;Unnamed;46.3641389;11.0358649;POINT (11.0358649 46.3641389);;;;
945133356;Unnamed;46.3647167;11.0350751;POINT (11.0350751 46.3647167);;;;
945430437;Unnamed;46.3642569;11.0348269;POINT (11.0348269 46.3642569);;;;
1221409645;Orso di Berlino;46.0699012;11.1159524;POINT (11.1159524 46.0699012);;;https://web.archive.org/web/20101224185132/http://www2.comune.trento.it/comune/argomenti/gemellaggi/berlin_attivta01.htm;
1301681385;Unnamed;45.885049;10.8416311;POINT (10.8416311 45.885049);;;;statue
1322854458;Unnamed;46.2652285;11.0858989;POINT (11.0858989 46.2652285);;;;
1331468443;Unnamed;46.0634281;11.1257846;POINT (11.1257846 46.0634281);;;;
1357186426;Unnamed;46.0526862;10.8536491;POINT (10.8536491 46.0526862);;;;statue
1821593950;Unnamed;46.1674548;11.5534424;POINT (11.5534424 46.1674548);;;;sculpture
2258384493;Blue Live Arts;45.9226453;11.0669917;POINT (11.0669917 45.9226453);;;;graffiti
2400890803;Unnamed;46.062965;11.1131588;POINT (11.1131588 46.062965);;;;
2484736019;Cavallo;45.8891292;11.042221;POINT (11.042221 45.8891292);;;;
2491888117;Unnamed;45.9123078;10.9022128;POINT (10.9022128 45.9123078);;;;statue
2665784876;Unnamed;46.0629479;11.1137846;POINT (11.1137846 46.0629479);Pino Castagna;;;sculpture
2987426113;Tridentum 2011;46.0351423;11.1217898;POINT (11.1217898 46.0351423);Stefano Cagol;L'installazione monumentale permanente riprende nel titolo “TRIDENTUM” il nome romano della città e sintetizza in modo concettuale le tre colline che hanno dato origine a questo nome.;;
3120466819;Trento Rocks;46.052568;11.1201624;POINT (11.1201624 46.052568);;;;installation
3802220162;Fili d'erba;46.0028638;11.368776;POINT (11.368776 46.0028638);Johann Feilacher;;;sculpture
3802220163;Cerca;46.00315;11.3698945;POINT (11.3698945 46.00315);Roberto Conte;;;sculpture
3802220164;Il nido di Sella II;46.0022013;11.3674673;POINT (11.3674673 46.0022013);Nils-Udo;;;sculpture
3802220165;Attraversare l'anima;46.0022916;11.3682071;POINT (11.3682071 46.0022916);Will Beckers;;;sculpture
3802231152;Drago;46.0019084;11.3674808;POINT (11.3674808 46.0019084);Roger Rigorth;;;sculpture
3802231153;Villagio Vegetale;46.0016155;11.3667661;POINT (11.3667661 46.0016155);Luc Schuiten;;;sculpture
3802231154;Il vento di Sella;46.002049;11.368393;POINT (11.368393 46.002049);Anthony Howe;;;sculpture
3802231155;Rifugio;46.0017708;11.3672846;POINT (11.3672846 46.0017708);Anton Schaller;;;sculpture
3802254717;La sfera;46.0003255;11.3655392;POINT (11.3655392 46.0003255);François Lelong;;;sculpture
3802254718;Senza titolo 169;46.0013734;11.3667504;POINT (11.3667504 46.0013734);Aeneas Wilder;;;sculpture
3802263607;Viadotto 2;46.0011375;11.369272;POINT (11.369272 46.0011375);Steven Siegel;;;sculpture
3802263609;Chiocciola;46.0009521;11.3659941;POINT (11.3659941 46.0009521);Alfio Bonanno;;;sculpture
3802263610;Pietre;46.0011707;11.3663572;POINT (11.3663572 46.0011707);François Lelong;;;sculpture
3802263611;0121-1110=115075;46.0015623;11.3694208;POINT (11.3694208 46.0015623);Jaehyo Lee;;;sculpture
3938156843;Unnamed;46.0649495;11.508052;POINT (11.508052 46.0649495);;;;sculpture
3978703171;08;46.0712649;11.4676729;POINT (11.4676729 46.0712649);;;;statue
3978703191;07;46.0715148;11.4680477;POINT (11.4680477 46.0715148);;;;statue
3978703204;06;46.0721818;11.4686138;POINT (11.4686138 46.0721818);;;;statue
