id;name;latitude;longitude;bounds;geometry;type
beach_id_9050382757;Besta Beach;45.875947;10.7675827;;POINT (10.7675827 45.875947);beach:grass
beach_id_10914200606;Spiaggia del Lago di Spèccheri;45.7658656;11.148377;;POINT (11.148377 45.7658656);beach
beach_id_11480688993;Unnamed;45.8827222;10.7483888;;POINT (10.7483888 45.8827222);beach:concrete
beach_id_11480688994;Unnamed;45.8705625;10.7463399;;POINT (10.7463399 45.8705625);beach:grass
beach_id_11480688995;Unnamed;45.8850344;10.7343277;;POINT (10.7343277 45.8850344);beach:unpaved
beach_id_104720379;Unnamed;;;{'minlat': 46.0359188, 'minlon': 11.2433682, 'maxlat': 46.0370064, 'maxlon': 11.2439518};POLYGON ((11.2439114 46.0359188, 11.2439518 46.0360658, 11.2438564 46.0362601, 11.2437211 46.0364608, 11.2436565 46.036591, 11.2434997 46.0368302, 11.2434535 46.0368985, 11.2434505 46.036954, 11.243393 46.0370064, 11.2433682 46.03694, 11.2433867 46.0368744, 11.243396 46.0368413, 11.2435079 46.0366587, 11.243657 46.0364221, 11.2437949 46.0361957, 11.2439114 46.0359188));beach
beach_id_104720386;Unnamed;;;{'minlat': 46.0038925, 'minlon': 11.2576198, 'maxlat': 46.004486, 'maxlon': 11.25872};POLYGON ((11.2586612 46.004486, 11.25872 46.0044135, 11.2586515 46.0043576, 11.2584531 46.0042141, 11.2581389 46.0040325, 11.2578384 46.0039115, 11.257791 46.0038925, 11.257695 46.0039997, 11.2576198 46.0040528, 11.258312 46.0043143, 11.2586194 46.0044699, 11.2586612 46.004486));beach
beach_id_104720393;Unnamed;;;{'minlat': 46.0053355, 'minlon': 11.2615012, 'maxlat': 46.005763, 'maxlon': 11.2621236};POLYGON ((11.2620759 46.005763, 11.2617646 46.0055688, 11.2615041 46.0054851, 11.2615012 46.0054731, 11.2616222 46.0053355, 11.2617558 46.0053653, 11.2619393 46.005426, 11.2620774 46.0055262, 11.2620876 46.0056967, 11.2621236 46.0057345, 11.2620759 46.005763));beach
beach_id_104720396;Unnamed;;;{'minlat': 46.0019291, 'minlon': 11.2517589, 'maxlat': 46.0035423, 'maxlon': 11.2550814};POLYGON ((11.2550092 46.0035423, 11.2550814 46.0034239, 11.2549185 46.0034417, 11.2547323 46.0033484, 11.2546047 46.0030051, 11.2540332 46.0025642, 11.2539292 46.0025299, 11.2538875 46.0025833, 11.2532864 46.0023831, 11.2532027 46.0023547, 11.2517769 46.0019291, 11.2517589 46.0020203, 11.2530228 46.0023728, 11.2535125 46.0025491, 11.253915 46.0027577, 11.2539614 46.0027744, 11.2542281 46.0032096, 11.2546296 46.0034716, 11.2550092 46.0035423));beach
beach_id_104720397;Unnamed;;;{'minlat': 46.0060702, 'minlon': 11.2635954, 'maxlat': 46.0069534, 'maxlon': 11.266025};POLYGON ((11.2659496 46.0069534, 11.266025 46.0068482, 11.2654045 46.0064805, 11.2649407 46.0063482, 11.2646436 46.006344, 11.2643619 46.0061391, 11.2639665 46.0060702, 11.2636316 46.0061082, 11.2635954 46.006157, 11.2636913 46.0062337, 11.2637967 46.0062136, 11.263863 46.006201, 11.2641125 46.0062314, 11.2642825 46.0062801, 11.2644363 46.006338, 11.2646014 46.0064503, 11.2646628 46.0064074, 11.2647343 46.0064074, 11.2649121 46.0064441, 11.2650105 46.0064873, 11.2652287 46.0065343, 11.2657419 46.0068046, 11.2658343 46.006848, 11.2659496 46.0069534));beach
beach_id_104720405;Unnamed;;;{'minlat': 46.0016456, 'minlon': 11.248079, 'maxlat': 46.0024411, 'maxlon': 11.2517783};POLYGON ((11.249842 46.0017711, 11.2499169 46.0017438, 11.2502682 46.0017492, 11.25092 46.0018275, 11.2511212 46.0018666, 11.2517555 46.0020184, 11.2517783 46.0019281, 11.2507577 46.0017185, 11.2501438 46.0016456, 11.2495145 46.001698, 11.2491295 46.0017753, 11.2486016 46.0019626, 11.2485493 46.0019693, 11.2484136 46.0020224, 11.2483299 46.002142, 11.2482192 46.0022155, 11.2481208 46.0023215, 11.248079 46.0024309, 11.2481528 46.0024411, 11.2481734 46.002337, 11.2485573 46.002084, 11.2491023 46.0018889, 11.249842 46.0017711));beach
