id;name;longitude;latitude;geometry
498740308;Bus del nono;10.9926165;45.7821944;POINT (10.9926165 45.7821944)
508788420;Prigione del Sasso;10.888087;45.9214156;POINT (10.888087 45.9214156)
600025838;Grotta Damiano Chiesa;11.0362043;45.8534376;POINT (11.0362043 45.8534376)
610991691;Unnamed;10.8845066;45.8819343;POINT (10.8845066 45.8819343)
641260808;Miniera dell'Aubis;11.3132041;46.1119712;POINT (11.3132041 46.1119712)
655124296;Unnamed;10.806087;45.8353502;POINT (10.806087 45.8353502)
655124306;Unnamed;10.8087547;45.8362577;POINT (10.8087547 45.8362577)
750561172;gallerie di Peschiera;10.6465248;45.9624455;POINT (10.6465248 45.9624455)
794180822;Unnamed;10.8834992;45.8057845;POINT (10.8834992 45.8057845)
794180830;"Busa Brodeghera;sepoltura della Seconda età del Ferro";10.884618;45.8071678;POINT (10.884618 45.8071678)
831805714;Unnamed;10.9985791;45.7898636;POINT (10.9985791 45.7898636)
974698899;Cave Alte;10.9067835;45.9342851;POINT (10.9067835 45.9342851)
974698929;Cave Alte;10.9066705;45.9346702;POINT (10.9066705 45.9346702)
1106604484;La Cosìna;10.9755049;46.0095554;POINT (10.9755049 46.0095554)
1212312727;Unnamed;11.0025599;45.7980935;POINT (11.0025599 45.7980935)
1212312729;Unnamed;11.003127;45.7989486;POINT (11.003127 45.7989486)
1347347828;Grotta degli appestati;10.965678;45.8720637;POINT (10.965678 45.8720637)
1398202075;Osservatorio di guerra austrungarico;10.6473776;46.1834487;POINT (10.6473776 46.1834487)
1411507619;Finestra Valduga;11.135236;45.8763655;POINT (11.135236 45.8763655)
1412623162;Maso Mortal;11.0770216;45.8843458;POINT (11.0770216 45.8843458)
1412623163;Pozzo Maso Mortal;11.0786075;45.8847151;POINT (11.0786075 45.8847151)
1551514534;Arca di Fraporte;10.8451173;46.0720053;POINT (10.8451173 46.0720053)
1583263213;Unnamed;10.9263258;45.9271146;POINT (10.9263258 45.9271146)
1640524704;Unnamed;11.0679093;45.8886666;POINT (11.0679093 45.8886666)
1640524744;Unnamed;11.0671382;45.8891237;POINT (11.0671382 45.8891237)
1647578077;Unnamed;10.9235374;45.8499905;POINT (10.9235374 45.8499905)
1836348421;Unnamed;11.8751282;46.4700023;POINT (11.8751282 46.4700023)
1844348279;galleria Corno di Cavento;10.5865048;46.1357658;POINT (10.5865048 46.1357658)
1848848050;Unnamed;11.6667427;46.1248838;POINT (11.6667427 46.1248838)
1887528050;Grotta Battisti;10.838799;46.0555098;POINT (10.838799 46.0555098)
1997750083;Unnamed;10.9809583;45.8721961;POINT (10.9809583 45.8721961)
2066685144;Unnamed;10.9075451;45.7921493;POINT (10.9075451 45.7921493)
2066685163;Unnamed;10.9071326;45.7929695;POINT (10.9071326 45.7929695)
2073143449;Unnamed;11.7966189;46.3083403;POINT (11.7966189 46.3083403)
2203455370;Centrale Idroelettrica di Ala;10.9893626;45.7574082;POINT (10.9893626 45.7574082)
2355971892;Unnamed;11.1223778;45.8124531;POINT (11.1223778 45.8124531)
2371162456;Riparo Dalmeri;11.6016642;45.9951297;POINT (11.6016642 45.9951297)
2378422899;Grotta di Castel Tesino;11.6814614;46.0885855;POINT (11.6814614 46.0885855)
2388250860;Unnamed;11.682067;46.4752418;POINT (11.682067 46.4752418)
2520320544;Bus de le Zaule;11.3595443;45.9781545;POINT (11.3595443 45.9781545)
2741681966;Abisso di Lamar;11.0643899;46.1300329;POINT (11.0643899 46.1300329)
2836281132;Grotta di Costalta;11.3744918;45.9888791;POINT (11.3744918 45.9888791)
2905502437;Unnamed;11.5477486;46.0611476;POINT (11.5477486 46.0611476)
2905502440;Unnamed;11.5489228;46.0592849;POINT (11.5489228 46.0592849)
2905502441;Unnamed;11.5486038;46.0595428;POINT (11.5486038 46.0595428)
2905502442;Unnamed;11.548697;46.0595712;POINT (11.548697 46.0595712)
2905502443;Unnamed;11.5473221;46.0608425;POINT (11.5473221 46.0608425)
2956168524;Unnamed;11.8919518;46.1494527;POINT (11.8919518 46.1494527)
3022648106;Grotta del Calgeron;11.6192771;46.0074146;POINT (11.6192771 46.0074146)
3182294964;Bus del Diaol Grotta di Patone;10.9093807;45.9382551;POINT (10.9093807 45.9382551)
3182294965;Unnamed;10.8292033;45.8583563;POINT (10.8292033 45.8583563)
3327559926;Unnamed;11.4531932;46.0410676;POINT (11.4531932 46.0410676)
3327559928;Unnamed;11.4529586;46.0410885;POINT (11.4529586 46.0410885)
3327561525;Unnamed;11.4531422;46.0431729;POINT (11.4531422 46.0431729)
3327562014;Unnamed;11.4530532;46.0419868;POINT (11.4530532 46.0419868)
3366555618;Caverna Rossi;10.9106926;45.8546177;POINT (10.9106926 45.8546177)
3716957296;Unnamed;10.6947843;45.9299054;POINT (10.6947843 45.9299054)
3716957297;Unnamed;10.6954262;45.9303623;POINT (10.6954262 45.9303623)
3716957298;Unnamed;10.696543;45.93332;POINT (10.696543 45.93332)
3716957299;Unnamed;10.6974128;45.9347785;POINT (10.6974128 45.9347785)
3716957300;Unnamed;10.6974148;45.9348163;POINT (10.6974148 45.9348163)
3716957301;Unnamed;10.6977644;45.9351976;POINT (10.6977644 45.9351976)
3716957302;Unnamed;10.6984212;45.9386663;POINT (10.6984212 45.9386663)
3716957303;Unnamed;10.70183;45.939538;POINT (10.70183 45.939538)
3716957304;Unnamed;10.7027561;45.9414755;POINT (10.7027561 45.9414755)
3716957305;Unnamed;10.7035402;45.9453857;POINT (10.7035402 45.9453857)
3716957306;Unnamed;10.7044655;45.9468727;POINT (10.7044655 45.9468727)
3716957307;Unnamed;10.7047206;45.947261;POINT (10.7047206 45.947261)
3716957308;Unnamed;10.7048813;45.9475613;POINT (10.7048813 45.9475613)
3716957309;Unnamed;10.7077096;45.9502052;POINT (10.7077096 45.9502052)
3716957310;Unnamed;10.7086397;45.9506941;POINT (10.7086397 45.9506941)
3716957311;Unnamed;10.7103752;45.9536744;POINT (10.7103752 45.9536744)
3716957312;Unnamed;10.7122514;45.9548559;POINT (10.7122514 45.9548559)
3716957313;Unnamed;10.7171578;45.9549439;POINT (10.7171578 45.9549439)
3716957314;Unnamed;10.7172562;45.9549753;POINT (10.7172562 45.9549753)
3716957315;Unnamed;10.7174209;45.9549969;POINT (10.7174209 45.9549969)
3716957316;Unnamed;10.7299942;45.9638755;POINT (10.7299942 45.9638755)
3716957317;Unnamed;10.7430947;45.9671799;POINT (10.7430947 45.9671799)
3740433897;Unnamed;11.1209519;45.8084956;POINT (11.1209519 45.8084956)
3740433898;Unnamed;11.1210464;45.808497;POINT (11.1210464 45.808497)
3740433903;Unnamed;11.1211756;45.8086677;POINT (11.1211756 45.8086677)
3740433906;Unnamed;11.1212837;45.8087175;POINT (11.1212837 45.8087175)
3740434412;Unnamed;11.1215683;45.8093725;POINT (11.1215683 45.8093725)
3740434692;Bocca del Leone;11.1227881;45.8119117;POINT (11.1227881 45.8119117)
3740434705;Unnamed;11.1223973;45.8123667;POINT (11.1223973 45.8123667)
3787532446;Giazera Stenone;10.9617267;45.8866042;POINT (10.9617267 45.8866042)
3787532447;Giazera bassa;10.9620671;45.8882549;POINT (10.9620671 45.8882549)
3802666300;Unnamed;10.5969231;45.8763618;POINT (10.5969231 45.8763618)
3802666320;Unnamed;10.5971526;45.8766867;POINT (10.5971526 45.8766867)
3813729311;Unnamed;10.720249;45.8964851;POINT (10.720249 45.8964851)
3813729315;Unnamed;10.720101;45.8965547;POINT (10.720101 45.8965547)
3814275357;Unnamed;11.7960306;46.3101271;POINT (11.7960306 46.3101271)
3901176788;Unnamed;11.5474673;46.0528341;POINT (11.5474673 46.0528341)
3924221266;Unnamed;11.0616321;45.8902113;POINT (11.0616321 45.8902113)
3965874079;Unnamed;11.5445762;46.0497297;POINT (11.5445762 46.0497297)
3965874080;Unnamed;11.5444412;46.0497653;POINT (11.5444412 46.0497653)
3978094865;Unnamed;11.463743;46.0690698;POINT (11.463743 46.0690698)
3978094872;Unnamed;11.4648447;46.0703085;POINT (11.4648447 46.0703085)
3978096396;Unnamed;11.4633354;46.0685073;POINT (11.4633354 46.0685073)
3978096398;Unnamed;11.4633406;46.0686059;POINT (11.4633406 46.0686059)
3978703178;Unnamed;11.4665251;46.0716043;POINT (11.4665251 46.0716043)
3978712105;Unnamed;11.4655738;46.0712496;POINT (11.4655738 46.0712496)
3978712655;Unnamed;11.4658422;46.0709746;POINT (11.4658422 46.0709746)
3999834427;Grotta della Lovara;11.0636026;46.2190952;POINT (11.0636026 46.2190952)
4000683543;Unnamed;11.5625389;46.0501297;POINT (11.5625389 46.0501297)
4025807145;Unnamed;10.6484623;45.911476;POINT (10.6484623 45.911476)
4025807146;Unnamed;10.6494326;45.9135113;POINT (10.6494326 45.9135113)
4046357280;Ingresso osservatorio Grota de Rinalt;10.6898645;45.8763004;POINT (10.6898645 45.8763004)
4081170497;Unnamed;11.482866;46.0329571;POINT (11.482866 46.0329571)
4081175936;Unnamed;11.5003523;46.0407215;POINT (11.5003523 46.0407215)
4081177810;Unnamed;11.4833028;46.0362009;POINT (11.4833028 46.0362009)
4124579908;Bus de la Bastía;10.7318238;46.0478879;POINT (10.7318238 46.0478879)
4158878590;Grotta Barisela;10.7492309;46.048662;POINT (10.7492309 46.048662)
4187709266;Unnamed;11.7757203;46.4779939;POINT (11.7757203 46.4779939)
4202986282;Coel dei Gnatoi;10.6360556;45.8603016;POINT (10.6360556 45.8603016)
4239202972;Bus del Canon;11.2597551;46.1002103;POINT (11.2597551 46.1002103)
4241436371;Bus del la Giaz;11.176026;45.9553763;POINT (11.176026 45.9553763)
