id;latitude;longitude;geometry;name;street;city;postcode;housenumber;website;phone;email;type
552938079;46.1862908;11.2520623;POINT (11.2520623 46.1862908);Villa Scalco;Frazione Piazzo;Segonzano;38047;51;;;;apartment
614841298;46.3517088;10.9118135;POINT (10.9118135 46.3517088);Mengon Bruna;Via G. Bresadola;Malé;;3;;+39 0463 985404;;apartment
701422235;45.8782317;10.8385465;POINT (10.8385465 45.8782317);Vecchio Porto Excelsior;Via Gargnano;Riva del Garda;38066;2;https://www.residence-excelsior.com/;+39 0464 521831;info@residence-excelsior.com;apartment
1445799609;45.9217731;10.8706983;POINT (10.8706983 45.9217731);guesthouse arco II;Via Ronchi;Arco;38062;4;https://www.guesthouse-arco.com/;;;apartment
1484801248;45.8850043;10.8413711;POINT (10.8413711 45.8850043);Appartamenti Rocca;;;;;;;;apartment
2657746429;46.0601129;11.115192;POINT (11.115192 46.0601129);Komodo;Piazza Delle Donne Lavoratrici;Trento;38122;13;http://www.komodoapartments.com/;+39 346 2751251;komodo.trento@gmail.com;apartment
2835212501;45.919574;10.879648;POINT (10.879648 45.919574);Appartamenti Laly;Via Torino;;;11;;;;apartment
3046567181;46.2648612;11.8047844;POINT (11.8047844 46.2648612);Ristorante Bar Da Meto;;;;;http://www.dameto.it/index.html;+39 0439 769162;info@dameto.it;apartment
3634668954;46.0351204;10.8734151;POINT (10.8734151 46.0351204);Appartamenti Riccadonna Gaudenzio;;;;;;;;apartment
3678412002;45.9239897;10.9014225;POINT (10.9014225 45.9239897);Appartamento turistico all'olivaia;Via Verde;Arco;38062;40;http://www.appartamentoolivaia.it;;;apartment
3699555947;45.8688423;10.8753416;POINT (10.8753416 45.8688423);Casa Beust;Via Benaco;Torbole sul Garda;38069;15;http://www.casabeust.it/;+39 (0)464 505576;;apartment
3874353794;46.3078882;11.460482;POINT (11.460482 46.3078882);Residence Gloria;;;;;https://www.valfiemme.com/residencegloria/;;;apartment
4327870392;45.8812579;10.8575248;POINT (10.8575248 45.8812579);Appartamenti Villa Elvi;Via Longa;;38066;13;;+39 0464 553070;info@villaelvi.it;apartment
4362675246;46.1298978;10.7563938;POINT (10.7563938 46.1298978);Appartamento Terme di Caderzone;Via D. Chiesa;Caderzone Terme;38080;1;;;;apartment
4426899931;46.0483808;11.4069471;POINT (11.4069471 46.0483808);Unnamed;;;;;;;;apartment
4596313902;46.0525071;11.494732;POINT (11.494732 46.0525071);Casa Gabriella;Piazza del Municipio;Castelnuovo;38050;10;https://www.casagabriella-valsugana.it/;+39 0461 753436;info@casagabriella-valsugana.it;apartment
4806168387;46.4345532;11.1017893;POINT (11.1017893 46.4345532);Casa Vacanza Iris;;;;;;;;apartment
4808435651;45.9152577;10.8713874;POINT (10.8713874 45.9152577);Arco Vacanze;;;;;;;;apartment
4876578959;45.8655622;10.745332;POINT (10.745332 45.8655622);Maso dell'apicoltore;Via Casarino;Ledro;38067;1;https://www.masoapicoltore.it/;+39 345 715 8066;;apartment
4917660088;45.8780482;10.8918968;POINT (10.8918968 45.8780482);"Appartamenti turistici ""Gardawohnung.com""";Via Arturo de Bonetti;Nago-Torbole;38069;22;https://www.gardawohnung.com;;info@gardawohnung.com;apartment
5040025991;45.9182434;10.8938869;POINT (10.8938869 45.9182434);Arco Charme;;;;;;;;apartment
5152623842;46.4367424;11.6917473;POINT (11.6917473 46.4367424);Dallapozza Giancarlo;;;;;https://dallapozzagiancarlo.fassa.com/;;mailto:anigian1@yahoo.it;apartment
