id;latitude;longitude;geometry;name;type;street;city;postcode;housenumber;cuisine;description;operator;website;phone;email
26859342;46.1663865;10.7498706;POINT (10.7498706 46.1663865);Camping Parco Adamello;camp_site;;;;;;;;https://campingparcoadamello.it;+393381919608;
26859590;46.111111;11.048056;POINT (11.048056 46.111111);Lamar;camp_site;Via Selva Faeda;;38070;15;;;;https://laghidilamar.com/;+39 0461 860423;campeggio@laghidilamar.com
26859712;45.7803581;10.9454085;POINT (10.9454085 45.7803581);Polsa;camp_site;;;;;;;;;;
270297544;46.2898551;11.4386015;POINT (11.4386015 46.2898551);Unnamed;hotel;;;;;;;;;;
272337352;46.3518996;11.6311156;POINT (11.6311156 46.3518996);Unnamed;caravan_site;;;;;;;;;;
274085436;46.09396;11.2339457;POINT (11.2339457 46.09396);Albergo Comparsa;hotel;;;;;;;;;;
274085444;46.0958868;11.2346791;POINT (11.2346791 46.0958868);Belvedere;hotel;;;;;;;;;;
282776887;46.3246362;11.0195109;POINT (11.0195109 46.3246362);Agritur Leita;guest_house;Via S. Emerenziana;Tuenno;38019;70;;;;http://www.agriturismo-leita.it/;+39 0463 451372;giovanni.leita@virgilio.it
286290910;46.260541;11.5986885;POINT (11.5986885 46.260541);Baita dell'Alpino;alpine_hut;;;;;;;private;;;
288480188;46.288656;11.4496879;POINT (11.4496879 46.288656);Albergo Garnì Gocciadoro;guest_house;;;;;;;;;;
293127768;46.3361897;10.8924208;POINT (10.8924208 46.3361897);Hotel Monclassico;hotel;Via Nazionale;Monclassico;38020;582a;;;;https://www.hotelmonclassico.com/;(+39) 0463 970290;hotelmonclassicodimaro@gmail.com
299924943;46.119308;10.806969;POINT (10.806969 46.119308);Albergo Brenta;hotel;Val d'Algogne;Bleggio Inferiore;38071;;;;;https://www.albergobrenta.it;+393474449965;albergobrenta@hotmail.it
299927723;46.1158602;10.8085216;POINT (10.8085216 46.1158602);Rifugio Ghedina;alpine_hut;;;38070;;;;;https://www.trentinorifugi.com/index.php?bsclef=schede_rifugi&ex=html&viewnews=ok&ln=it&id=76&catid=6;+39 0465 321808;
303781634;46.3173264;11.5973669;POINT (11.5973669 46.3173264);Albergo Vinella;hotel;;;;;;;;;;
303826367;46.3117127;11.60182;POINT (11.60182 46.3117127);Active Hotel Rosat;hotel;Via Garibaldi;Predazzo;38037;;;;;https://www.activehotelrosat.it/;+39 0462 501239;info@activehotelrosat.it
303828156;46.3092005;11.6021818;POINT (11.6021818 46.3092005);Sass Maor;hotel;;;;;;;;;;
303828160;46.3110803;11.6026669;POINT (11.6026669 46.3110803);Ancora;hotel;;;;;;;;;;
303832089;46.307129;11.6001663;POINT (11.6001663 46.307129);Liz;hotel;;;;;;;;;;
303832099;46.3065591;11.598401;POINT (11.598401 46.3065591);Majestic;hotel;;;;;;;;;;
304633078;46.2316634;10.8255392;POINT (10.8255392 46.2316634);Hotel La Montanara;hotel;;;;;;;;;;
305506280;46.4207905;11.6753206;POINT (11.6753206 46.4207905);Hotel Dolasilla;hotel;Strada Neva;Vigo di Fassa;38039;4;;;;https://hoteldolasilla.com;+39 0462 764159;info@hoteldolasilla.com
305506285;46.4188185;11.6748934;POINT (11.6748934 46.4188185);Hotel Cristallo;hotel;Strada Neva;Vigo di Fassa;38039;40;;;;;+39 0462 764041;
305506288;46.4195711;11.675226;POINT (11.675226 46.4195711);Hotel Garni Enrosadira;hotel;Strada Neva;Vigo di Fassa;38039;28;;;;https://www.garnienrosadira.it/;+39 0462 764602;info@garnienrosadira.it
305506291;46.4192615;11.674348;POINT (11.674348 46.4192615);Hotel Latemar;hotel;;;;;;;;;;
305506305;46.41842;11.6728619;POINT (11.6728619 46.41842);Hotel Sole;hotel;Strada de Semal;Vigo di Fassa;38036;12;;;;http://www.hotel-sonne-sole.it/;+39 0462 764042;info@hotel-sonne-sole.it
305506966;46.419859;11.6726329;POINT (11.6726329 46.419859);Hotel Rosa;hotel;Strada Rezia;Vigo di Fassa;38039;5;;;;http://www.hotelrosa.biz/it/;+39 0462 764486;info@hotelrosa.biz
312152850;45.8693712;10.8765605;POINT (10.8765605 45.8693712);Centrale;hotel;Piazza Goethe;;;14;;;;https://www.hotelcentraletorbole.it/;+39 0464 505234;
317054679;46.008633;11.3062959;POINT (11.3062959 46.008633);Hotel Daniela;hotel;Viale Venezia;Levico Terme;38056;3;;;;;;
317522892;46.0073535;11.3063993;POINT (11.3063993 46.0073535);Albergo Villa Flora;hotel;;;;;;;;;;
317526677;45.9886994;11.3006401;POINT (11.3006401 45.9886994);Paoli Hotel - Antica Trattoria alla Vedova;hotel;;;;;;;;;;
322714918;46.3227143;10.8722156;POINT (10.8722156 46.3227143);Ai Bonetei;guest_house;;;;;;;;;;
333327990;46.0130251;11.2973785;POINT (11.2973785 46.0130251);Hotel Concordia;hotel;;;;;;;;;;
333786640;46.3015001;10.811099;POINT (10.811099 46.3015001);TH 1400;hotel;Via per Marilleva;Mezzana;38020;;;;;https://www.hotelmarilleva1400.it/;(+39) 0463796544;1400@th-resorts.com
333790689;46.3268441;10.8727065;POINT (10.8727065 46.3268441);Albergo Dimaro;hotel;Via Campiglio;Dimaro Folgarida;38025;78;;;;https://albergodimaro.it/;(+39) 0463 974375;info@dimarohotel.it
333791067;46.3255873;10.8746899;POINT (10.8746899 46.3255873);Garnì Val Meledrio;guest_house;;;;;;;;;;
333791378;46.2600801;10.8551274;POINT (10.8551274 46.2600801);Albergo Genzianella;hotel;;;;;;;;;;
333791571;46.2306064;10.8267493;POINT (10.8267493 46.2306064);Majestic Mountain;hotel;;;;;;;;;;
338894655;46.1977206;11.8648297;POINT (11.8648297 46.1977206);"Albergo ""Al Cacciatore""";hotel;;;;;;;;;;
344396150;46.0106528;11.2997356;POINT (11.2997356 46.0106528);Albergo Aurora;hotel;;;;;;;;;;
345701106;46.012125;11.2902546;POINT (11.2902546 46.012125);Hotel Sport;hotel;;;;;;;;;;
354596380;46.0141956;11.2963314;POINT (11.2963314 46.0141956);Albergo Al Salus;hotel;;;;;;;;;;
354927596;46.0162459;11.2920666;POINT (11.2920666 46.0162459);Hotel Miralago;hotel;;;;;;;;;;
364822145;46.0711429;11.1241736;POINT (11.1241736 46.0711429);Hotel America;hotel;Via Torre Verde;Trento;38122;52;;;Hotel America Srl.;http://www.hotelamerica.it/;+39 0461 983010;info@hotelamerica.it
367891774;45.9676548;11.2269514;POINT (11.2269514 45.9676548);Albergo al Bosco;hotel;;;;;;;;;;
393363161;46.1764081;11.8366209;POINT (11.8366209 46.1764081);Castel Pietra;hotel;;;;;;;;;;
412369294;46.1337358;10.7589376;POINT (10.7589376 46.1337358);Hotel Rio;hotel;;;;;;;;;;
414978800;46.3432414;10.7019644;POINT (10.7019644 46.3432414);Hotel Chalet Genziana;hotel;Via al Sant;Celledizzo;38024;2;;;;https://chaletgenziana.it/;(+39) 0463.746050;info@chaletgenziana.it
414988153;46.3513728;10.6942137;POINT (10.6942137 46.3513728);Hotel Cevedale;hotel;Via Roma;Cogolo;38024;33;;;;https://www.hotelcevedale.it;(+39) 0463 754067;info@hotelcevedale.it
414997614;46.3545353;10.6899611;POINT (10.6899611 46.3545353);Hotel Ortles;hotel;Via Giovanni Casarotti;Cogolo;38024;66;;;;https://www.hotelortles.it/;(+39) 0463 754073;info@hotelortles.it
414997615;46.355823;10.6898114;POINT (10.6898114 46.355823);Hotel Gran Zebrù;hotel;Via Giovanni Casarotti;Cogolo;38024;92;;;;https://www.hotelgranzebru.com/it;(+39) 0463754433;INFO@HOTELGRANZEBRU.COM
414997616;46.3557804;10.6908833;POINT (10.6908833 46.3557804);Kristiania Leading Nature & Wellness Resort;hotel;Via di Sant'Antonio;Cogolo;38024;18;;;;https://www.hotelkristiania.it/;(+39) 0463 754157;info@hotelkristiania.it
415504648;46.3263804;10.8692858;POINT (10.8692858 46.3263804);Albergo Serena;hotel;Via Gole;Dimaro;38025;90;;;;https://serena-hotel.com/;(+39) 0463 974974;info@serena-hotel.com
417322481;46.0734662;11.3881872;POINT (11.3881872 46.0734662);Rifugio Serot;alpine_hut;;;;;;;;https://www.rifugioserot.eu/;+39 0461 764690;info@rifugioserot.eu
417327450;46.0645666;11.0952081;POINT (11.0952081 46.0645666);Agritur Depedri;hostel;Via alla Ca;;;71;;;;http://www.viaggioin.com/agriturismo-agritur-depedri-luciano-trento-289355;+39 0461 235438;
417903388;46.0124489;11.3000724;POINT (11.3000724 46.0124489);Albergo Lucia;hotel;;;;;;;;;;
426311727;46.141932;10.9643749;POINT (10.9643749 46.141932);Belvedere;hotel;Via Nazionale;Molveno;38018;9;;;;http://www.belvedereonline.com/;+39 0461 586933;info@belvedereonline.com
426311728;46.1428396;10.9610717;POINT (10.9610717 46.1428396);Olympia;hotel;Via Dolomiti;Molveno;38018;1;;;;http://www.olympiamolveno.it/;+39 0461 586961;info@olympiamolveno.it
427547574;46.1419977;10.9631127;POINT (10.9631127 46.1419977);Europa;hotel;Via Nazionale;Molveno;38018;13;;;;http://www.europamolveno.it/;+39 0461 586937;hotel@europamolveno.it
427547578;46.14127;10.9635213;POINT (10.9635213 46.14127);Lido;hotel;Via Lungolago;Molveno;38018;10;;;;http://www.hotel-lido.it/;+39 0461 586932;info@hotel-lido.it
447910526;46.2159242;11.1943338;POINT (11.1943338 46.2159242);Rifugio Sauch;alpine_hut;Località Sauch;Giovo;38030;;;;;;+39 0461 683768;rifugiosauch@hotmail.it
448098224;46.486347;11.800285;POINT (11.800285 46.486347);Hotel Pordoi;hotel;Strada del Pordoi;;38036;126;;;;http://www.hotelpordoi.eu;;
455703644;46.1706042;10.931698;POINT (10.931698 46.1706042);Rifugio Croz dell'Altissimo;alpine_hut;;;38018;;;;;https://www.rifugiocrozaltissimo.it/;+39 339 7982922, +39 347 1184459;info@rifugiocrozaltissimo.it
457135946;45.7346986;10.9418634;POINT (10.9418634 45.7346986);Albergo Vignola;guest_house;;;;;;;;;;
459656401;46.1446324;10.9672354;POINT (10.9672354 46.1446324);Florida;hotel;Via Belvedere;Molveno;38018;25;;;;http://www.hotel-florida.it;+39 0461 586905;info@hotel-florida.it
459656414;46.1441867;10.9683936;POINT (10.9683936 46.1441867);Aurora;hotel;Via Belvedere;Molveno;38018;8;;;;http://www.hotelauroramolveno.com/;+39 0461 586946;aurora.molveno@virgilio.it
459656417;46.1443515;10.9668565;POINT (10.9668565 46.1443515);Lory;hotel;Via Belvedere;Molveno;38018;15;;;;http://www.dolomieten-hotel.com/;+39 0461 586906;info@hotellory.com
459656422;46.1401359;10.9610822;POINT (10.9610822 46.1401359);Alle Dolomiti;hotel;Via Lungolago;Molveno;38018;18;;;;https://www.alledolomiti.com/;+39 0461 586057;info@alledolomiti.com
459656423;46.1390903;10.9601139;POINT (10.9601139 46.1390903);Bellariva;hotel;Via Lungolago;Molveno;38018;25;;;;http://www.bellariva.com/;+39 0461 586338;info@gardenhotelbellariva.com
461967770;46.3377661;10.8926709;POINT (10.8926709 46.3377661);Ariston;hotel;Via di Novalina;Monclassico;38020;106;;;;https://www.hotelaristonvaldisole.com/;(+39) 0463 974967;info@hotelaristonvaldisole.com
462264536;46.1842756;11.0289181;POINT (11.0289181 46.1842756);Albergo Slosser;hotel;;;;;;;;;;
462264537;46.1847406;11.0303158;POINT (11.0303158 46.1847406);Albergo Aurora;hotel;Via della viola;Cavedago;38010;6;;;;https://www.albergoauroracavedago.com/index.php/it/;;
462264539;46.1855504;11.0331585;POINT (11.0331585 46.1855504);Hotel Olisamir;hotel;;;;;;;;;;
482014014;46.1123842;11.2342721;POINT (11.2342721 46.1123842);Scoiattolo;hotel;;;;;;;;;;
497093888;46.0395932;11.2347482;POINT (11.2347482 46.0395932);Hotel Bar Rubino;hotel;;;;;;;;;;
497093922;46.0394621;11.2350158;POINT (11.2350158 46.0394621);Albergo San Cristoforo;hotel;;;;;;;;;;
497239623;46.0046508;11.2465751;POINT (11.2465751 46.0046508);Micamada;hotel;;;;;;;;;;
511138884;45.8845039;10.8386117;POINT (10.8386117 45.8845039);Hotel Europa;hotel;;;;;;;;;;
511138885;45.8847606;10.8387888;POINT (10.8387888 45.8847606);Hotel Portici;hotel;;;;;;;;;;
511198005;45.9174613;10.8328756;POINT (10.8328756 45.9174613);Hotel ristorante Antica Croce;hotel;Via dei Laghi;Tenno;38060;1;;;;https://gardaslowemotion.it/it/;+39 0464 500620;info@gardaslowemotion.it
515904641;46.1972252;11.2055716;POINT (11.2055716 46.1972252);Rifugio Lago Santo;hostel;Località Lago Santo;;38034;1;;;;https://www.rifugiolagosanto.it/;+39 0461 528223;
520622911;46.1716738;11.2200111;POINT (11.2200111 46.1716738);Europa;hotel;;;;;;;;;;
528256120;46.1703012;11.2148258;POINT (11.2148258 46.1703012);Agritur Maso Val Fraja;guest_house;;;;;;;;http://www.masovalfraia.it/;;
536471643;46.3327519;11.0527049;POINT (11.0527049 46.3327519);Agritur Renetta;guest_house;;;;;;;;;;
554849478;46.1612616;10.9262935;POINT (10.9262935 46.1612616);Rifugio Selvata;alpine_hut;;;;;;;;http://www.rifugioselvata.it/;+39 0461 1862900, +39 340 8231972;ddale@hotmail.it
556932213;46.0619672;11.1515728;POINT (11.1515728 46.0619672);Cantina Ester;guest_house;;;;;;;;;;
557169206;46.0686822;11.1202489;POINT (11.1202489 46.0686822);Accademia;hotel;Vicolo Colico;Trento;38122;4;;;;;;
562715340;46.1385343;11.1139574;POINT (11.1139574 46.1385343);Pizzeria Corona;hotel;Piazza Manci;Lavis;38015;2;"pizza;regional";;;;;
563398204;46.0677859;11.1212687;POINT (11.1212687 46.0677859);Albergo Venezia;hotel;;;;;;;;;;
563398648;46.067946;11.1212548;POINT (11.1212548 46.067946);Albergo Venezia;hotel;;;;;;;;;;
568433876;46.0115946;11.3146289;POINT (11.3146289 46.0115946);Hotel Bellaria;hotel;;;;;;;;;;
568486143;46.0211998;10.9426516;POINT (10.9426516 46.0211998);B&B Giuly;guest_house;;;;;;;;;;
570685008;46.0600275;11.2370154;POINT (11.2370154 46.0600275);Turismo;hotel;;;;;;;;;;
570699486;46.0396592;11.2422786;POINT (11.2422786 46.0396592);Meridiana;hotel;;;;;;;;;;
587759192;46.1084141;11.302608;POINT (11.302608 46.1084141);Albergo Centrale;hotel;;;;;;;;;;
604974291;46.2163118;11.6233505;POINT (11.6233505 46.2163118);Rifugio Refavaie;guest_house;;;;;;;;https://www.rifugiorefavaie.com/;;
614841348;46.3539348;10.9140737;POINT (10.9140737 46.3539348);Henriette;hotel;Via Trento;Malé;38027;36;;;;https://www.hotelhenriette.it/;(+39) 0463 902110;info@hotelhenriette.it
616524564;46.3994983;10.8482671;POINT (10.8482671 46.3994983);Hotel Miramonti;hotel;;;;;;;;;;
616524592;46.3734834;10.8783777;POINT (10.8783777 46.3734834);Residence Bonetti;chalet;;;;;;;;;;
616524645;46.3610255;10.9285375;POINT (10.9285375 46.3610255);Pippo Hotel;hotel;Via Don Pietro Silvestri;Terzolas;38027;32;;;;https://www.pippohotel.it/;+39 0463 901207;
616524688;46.4084443;10.797753;POINT (10.797753 46.4084443);Al Molin;hotel;;;;;regional;;;https://www.almolin.it/;;
616524760;46.4078861;10.8109015;POINT (10.8109015 46.4078861);Albergo Posta;hotel;;;;;;;;;;
633009190;45.8859325;10.842617;POINT (10.842617 45.8859325);Ostello Benacus;hostel;Piazza Cavour;Riva del Garda;38066;10;;;;https://www.ostelloriva.com/;+39 0464 554911;info@ostelloriva.com
648461730;46.3000336;10.8643738;POINT (10.8643738 46.3000336);Hotel Fantelli;hotel;;;;;;;;;;
648490538;46.3003628;10.8638219;POINT (10.8638219 46.3003628);Hotel Alaska;hotel;;;;;;;;;;
653366711;46.177539;11.1673988;POINT (11.1673988 46.177539);Hotel Fior di Bosco;hotel;Masen;;38030;;;;;http://www.hotelfiordibosco.it;+39 0461 695008;
673194565;46.0469105;11.4115734;POINT (11.4115734 46.0469105);Agriturismo Montibeller;hotel;;;;;;;;http://www.agriturmontibeller.it/;;
697859347;46.2014537;11.7928516;POINT (11.7928516 46.2014537);Rifugio Miralago;alpine_hut;Lago di Calaita;;;;;;Stefenon Iginio & C. s.n.c.;www.miralagocalaita.it;+39 0439 1992699;
715778006;46.2179527;11.8769754;POINT (11.8769754 46.2179527);Albergo La Ritonda;hotel;;;;;;;;;;
715778013;46.2171599;11.8783206;POINT (11.8783206 46.2171599);Albergo Cant del Gal;hotel;;;;;;extra: Birra Dolomiti (blond, red, unfiltered);;;;
722215937;46.2963776;11.7819806;POINT (11.7819806 46.2963776);Hotel Venezia;hotel;;;;;;;;;;
722738557;46.2613758;11.7608256;POINT (11.7608256 46.2613758);Malga Valcigolera;alpine_hut;;;;;;;;;;
729605637;45.9336265;11.0946354;POINT (11.0946354 45.9336265);Villaggio Hotel Aquila;hotel;Via 3 Novembre;Calliano;38060;11;;;;;+39 0464 83 41 10;
738406332;45.9212124;10.8920781;POINT (10.8920781 45.9212124);Guesthouse I;chalet;;;;;;;;https://www.guesthouse-arco.com/de_gh1.php;;
739660877;46.1514584;11.8596467;POINT (11.8596467 46.1514584);Rifugio Caltena;alpine_hut;;;;;;;;;;
748785558;45.8171784;10.9548487;POINT (10.9548487 45.8171784);Hotel Zeni;hotel;Via Roma;Brentonico;;16;;;;;;
758777273;46.2643339;11.8014593;POINT (11.8014593 46.2643339);Hotel Belvedere;hotel;;;;;;;;;;
758777596;46.2618907;11.8023262;POINT (11.8023262 46.2618907);Hotel Dolomiti;hotel;;;;;;;;;;
758777631;46.2636635;11.8011693;POINT (11.8011693 46.2636635);Unnamed;hotel;;;;;;;;;;
758777694;46.2635277;11.803156;POINT (11.803156 46.2635277);Hotel Des Alpes;hotel;;;;;;;;;;
758778016;46.2619963;11.8015574;POINT (11.8015574 46.2619963);Hotel Cima Rosetta;hotel;;;;;;;;;;
758778165;46.2605604;11.8037257;POINT (11.8037257 46.2605604);Unnamed;hotel;;;;;;;;;;
758778261;46.2610836;11.800074;POINT (11.800074 46.2610836);Unnamed;hotel;;;;;;;;;;
758778410;46.2662172;11.8025744;POINT (11.8025744 46.2662172);Unnamed;hotel;;;;;;;;;;
766502251;45.9437439;11.2483994;POINT (11.2483994 45.9437439);Hotel Monte Rust;hotel;;;;;;;;;;
778958662;46.0138343;11.3015021;POINT (11.3015021 46.0138343);Hotel Aaritz;hotel;;;;;;;;;;
778961197;46.0137916;11.3026609;POINT (11.3026609 46.0137916);Albergo Acler;hotel;;;;;;;;;;
799244023;46.0113165;11.3005891;POINT (11.3005891 46.0113165);Hotel Romanda;hotel;;;;;;;;;;
799244067;46.0143514;11.3017351;POINT (11.3017351 46.0143514);Albergo Claudia;hotel;;;;;;;;;;
799244207;46.0112845;11.3000651;POINT (11.3000651 46.0112845);Hotel Antica Rosa;hotel;;;;;;;;;;
799244470;46.0137503;11.3021479;POINT (11.3021479 46.0137503);Albergo Sandro;hotel;;;;;;;;;;
799244877;46.0143148;11.3024259;POINT (11.3024259 46.0143148);Hotel Cristallo;hotel;;;;;;;;;;
802567867;46.2796541;11.6484818;POINT (11.6484818 46.2796541);Agritur Malga Valmaggiore;alpine_hut;;;;;alpine_hut;;;;;
803490568;45.8861891;10.8407161;POINT (10.8407161 45.8861891);Ancora;hotel;;;;;;;;;;
812369976;45.8835673;10.8577;POINT (10.8577 45.8835673);Villa Rina;guest_house;Via Belluno;Riva del Garda;38066;13;;;;;;
815521332;46.2302361;10.8267762;POINT (10.8267762 46.2302361);Hotel St. Hubertus;hotel;;;;;;;;;;
822669028;46.1412572;10.9667355;POINT (10.9667355 46.1412572);Du Lac;hotel;Via Nazionale;Molveno;38018;4;;;;http://www.hoteldulac.it/;+39 0461 586965;info@hoteldulac.it
822669069;46.3505058;11.0886217;POINT (11.0886217 46.3505058);Hotel Miraval;hotel;Via G. Marconi;Coredo;38012;12;;;;https://www.miravalhotel.it;+39 0463 536 141;info@miravalhotel.it
846645382;46.3951901;11.1473119;POINT (11.1473119 46.3951901);Stella Alpina;guest_house;;;;;;;;;;
859538663;45.9406609;11.2516443;POINT (11.2516443 45.9406609);Astoria;hotel;Via Trento;;;;;;;;;
859538664;45.9408372;11.2509037;POINT (11.2509037 45.9408372);Bertoldi;hotel;;;;;;;;;;
859538671;45.9417205;11.2521997;POINT (11.2521997 45.9417205);Da Villa;hotel;;;;;;;;;;
859538674;45.9420573;11.2517639;POINT (11.2517639 45.9420573);Villa Maria;hotel;;;;;;;;;;
859538685;45.9415561;11.251368;POINT (11.251368 45.9415561);Esperia;hotel;;;;;;;;;;
861289099;45.8694857;10.8753011;POINT (10.8753011 45.8694857);Stella;hotel;Via Strada Granda;;;104;;;;http://villastella.it/;+39 0464 505354;info@villastella.it
861289107;46.0730669;11.1038947;POINT (11.1038947 46.0730669);Garni San Giorgio della scala;hotel;Via Brescia;;;133;;;;https://www.garnisangiorgio.it/;+39 0461 238848;
870414524;46.2648324;11.8022402;POINT (11.8022402 46.2648324);Paladin;hotel;;;;;;;;;;
874276711;46.0680641;11.1214788;POINT (11.1214788 46.0680641);B&B Al Duomo di Trento;guest_house;Via Rodolfo Belenzani;Trento;38122;47;;;;http://www.bedalduomoditrento.it/;;info@bedalduomoditrento.it
890154413;46.3339781;10.8877193;POINT (10.8877193 46.3339781);Holiday;hotel;;;;;;;;;;
902467847;45.9152056;10.904247;POINT (10.904247 45.9152056);Agritur Michelotti;guest_house;;;;;;;;https://www.agriturmichelotti.it/default.htm;+39 0464 516272;info@agriturmichelotti.it
902470913;45.9149523;10.9047411;POINT (10.9047411 45.9149523);GardaStivo;guest_house;Via Soccesure;Bolognano;38062;1;;;;https://www.appartamentigardastivo.com/;;info@appartamentigardastivo.com
913944508;45.8916331;10.6020197;POINT (10.6020197 45.8916331);Albergo Condino;hotel;;;;;;;;;;
915835764;45.8819094;10.8585565;POINT (10.8585565 45.8819094);Ambassador Suite Hotel;hotel;;;;;;;;;;
918164445;46.1947677;11.6800833;POINT (11.6800833 46.1947677);Highlander Pub;guest_house;;;;;;;;;;
918935666;46.1678509;11.1140406;POINT (11.1140406 46.1678509);Camping Moser;camp_site;;;;;;;;;;
918957461;46.1649408;11.112481;POINT (11.112481 46.1649408);Hotel Ristorante Alla Nave;hotel;Via Nazionale;Nave San Felice;38015;29;"regional;pizza";;Famiglia Battisti;http://www.hotelallanave.it/;+39 0461 870111;info@hotelallanave.it
