id;name;latitude;longitude;bounds;geometry;type
17667218;Lago di Caldonazzo;;;{'minlat': 46.0017393, 'minlon': 11.2294754, 'maxlat': 46.0381938, 'maxlon': 11.265984};POLYGON ((11.2369717 46.0105102, 11.2369463 46.0112666, 11.2364788 46.0119583, 11.2362369 46.0129082, 11.2356986 46.013641, 11.2353099 46.0139472, 11.2351371 46.0141941, 11.2350425 46.0144992, 11.2349655 46.0152526, 11.2348302 46.0160919, 11.234564 46.0164312, 11.2344339 46.0168547, 11.2341106 46.0172383, 11.2335475 46.0174947, 11.2331123 46.0177764, 11.2329353 46.0180516, 11.2328996 46.018352, 11.2326561 46.0186437, 11.2325886 46.0192846, 11.2312518 46.0202551, 11.2311192 46.0206168, 11.2309484 46.0208847, 11.2310265 46.0211694, 11.2310265 46.0215898, 11.230701 46.0220171, 11.2308239 46.0225101, 11.230617 46.0230203, 11.2305681 46.0242867, 11.2307025 46.0245679, 11.2307536 46.0246748, 11.2311594 46.0253311, 11.2312736 46.0260563, 11.2312265 46.0263942, 11.2315375 46.0265745, 11.2315508 46.0267092, 11.2315559 46.0267348, 11.2316375 46.0268048, 11.2316999 46.0268448, 11.2320048 46.0269515, 11.2319904 46.0269748, 11.2316639 46.0268565, 11.2316423 46.0268682, 11.2314526 46.0267882, 11.2313422 46.0267582, 11.2311157 46.026879, 11.2316566 46.0271697, 11.2316319 46.0271883, 11.2310935 46.0268933, 11.2309677 46.0270899, 11.2311357 46.0273082, 11.2313174 46.0274521, 11.2321149 46.0276244, 11.2324011 46.027736, 11.2333138 46.0278411, 11.2334799 46.0279926, 11.23352 46.0280816, 11.2336846 46.0282332, 11.2335801 46.0284099, 11.2333477 46.0285638, 11.2330157 46.0287907, 11.2330922 46.0291002, 11.2329964 46.0293297, 11.2329001 46.0296947, 11.2327387 46.0302051, 11.2327789 46.0304152, 11.2325547 46.0307608, 11.232557 46.0308421, 11.2326852 46.0309209, 11.232614 46.0310984, 11.2324192 46.0313289, 11.2323182 46.0313943, 11.2322255 46.0315585, 11.2320989 46.0319288, 11.2321569 46.0319376, 11.2321659 46.0320186, 11.2320239 46.0321787, 11.2314908 46.0323003, 11.2312353 46.032413, 11.2297869 46.033397, 11.2295879 46.0335224, 11.2294754 46.0339063, 11.2299263 46.0354091, 11.230006 46.0355409, 11.2300631 46.0356493, 11.2302187 46.035707, 11.2306122 46.036072, 11.2309214 46.0361781, 11.2312339 46.03635, 11.2314606 46.0363829, 11.2315464 46.0364741, 11.231707 46.0364901, 11.2319782 46.0364183, 11.2320793 46.0363512, 11.2322027 46.0361766, 11.232254 46.0361491, 11.23253 46.0360668, 11.2328108 46.0361748, 11.2330494 46.0361992, 11.2336346 46.0363022, 11.2339824 46.0363202, 11.2342432 46.0362949, 11.2342718 46.0362714, 11.2343886 46.0361754, 11.2345843 46.0362759, 11.2348115 46.0363046, 11.2349912 46.0363045, 11.2350017 46.0360883, 11.2353728 46.0361767, 11.2353228 46.0363462, 11.2358087 46.0364498, 11.2358991 46.0362988, 11.2360715 46.0361627, 11.2362229 46.0361912, 11.2363213 46.0362098, 11.2363505 46.0362804, 11.2363317 46.0364202, 11.2364928 46.0364645, 11.2366975 46.0364654, 11.2367754 46.0364102, 11.2370428 46.0365141, 11.23714 46.0366545, 11.2370437 46.0366732, 11.2371318 46.0370366, 11.2373416 46.0370822, 11.2374939 46.0372218, 11.2374594 46.037406, 11.2374245 46.0375922, 11.2374379 46.0377451, 11.2375305 46.0378796, 11.2377786 46.0379718, 11.2379001 46.0379786, 11.2379333 46.0380929, 11.2380135 46.038132, 11.2382875 46.0381938, 11.2383611 46.0380328, 11.2385906 46.0380429, 11.238612 46.038041, 11.23896 46.0380093, 11.2393774 46.0377872, 11.2395741 46.0378099, 11.2400518 46.0377471, 11.2402678 46.0378281, 11.2402918 46.0379226, 11.2407196 46.0379751, 11.241231 46.0376368, 11.2415149 46.037647, 11.2416231 46.0377169, 11.2416312 46.0377363, 11.2417558 46.038036, 11.2424376 46.0380194, 11.2428667 46.0379151, 11.2434461 46.0370959, 11.243393 46.0370064, 11.2433682 46.03694, 11.2433867 46.0368744, 11.243396 46.0368413, 11.2435079 46.0366587, 11.243657 46.0364221, 11.2437949 46.0361957, 11.2439114 46.0359188, 11.2438808 46.0357594, 11.2438941 46.0353327, 11.2439841 46.0345655, 11.2441762 46.03403, 11.2449121 46.0332142, 11.245005 46.0326679, 11.2448587 46.0320504, 11.2448805 46.0314517, 11.2450405 46.0309009, 11.2446921 46.0305666, 11.2446321 46.030509, 11.2449826 46.0303044, 11.245055 46.030256, 11.2451167 46.0302197, 11.2451891 46.0301583, 11.2452333 46.0301322, 11.2452454 46.0300959, 11.2454023 46.030013, 11.2455502 46.0298913, 11.2455539 46.0291387, 11.2454144 46.0289562, 11.2453795 46.0288333, 11.2455002 46.0286415, 11.2455083 46.0286042, 11.2453876 46.028459, 11.2453929 46.0283454, 11.2454416 46.0279269, 11.2454384 46.0279172, 11.2454335 46.027903, 11.2453205 46.0275632, 11.2449989 46.0272683, 11.2448323 46.0269822, 11.2448184 46.0266404, 11.2448904 46.0263711, 11.2448563 46.0257371, 11.2450762 46.025397, 11.2452767 46.0250868, 11.2454694 46.0247421, 11.2454123 46.0243777, 11.2455871 46.0241916, 11.2461214 46.024023, 11.2473273 46.0232306, 11.2496641 46.0212527, 11.2500147 46.0210324, 11.2501398 46.0210474, 11.2524376 46.0194928, 11.2529681 46.0190455, 11.253735 46.0186455, 11.2539752 46.0186271, 11.254384 46.0184614, 11.2546579 46.0184423, 11.2554796 46.018189, 11.2563848 46.0177628, 11.2566977 46.0173559, 11.2568512 46.017037, 11.2571614 46.0165098, 11.257464 46.0162745, 11.2578203 46.016014, 11.2580773 46.0155278, 11.2585016 46.0152868, 11.2586782 46.0150181, 11.2593161 46.0146145, 11.2593395 46.0145915, 11.2596566 46.0143464, 11.2596743 46.0142655, 11.2598396 46.0141366, 11.2598679 46.0141224, 11.259883 46.0141148, 11.2599554 46.0140553, 11.2599898 46.0139508, 11.2601408 46.0138751, 11.2606919 46.0131699, 11.2606858 46.012921, 11.2616267 46.0122274, 11.2619513 46.0121024, 11.2623067 46.0117588, 11.262581 46.0113789, 11.2628202 46.0103697, 11.2630004 46.0100121, 11.2634322 46.0095191, 11.2637955 46.0089406, 11.264096 46.0086606, 11.2644391 46.0085437, 11.2645179 46.0084328, 11.264694 46.0083359, 11.265216 46.0081517, 11.2657204 46.0076393, 11.2656884 46.0075682, 11.2659189 46.0072499, 11.2656507 46.0073524, 11.2656331 46.007287, 11.265984 46.0070616, 11.2659496 46.0069534, 11.2658343 46.006848, 11.2657419 46.0068046, 11.2652287 46.0065343, 11.2650105 46.0064873, 11.2649121 46.0064441, 11.2647343 46.0064074, 11.2646628 46.0064074, 11.2646014 46.0064503, 11.2644363 46.006338, 11.2642825 46.0062801, 11.2641125 46.0062314, 11.263863 46.006201, 11.2637967 46.0062136, 11.2636913 46.0062337, 11.2635954 46.006157, 11.2635466 46.0061427, 11.263499 46.0061292, 11.2634765 46.0061223, 11.2629054 46.005931, 11.2628341 46.0059136, 11.2627956 46.0059015, 11.2627738 46.005935, 11.2622907 46.0057842, 11.2622432 46.0057864, 11.2621906 46.0057747, 11.2621489 46.0057548, 11.2621236 46.0057345, 11.2620759 46.005763, 11.2617646 46.0055688, 11.2615041 46.0054851, 11.2614141 46.0054468, 11.2612199 46.0053527, 11.2610967 46.0052887, 11.2609733 46.0052025, 11.2609148 46.00518, 11.2608781 46.0051658, 11.2607512 46.0051168, 11.260725 46.0051133, 11.2604796 46.0050401, 11.2604584 46.0050651, 11.2604244 46.0050816, 11.2603873 46.0050849, 11.2603516 46.0050772, 11.2603281 46.0050537, 11.260217 46.0050227, 11.2600885 46.0049699, 11.2600558 46.0049823, 11.2600324 46.0049996, 11.2600116 46.0050295, 11.2599803 46.0050494, 11.2599428 46.0050554, 11.2598913 46.0050458, 11.2598674 46.0050238, 11.2598619 46.004993, 11.2598057 46.0049779, 11.259404 46.0048112, 11.2588459 46.0045988, 11.2588091 46.004629, 11.2587632 46.0046382, 11.2586252 46.0045928, 11.2586038 46.004558, 11.2586319 46.0045228, 11.2586612 46.004486, 11.2586194 46.0044699, 11.258312 46.0043143, 11.2576198 46.0040528, 11.2574638 46.0039858, 11.2572413 46.0039207, 11.257008 46.003852, 11.2567255 46.0037622, 11.2563392 46.0036927, 11.2559532 46.0036578, 11.2555434 46.0035908, 11.255442 46.0035872, 11.2552058 46.003579, 11.2550092 46.0035423, 11.2546296 46.0034716, 11.2542281 46.0032096, 11.2539614 46.0027744, 11.253915 46.0027577, 11.2535125 46.0025491, 11.2530228 46.0023728, 11.2517589 46.0020203, 11.2516374 46.00199, 11.2513746 46.0019285, 11.2511232 46.001866, 11.2509085 46.0018257, 11.2504824 46.0017687, 11.2502726 46.0017477, 11.2500628 46.0017393, 11.249842 46.0017711, 11.2491023 46.0018889, 11.2485573 46.002084, 11.2481734 46.002337, 11.2481528 46.0024411, 11.2480306 46.0027262, 11.2479544 46.0029852, 11.2478652 46.0030762, 11.2478415 46.0031345, 11.2477021 46.0033515, 11.2476273 46.0035604, 11.2475834 46.0037595, 11.2476068 46.0043251, 11.2474311 46.0048575, 11.2473328 46.0051092, 11.2473233 46.005383, 11.2473008 46.005443, 11.2472961 46.0054791, 11.2472383 46.0058463, 11.2472494 46.0060605, 11.2474777 46.006339, 11.2478242 46.0066396, 11.2478911 46.0067659, 11.2479257 46.0067951, 11.2483202 46.0071282, 11.2483027 46.0072369, 11.2482797 46.0073797, 11.2480736 46.007547, 11.2478971 46.007696, 11.2478133 46.0077115, 11.2472332 46.0077028, 11.2467451 46.0075983, 11.2466836 46.0076361, 11.2463595 46.007577, 11.2460569 46.0074629, 11.2460305 46.0074196, 11.2456586 46.0073537, 11.2454036 46.0073771, 11.2448693 46.0075072, 11.2448509 46.007511, 11.2443411 46.0076167, 11.2439645 46.0075959, 11.2429898 46.0074664, 11.2413714 46.0075477, 11.2407981 46.0075781, 11.2403593 46.0077103, 11.2398137 46.0077533, 11.2393036 46.0078601, 11.2388577 46.0081355, 11.2387493 46.0083179, 11.2383428 46.008526, 11.2375986 46.0089124, 11.2373306 46.0093087, 11.237099 46.0097377, 11.237198 46.01008, 11.2371626 46.0102668, 11.2370307 46.0103233, 11.2369717 46.0105102));lake
17669165;Lago di Levico;;;{'minlat': 46.0071274, 'minlon': 11.2649909, 'maxlat': 46.028345, 'maxlon': 11.2869661};POLYGON ((11.2819509 46.0076885, 11.2810478 46.0071274, 11.2784296 46.0086678, 11.2776683 46.0092265, 11.2772227 46.0096793, 11.2770587 46.0096751, 11.2767433 46.009923, 11.2766404 46.0101814, 11.2766555 46.0104828, 11.276533 46.0107034, 11.2764203 46.0113027, 11.2760671 46.0116084, 11.2758374 46.0119775, 11.2756729 46.0125578, 11.2749641 46.0129399, 11.2744023 46.0137374, 11.2739277 46.0143433, 11.2736868 46.0147219, 11.2737424 46.0149657, 11.2737259 46.0151317, 11.2732336 46.0153893, 11.272772 46.0159981, 11.2723166 46.0163224, 11.2719871 46.0164061, 11.2718796 46.0166806, 11.2714212 46.0173754, 11.2713881 46.0175985, 11.2709938 46.0184554, 11.2702462 46.0194918, 11.2702473 46.0197078, 11.2702478 46.0197945, 11.2702698 46.0198525, 11.2703864 46.02016, 11.2702735 46.0205181, 11.2702683 46.0207149, 11.2700527 46.0210431, 11.2699429 46.021471, 11.2700051 46.0220795, 11.2696819 46.0226469, 11.2688368 46.0234773, 11.2679852 46.0240177, 11.2679733 46.0242082, 11.2677767 46.0243384, 11.2676636 46.0243128, 11.2675629 46.0242899, 11.2675407 46.0242849, 11.2672044 46.0244828, 11.2666606 46.0251123, 11.2663692 46.0252842, 11.2662174 46.0256878, 11.2660615 46.0257532, 11.2658075 46.0259565, 11.2655957 46.0264182, 11.2652763 46.0267922, 11.2650469 46.027202, 11.2649909 46.0275088, 11.2650136 46.0278141, 11.2653699 46.0282362, 11.2659919 46.028345, 11.2664776 46.0282446, 11.2667271 46.0281533, 11.2666709 46.0280791, 11.267071 46.0278652, 11.2672609 46.0277637, 11.267378 46.0276076, 11.2672524 46.0272608, 11.2674274 46.0267417, 11.2682681 46.0259452, 11.2691342 46.0253352, 11.2696098 46.0243367, 11.269724 46.0239347, 11.2700433 46.0236497, 11.2710713 46.022929, 11.2715432 46.022822, 11.2717932 46.0228426, 11.2721623 46.0226811, 11.2728496 46.0223245, 11.2729846 46.0223099, 11.2733858 46.0219809, 11.2736482 46.021993, 11.2740075 46.021843, 11.2741151 46.0216187, 11.2739275 46.0210909, 11.2738949 46.0208255, 11.2742623 46.0202554, 11.2744542 46.0199441, 11.2746106 46.019569, 11.2748855 46.0192264, 11.2749215 46.0190832, 11.2752985 46.0185171, 11.2758191 46.0176813, 11.2794469 46.0167557, 11.2801767 46.0165953, 11.2805512 46.0164093, 11.2809225 46.0162721, 11.2819396 46.0160499, 11.2832859 46.0156845, 11.2839473 46.015491, 11.2839976 46.0155588, 11.2853145 46.0152683, 11.2853852 46.0151214, 11.2858243 46.014894, 11.2859112 46.014878, 11.2860494 46.0148074, 11.2861012 46.0149993, 11.2865841 46.0148878, 11.2866664 46.0146653, 11.2866846 46.0144176, 11.2866488 46.0143889, 11.286693 46.0143096, 11.2867549 46.014322, 11.2868153 46.0142502, 11.2868853 46.0138627, 11.2868982 46.0133229, 11.2868408 46.01311, 11.2868253 46.0130549, 11.2868162 46.0129867, 11.2868189 46.0129053, 11.2868406 46.0128234, 11.2868817 46.0127349, 11.2869301 46.0126644, 11.2869573 46.0126016, 11.2869597 46.0125515, 11.2869661 46.0124193, 11.2867158 46.0120614, 11.2863986 46.0118311, 11.2862967 46.0115371, 11.2861159 46.011285, 11.2860928 46.010992, 11.2859053 46.0107134, 11.2857662 46.0104629, 11.2857333 46.0104057, 11.2857149 46.010316, 11.2857323 46.0101421, 11.2857665 46.0100862, 11.2858796 46.010062, 11.2859354 46.0099382, 11.2862611 46.0097522, 11.2862711 46.0096849, 11.2864356 46.0092727, 11.2861689 46.0092113, 11.2858149 46.0089364, 11.2855802 46.0087461, 11.284871 46.0087038, 11.2848139 46.0087093, 11.2845057 46.0087975, 11.2843086 46.0088597, 11.2834676 46.0088003, 11.2831926 46.0087185, 11.2829816 46.0084849, 11.2831405 46.0083567, 11.2830371 46.0082563, 11.2828331 46.0082412, 11.2826287 46.0080886, 11.282569 46.0078813, 11.2819509 46.0076885));lake
22990975;Lago di Canzolino;;;{'minlat': 46.0819587, 'minlon': 11.2234043, 'maxlat': 46.0843156, 'maxlon': 11.2299977};POLYGON ((11.2299977 46.0824225, 11.2296464 46.0822456, 11.2288679 46.0821645, 11.2280552 46.0820549, 11.227066 46.0819587, 11.2270221 46.0820952, 11.2260828 46.0821589, 11.2257339 46.0822157, 11.2244024 46.0828653, 11.2238739 46.0832043, 11.223494 46.083538, 11.2234043 46.0838967, 11.2234358 46.0840379, 11.2235393 46.0841736, 11.2235595 46.084289, 11.2239412 46.0843156, 11.2242631 46.0842311, 11.2246419 46.0842816, 11.2249132 46.0841974, 11.2251265 46.084038, 11.2257696 46.0836719, 11.2260633 46.0835838, 11.2262846 46.0834706, 11.2267271 46.0834311, 11.2271657 46.0833178, 11.2274802 46.0832011, 11.227657 46.0832275, 11.2277931 46.0832938, 11.2280113 46.083352, 11.2284637 46.0832936, 11.2287155 46.0832775, 11.2289476 46.0832281, 11.229112 46.083132, 11.2293398 46.0830708, 11.2294793 46.0829912, 11.2296375 46.0828224, 11.2299213 46.0826647, 11.2299529 46.0826139, 11.2299934 46.0825489, 11.2299977 46.0824225));lake
23052852;Lago Santo;;;{'minlat': 46.1219262, 'minlon': 11.0550684, 'maxlat': 46.1266198, 'maxlon': 11.0605708};POLYGON ((11.0554338 46.1229194, 11.0558243 46.1231279, 11.0562443 46.1233263, 11.0566731 46.1236045, 11.0569591 46.1240912, 11.0573178 46.1242046, 11.0575667 46.1241987, 11.0580559 46.1243474, 11.0582877 46.124627, 11.058218 46.1250635, 11.0580817 46.1254241, 11.0582276 46.1256562, 11.0588027 46.1263403, 11.0591104 46.1263232, 11.0594035 46.1264652, 11.0601588 46.1266198, 11.0602875 46.1265009, 11.0605708 46.1264235, 11.0605708 46.1260785, 11.0602017 46.1254836, 11.0595711 46.1248814, 11.0590237 46.1240354, 11.0563639 46.1221754, 11.0560217 46.1219857, 11.05579 46.1219262, 11.0555926 46.12195, 11.0554123 46.1221225, 11.0553265 46.1222831, 11.0551634 46.1224616, 11.0550684 46.1226673, 11.0551871 46.1228165, 11.0554338 46.1229194));lake
23411064;Lago delle Stellune;;;{'minlat': 46.1952023, 'minlon': 11.4974322, 'maxlat': 46.1970742, 'maxlon': 11.5000221};POLYGON ((11.4993658 46.1967016, 11.4993739 46.1965974, 11.4997192 46.1962892, 11.499859 46.1960303, 11.4997308 46.1958947, 11.4997532 46.1958278, 11.4997888 46.1957217, 11.5000221 46.1955098, 11.4996814 46.1954259, 11.4991716 46.1952547, 11.4987122 46.1952023, 11.4983712 46.1952547, 11.4980683 46.1953211, 11.4978411 46.1955972, 11.4976973 46.1958541, 11.4974322 46.1960795, 11.4974511 46.196552, 11.4975053 46.1967632, 11.4976499 46.1968882, 11.4978746 46.196946, 11.4980668 46.1969521, 11.4982892 46.1970388, 11.498501 46.1970742, 11.4987498 46.1970335, 11.4988727 46.1969052, 11.4991464 46.196735, 11.4993658 46.1967016));lake
24869892;Lago di Lagolo;;;{'minlat': 46.0394001, 'minlon': 11.0051383, 'maxlat': 46.0417454, 'maxlon': 11.0067988};POLYGON ((11.0062297 46.0417454, 11.006497 46.0416495, 11.0066273 46.0415233, 11.006684 46.041248, 11.0065648 46.0407935, 11.0066959 46.040681, 11.0066994 46.0405445, 11.0067925 46.040511, 11.0067762 46.0402965, 11.0067988 46.0399988, 11.0066507 46.0399898, 11.0064593 46.0397157, 11.0060988 46.0394774, 11.0057345 46.0394335, 11.0055753 46.0394656, 11.0054299 46.0394001, 11.0052242 46.0395327, 11.0053584 46.0396383, 11.0052524 46.0398139, 11.0051404 46.0401506, 11.0051383 46.0405242, 11.0052087 46.040806, 11.0053765 46.0411391, 11.0055774 46.0413408, 11.0055311 46.0413379, 11.0054491 46.0413613, 11.0054302 46.0414094, 11.0054933 46.0414678, 11.0055837 46.0414897, 11.0056405 46.0414663, 11.0056363 46.0414036, 11.005796 46.0415604, 11.0060021 46.0416954, 11.0062297 46.0417454));lake
24914735;Lago di Madrano;;;{'minlat': 46.085015, 'minlon': 11.218091, 'maxlat': 46.0861113, 'maxlon': 11.2197517};POLYGON ((11.2197517 46.0854359, 11.2195191 46.0851504, 11.2193308 46.085015, 11.2189895 46.0850842, 11.21856 46.0852925, 11.2183189 46.0854799, 11.218091 46.0855529, 11.2181751 46.0856337, 11.2181353 46.0857198, 11.2181883 46.0858059, 11.2181221 46.0859515, 11.2181562 46.0860763, 11.2183943 46.086109, 11.2185533 46.0861113, 11.2186791 46.0860252, 11.2190545 46.0859097, 11.2193963 46.0857791, 11.2195365 46.085669, 11.2196751 46.085544, 11.2197517 46.0854359));lake
25343865;Laghestel;;;{'minlat': 46.1143509, 'minlon': 11.2248695, 'maxlat': 46.1151466, 'maxlon': 11.2261423};POLYGON ((11.2253604 46.1151189, 11.225314 46.1150952, 11.2252594 46.1151209, 11.2252357 46.1151046, 11.2251957 46.1151151, 11.2251476 46.1151114, 11.2251014 46.1150603, 11.225043 46.1150754, 11.2249806 46.1150454, 11.2249658 46.1150251, 11.2249653 46.1150048, 11.2249187 46.1149988, 11.2249032 46.1149825, 11.2249579 46.1149717, 11.2249453 46.1149164, 11.2249039 46.1148733, 11.224954 46.1148233, 11.2249919 46.1147985, 11.2249693 46.1147672, 11.2249426 46.1147387, 11.2249624 46.1147098, 11.2249184 46.1147058, 11.2249129 46.1146651, 11.2248695 46.1146626, 11.2248904 46.1146311, 11.224887 46.1145968, 11.2249486 46.1145695, 11.2249371 46.1145365, 11.2249281 46.1145136, 11.2249668 46.1145143, 11.2249869 46.1144996, 11.2250001 46.1144626, 11.2250875 46.1144366, 11.2251316 46.114435, 11.2251717 46.1144561, 11.2252046 46.1144327, 11.2252457 46.1144318, 11.2252473 46.1143975, 11.2252953 46.1143768, 11.2253628 46.1143973, 11.2253815 46.1143642, 11.2255019 46.1143509, 11.2255324 46.1143903, 11.2256025 46.1144001, 11.225662 46.1144092, 11.2257337 46.1144606, 11.2257815 46.114407, 11.2258461 46.1144323, 11.2259106 46.114466, 11.2259122 46.1145245, 11.2260114 46.1145463, 11.2261033 46.1145875, 11.2261329 46.1146335, 11.2261423 46.1146767, 11.2260374 46.1147084, 11.2260333 46.1147571, 11.2259967 46.1148171, 11.2260007 46.1148525, 11.225972 46.114867, 11.2259351 46.1149298, 11.2259032 46.1149771, 11.2259219 46.1150008, 11.2258783 46.1150155, 11.2258484 46.1150622, 11.225805 46.1150687, 11.2257575 46.1151062, 11.2256895 46.1151278, 11.2256214 46.1151466, 11.2255626 46.1151363, 11.2254773 46.1151354, 11.2254207 46.1151055, 11.2253604 46.1151189));lake
25777338;Laghetto di Lagorai maggiore;;;{'minlat': 46.2085828, 'minlon': 11.5238348, 'maxlat': 46.2102515, 'maxlon': 11.5271245};POLYGON ((11.5269772 46.2097162, 11.5271027 46.2095473, 11.5270182 46.2094133, 11.5270842 46.209328, 11.5271245 46.2090626, 11.5270698 46.2088318, 11.5267331 46.2085946, 11.5262943 46.2085828, 11.525831 46.2087415, 11.5254541 46.2086413, 11.5252783 46.2090082, 11.5249535 46.2090592, 11.5248158 46.2092313, 11.5246689 46.2092473, 11.5244651 46.2091322, 11.5243123 46.2091669, 11.5240455 46.2093358, 11.5239984 46.2095331, 11.5238348 46.2096111, 11.5238831 46.209683, 11.5240306 46.2097967, 11.5241989 46.2097928, 11.5244624 46.2097522, 11.5246151 46.209719, 11.5246984 46.2098041, 11.5248513 46.2098375, 11.524921 46.2098951, 11.5251168 46.2099433, 11.5252174 46.2100748, 11.5254494 46.2101364, 11.5255916 46.210219, 11.5256307 46.2102197, 11.5256813 46.2102429, 11.5258062 46.2102515, 11.5259483 46.2101605, 11.526179 46.2101531, 11.5263875 46.2100486, 11.5269772 46.2097162));lake
25777422;Laghi di Bombasel;;;{'minlat': 46.225801, 'minlon': 11.5084127, 'maxlat': 46.2278127, 'maxlon': 11.5110288};POLYGON ((11.5098272 46.227772, 11.5100693 46.2277424, 11.5103061 46.2276237, 11.5104886 46.2275049, 11.5107158 46.2274583, 11.5110288 46.227297, 11.5109495 46.2271137, 11.5107316 46.226926, 11.51071 46.2268117, 11.5107026 46.2265247, 11.5106204 46.226413, 11.5100047 46.2262673, 11.5099015 46.2261992, 11.5092169 46.2258854, 11.5087224 46.225801, 11.5085126 46.225932, 11.5084127 46.2260778, 11.5084163 46.2262798, 11.5085103 46.2266165, 11.5085691 46.2266706, 11.5086816 46.227119, 11.5086837 46.2272022, 11.5088223 46.2272837, 11.5091474 46.2277265, 11.5093705 46.2278127, 11.5095445 46.2278021, 11.5096391 46.2276876, 11.5098272 46.227772));lake
