id;name;latitude;longitude;geometry;memorial_type;inscription;type
64776777;Kaiserschuetzen 1917;45.9368351;11.0951798;POINT (11.0951798 45.9368351);war_memorial;;memorialwar_memorial
248947102;Monumento ad Alcide Degasperi;46.0678336;11.1275793;POINT (11.1275793 46.0678336);;;
268437617;Caduti della Resistenza in Albania;46.0660591;11.1255131;POINT (11.1255131 46.0660591);statue;;memorialstatue
269894250;Unnamed;45.8857878;10.8435203;POINT (10.8435203 45.8857878);bust;;memorialbust
269894274;San Giovanni Napomuceno;45.884126;10.8391446;POINT (10.8391446 45.884126);statue;;memorialstatue
270099585;Campana dei Caduti;45.8740208;11.0389098;POINT (11.0389098 45.8740208);;;
276248562;Monumento ai Caduti;46.1310995;11.2463352;POINT (11.2463352 46.1310995);war_memorial;;memorialwar_memorial
292751346;Theodor Christomannos;46.413825;11.6230151;POINT (11.6230151 46.413825);;;
298491630;Castel Saiori;45.8003546;11.0058349;POINT (11.0058349 45.8003546);;;
306399106;Unnamed;45.8797994;11.0413851;POINT (11.0413851 45.8797994);;;
307705093;Castel Corno;45.8891533;10.9916134;POINT (10.9916134 45.8891533);;;
322065419;Armistizio del 29-10-1918;45.8180301;11.0111764;POINT (11.0111764 45.8180301);;;
322071391;Madonna del Cacciatore;45.7904782;11.0331347;POINT (11.0331347 45.7904782);;;
323204092;Unnamed;45.9029325;10.8608405;POINT (10.8608405 45.9029325);;;
335605395;Monumento alle Guide Alpine;46.230711;10.8274004;POINT (10.8274004 46.230711);sculpture;;memorialsculpture
335647222;Monumento ai Caduti;45.8885145;10.6702788;POINT (10.6702788 45.8885145);;;
364991102;Madonnina del Lago;45.9524269;11.0196472;POINT (11.0196472 45.9524269);;;
379532622;Unnamed;45.8643541;10.8854771;POINT (10.8854771 45.8643541);;;
402814579;Monumento ai caduti;45.8579426;10.8993094;POINT (10.8993094 45.8579426);;;
412834792;Cros dei Francesi;46.1706715;11.0613118;POINT (11.0613118 46.1706715);;;
430368127;Memoriale Cesare Battisti e Fabio Filzi;45.8146632;11.124656;POINT (11.124656 45.8146632);;;
469267431;Unnamed;45.7694743;10.9662699;POINT (10.9662699 45.7694743);;;
520498906;Monumento ai caduti;45.7992343;11.179623;POINT (11.179623 45.7992343);;;
520499052;Tomba Generale Vittorio Emanuele Rossi;45.7938002;11.1844281;POINT (11.1844281 45.7938002);;;
520499474;Arco Romano;45.7926983;11.1854947;POINT (11.1854947 45.7926983);;;
540427490;Unnamed;45.9237397;10.6986613;POINT (10.6986613 45.9237397);;;
552935671;Castello di Segonzano;46.1865692;11.2513554;POINT (11.2513554 46.1865692);;;
616567418;Monumento ai caduti;45.8388729;10.9701187;POINT (10.9701187 45.8388729);;;
672805949;Adelpreto;45.8968793;11.0433165;POINT (11.0433165 45.8968793);;;
675334487;Monumento ai caduti;46.0492721;11.1439881;POINT (11.1439881 46.0492721);;;
701422166;Monumento ai caduti;45.8502703;10.8235693;POINT (10.8235693 45.8502703);obelisk;;memorialobelisk
721098590;Cimitero militare monumentale austroungarico;46.0009878;10.6940124;POINT (10.6940124 46.0009878);;;
734227540;Unnamed;45.8718338;10.774629;POINT (10.774629 45.8718338);stele;;memorialstele
736936486;Kaiserschützen memorial;45.8279358;11.0518275;POINT (11.0518275 45.8279358);;;
739372013;Monumento ai Caduti;46.1518003;11.7975542;POINT (11.7975542 46.1518003);;;
748783526;Monumento dei caduti;45.8175742;10.9559581;POINT (10.9559581 45.8175742);sculpture;;memorialsculpture
754103250;Monumento ad Alois Storch;45.895813;10.8586307;POINT (10.8586307 45.895813);war_memorial;;memorialwar_memorial
