id,name,latitude,longitude
9887931,Torrente Noce,46.2938937,11.0642555
14974932,Unnamed,46.0454314,10.9629578
23761948,Torrente Avisio,46.2722547,11.4271218
25486874,Adige,46.1126165,11.0899039
25486877,Adige,45.8213658,11.0130833
25883260,Torrente Avisio,46.1539729,11.1647147
27662815,Torrente Travignolo,46.3066078,11.648379
41552564,Brenta,46.0025962,11.3008553
42778460,Fiume Brenta,46.0049024,11.2755933
42783192,Fiume Chiese,45.965665,10.581222
43140115,Rio Riccomassimo,45.8510109,10.5037218
43405648,Fiume Chiese,45.8609685,10.575479
43406125,Fiume Chiese,45.8375293,10.5584213
71506172,Torrente Noce,46.3456329,11.0612496
72370165,Torrente Avisio,46.2801463,11.4522028
72370172,Torrente Avisio - La Veisc,46.3804727,11.6631691
72844280,Fiume Rimone,46.0273543,10.9609221
73811480,Astico,45.8400962,11.3665668
74335504,Torrente Noce,46.325013,11.0608731
81409931,Torrente Leno,45.8812614,11.0414877
82552633,Fiume Chiese,46.0147498,10.5173735
84507425,Rio Riccomassimo,45.8788476,10.4972331
84511246,Fiume Chiese,45.8123717,10.5371751
86157156,Unnamed,45.658261,10.7466125
94750481,Sarca di Nambrone,46.199124,10.7626929
94830179,Sarca di Genova,46.1813596,10.6540278
95032370,Torrente Rabbies,46.4071947,10.839448
96707624,Torrente Noce,46.1892131,11.0859064
100873582,Torrente Adanà,45.9592955,10.657284
101862362,Sarca di Genova,46.1903607,10.6247318
103153450,Torrente Avisio,46.2339724,11.3155125
103153666,Torrente Avisio,46.2164999,11.2968418
103549585,Torrente Cismon,46.0723531,11.7653638
114146381,Torrente Noce,46.3323886,10.7158144
129363884,Adige,46.1888912,11.1259325
142897687,Torrente Noce,46.2631494,11.0608438
142897813,Torrente Noce,46.2325094,11.062685
154138725,Adige,45.6906226,10.9140766
156255271,Unnamed,46.2439333,11.0603498
159487294,Sarca,46.1701912,10.729309
159499307,Unnamed,46.1579019,11.8039233
159499359,Torrente Cismon,46.2631631,11.802057
159499366,Unnamed,46.1163286,11.7729375
159826986,Torrente Noce,46.3123616,10.7700531
159827001,Unnamed,46.392219,11.0210372
159833502,Torrente Avisio,46.2934121,11.5245604
159833506,Torrente Avisio,46.2802104,11.4537052
159839917,Torrente Avisio - La Veisc,46.3597136,11.6387931
159993746,Adige,46.0635669,11.1111049
159993747,Adige,46.1436728,11.0754605
159993791,Unnamed,46.3685016,11.0450183
159993801,Torrente Noce,46.2994645,11.0630962
162107009,Fiume Brenta,46.0058363,11.6026397
162107010,Adige,45.9937386,11.1118091
162107015,Unnamed,46.1342018,11.7726272
166611827,Torrente Avisio,46.2637005,11.3877865
168354634,Sarca,46.1689971,10.7636713
178673118,Unnamed,46.1044497,11.771313
184282988,Unnamed,46.1062635,11.7723095
186378988,Fiume Caffaro,45.8197368,10.4946672
186378991,Fiume Chiese,45.898341,10.6085253
186378993,Fiume Chiese,45.8091866,10.5293918
188617029,Torrente Avisio,46.3142398,11.5958687
217398105,Torrente Noce,46.3621988,10.948392
243640099,Sarca,46.1706921,10.7319726
243640100,Fiume Sarca,46.0419846,10.8436536
244237988,Unnamed,46.0382477,10.8609473
249350121,Unnamed,46.1129188,10.9415105
280842014,Fiume Chiese,46.0413878,10.5137449
289466452,Torrente Noce,46.3226551,10.8450016
289466453,Torrente Noce,46.3144489,10.8017518
326374602,Fiume Chiese,45.9969343,10.5229909
364680845,Fiume Brenta,46.0242775,11.3575328
415853639,Unnamed,46.2622237,11.0608839
415853640,Unnamed,46.2630003,11.0630987
425803500,Torrente Noce,46.2771202,11.0593388
425803501,Torrente Noce,46.2793167,11.0576108
425803502,Torrente Noce,46.2919646,11.0621082
425803503,Torrente Noce,46.3094401,11.0646055
448390870,Brenta Vecchio,46.0533851,11.4460884
448390871,Brenta Vecchio,46.0514811,11.4361103
448390872,Brenta Vecchio,46.0491087,11.4275844
448390874,Brenta Vecchio,46.0429105,11.4202222
448390875,Brenta Vecchio,46.0478227,11.4251774
448390876,Brenta Vecchio,46.0433635,11.4205833
448390877,Brenta Vecchio,46.0542046,11.4505359
