id;name;latitude;longitude;bounds;geometry;type;details
PA_id_595581141;Millegrobbe;45.935989;11.3201384;;POINT (11.3201384 45.935989);skiing:nordic;{'leisure': 'sports_centre'}
PA_id_3184571072;Predaia;46.3261851;11.1413836;;POINT (11.1413836 46.3261851);skiing:downhill;{'lit': 'yes', 'piste:difficulty': 'intermediate'}
PA_id_10039585;Malghetto;;;{'minlat': 46.2852302, 'minlon': 10.8372565, 'maxlat': 46.2907806, 'maxlon': 10.8500996};POLYGON ((10.8372565 46.2852302, 10.8373515 46.2854491, 10.8374159 46.2856326, 10.8375125 46.285754, 10.8375958 46.2858135, 10.8378676 46.2859264, 10.8381884 46.2861312, 10.8383936 46.2863185, 10.838564 46.2864938, 10.8387619 46.286732, 10.8385067 46.2871103, 10.8383579 46.2874057, 10.8383534 46.2874887, 10.8383415 46.2877052, 10.8383936 46.2879403, 10.8384773 46.2881001, 10.8388011 46.2883349, 10.8392027 46.288471, 10.8396337 46.288561, 10.839875 46.2886114, 10.8401611 46.2887484, 10.8405119 46.2889979, 10.8409073 46.2891798, 10.8410329 46.289221, 10.8412279 46.2892473, 10.8412823 46.2892952, 10.841284 46.2893682, 10.840983 46.2894523, 10.8408711 46.2895372, 10.8408964 46.2896512, 10.8410901 46.2896974, 10.8413493 46.2896403, 10.8415356 46.2896259, 10.8417534 46.2896703, 10.8421998 46.2898039, 10.8425676 46.2899053, 10.8431009 46.290048, 10.8441484 46.2905863, 10.84445 46.2906871, 10.8448243 46.2906608, 10.8451098 46.290676, 10.8454585 46.2907612, 10.8458568 46.2907806, 10.8468574 46.2905678, 10.8474571 46.2899527, 10.8476751 46.2894593, 10.8479705 46.2892708, 10.8483646 46.2892683, 10.8487332 46.2893249, 10.8493773 46.2894374, 10.8500996 46.2896645, 10.8372565 46.2852302));skiing:downhill;{'piste:difficulty': 'easy', 'ref': '6'}
PA_id_24154764;Pista Ciclabile Val di Fiemme e Fassa;;;{'minlat': 46.2831496, 'minlon': 11.4807331, 'maxlat': 46.2831836, 'maxlon': 11.4811318};LINESTRING (11.4807331 46.2831496, 11.4811318 46.2831836);skiing:nordic;{'foot': 'yes', 'highway': 'cycleway', 'layer': '-1', 'piste:difficulty': 'easy', 'tunnel': 'yes'}
PA_id_24310197;Pian Frataces;;;{'minlat': 46.481962, 'minlon': 11.8031635, 'maxlat': 46.482475, 'maxlon': 11.8050258};POLYGON ((11.8049547 46.4822306, 11.8050258 46.4821248, 11.8049587 46.4820809, 11.8045013 46.481962, 11.804126 46.4820523, 11.8031635 46.482475, 11.8049547 46.4822306));skiing:downhill;{'piste:difficulty': 'intermediate', 'ref': '6'}
PA_id_24987937;Avez del Prinzep;;;{'minlat': 45.9518062, 'minlon': 11.3021166, 'maxlat': 45.9546579, 'maxlon': 11.3174038};POLYGON ((11.3174038 45.9546579, 11.3171387 45.9544914, 11.3169259 45.9544307, 11.3167106 45.9543814, 11.3164182 45.9544194, 11.3160792 45.954471, 11.3156051 45.9545228, 11.3152761 45.9545957, 11.3149496 45.9546232, 11.3145115 45.9546358, 11.3141775 45.95453, 11.3137548 45.9542659, 11.313571 45.9541427, 11.3132897 45.9540857, 11.3128159 45.9540813, 11.3119603 45.9540514, 11.3115205 45.9539619, 11.3111798 45.9538259, 11.3108113 45.9536039, 11.3104401 45.9532638, 11.3101284 45.9529941, 11.3096821 45.9528867, 11.3090802 45.9528233, 11.3087819 45.9527819, 11.3085807 45.9527059, 11.3083077 45.9525018, 11.3082219 45.9522333, 11.3081414 45.9519591, 11.3079478 45.9518353, 11.3076114 45.9518062, 11.3070293 45.9520226, 11.3066278 45.9522013, 11.3062159 45.9523862, 11.3061197 45.9524479, 11.3059229 45.9526772, 11.3057336 45.9528318, 11.3053919 45.9529591, 11.3046046 45.9530959, 11.3040859 45.9533, 11.3036739 45.9533641, 11.3033993 45.9533044, 11.3030025 45.9531808, 11.3026491 45.9531645, 11.3023125 45.9531952, 11.3021166 45.95341, 11.3174038 45.9546579));skiing:downhill;{'piste:difficulty': 'advanced', 'ref': '16'}
PA_id_25727146;Marcialonga;;;{'minlat': 46.36484, 'minlon': 11.648862, 'maxlat': 46.3658037, 'maxlon': 11.6497712};POLYGON ((11.6497712 46.3658037, 11.6495104 46.365531, 11.648968 46.364957, 11.648862 46.36484, 11.6497712 46.3658037));skiing:nordic;{}
PA_id_27109443;(53) Pradalago diretta;;;{'minlat': 46.2428922, 'minlon': 10.8197145, 'maxlat': 46.249608, 'maxlon': 10.8294705};POLYGON ((10.8197145 46.249608, 10.8206868 46.2487363, 10.8217343 46.2477532, 10.8222661 46.2472214, 10.8225562 46.2463994, 10.8227885 46.2459536, 10.8229709 46.2458349, 10.8238345 46.245481, 10.8241725 46.2452524, 10.8245223 46.2446268, 10.8249849 46.2440821, 10.8253473 46.2438686, 10.8256779 46.2438018, 10.826714 46.2439983, 10.8272356 46.2440207, 10.8275894 46.2439785, 10.8280671 46.2437759, 10.8285831 46.2434427, 10.8294705 46.2428922, 10.8197145 46.249608));skiing:downhill;{'lit': 'no', 'piste:difficulty': 'intermediate', 'ref': '53'}
PA_id_27175940;(76) Nube d'argento;;;{'minlat': 46.2349617, 'minlon': 10.8436481, 'maxlat': 46.2397122, 'maxlon': 10.8478695};POLYGON ((10.8474953 46.2349617, 10.8476309 46.2351567, 10.8478188 46.2355279, 10.8478695 46.2362201, 10.8478139 46.2366578, 10.847612 46.2369325, 10.8473581 46.2371812, 10.8469253 46.2374074, 10.8456377 46.2378046, 10.8453764 46.2378738, 10.84486 46.237964, 10.8445466 46.2380696, 10.8441641 46.2382711, 10.8440676 46.2386472, 10.8439639 46.2391693, 10.8436481 46.2397122, 10.8474953 46.2349617));skiing:downhill;{'piste:difficulty': 'easy', 'ref': '76'}
PA_id_27242815;(70) Spinale Direttissima;;;{'minlat': 46.222289, 'minlon': 10.8298881, 'maxlat': 46.2289776, 'maxlon': 10.8481169};POLYGON ((10.8481169 46.223134, 10.8478363 46.2229914, 10.8473203 46.2229185, 10.8468546 46.2228828, 10.8463812 46.2228067, 10.8456114 46.2223762, 10.8453043 46.222289, 10.8447263 46.2223697, 10.8444125 46.2225868, 10.8442247 46.222906, 10.8439631 46.2231631, 10.8436722 46.2232344, 10.843246 46.2231176, 10.8429748 46.2230665, 10.8427334 46.2230999, 10.8423793 46.2231964, 10.841878 46.2234117, 10.841568 46.2235332, 10.8413993 46.223755, 10.8412903 46.2243098, 10.8412139 46.2244842, 10.8410573 46.2246021, 10.8403706 46.2251662, 10.8398983 46.2255633, 10.8397269 46.2259678, 10.8394909 46.2263631, 10.8390403 46.2268585, 10.8388361 46.2269169, 10.8386242 46.2269262, 10.8384445 46.2269225, 10.8381176 46.2268158, 10.8375919 46.2264781, 10.8371678 46.2263315, 10.8364023 46.22639, 10.8359554 46.2265384, 10.8355816 46.2266971, 10.8351199 46.2268891, 10.8348346 46.2272445, 10.83405 46.227918, 10.8329892 46.2286992, 10.8326536 46.228869, 10.8321417 46.2289776, 10.831731 46.2289654, 10.831286 46.2288755, 10.8305852 46.2287712, 10.8298881 46.2287689, 10.8481169 46.223134));skiing:downhill;{'piste:difficulty': 'advanced', 'ref': '70'}
PA_id_27242909;Rododendro;;;{'minlat': 46.1637957, 'minlon': 10.7866875, 'maxlat': 46.1693417, 'maxlon': 10.8070586};POLYGON ((10.8066278 46.1673531, 10.806744 46.1673936, 10.8068385 46.1674761, 10.8069721 46.1676571, 10.8070483 46.1678297, 10.8070586 46.1680039, 10.8070492 46.1682021, 10.8069849 46.1684876, 10.806973 46.1687002, 10.8069847 46.1689036, 10.8069776 46.1689662, 10.8068873 46.1690618, 10.8067739 46.1691156, 10.8066082 46.169154, 10.8064275 46.1691871, 10.8059763 46.1692353, 10.8054465 46.1692628, 10.8045569 46.1693096, 10.8038329 46.1693299, 10.8035135 46.1693115, 10.8032057 46.1692399, 10.8026199 46.1689363, 10.8022213 46.1687124, 10.8019799 46.1685582, 10.8017895 46.168235, 10.801481 46.1679731, 10.8010167 46.167651, 10.8004448 46.1667351, 10.8000698 46.1662333, 10.7990108 46.1652476, 10.7976045 46.1637957, 10.7970707 46.1643378, 10.796818 46.1648338, 10.7967611 46.1650807, 10.7970324 46.1657943, 10.7970634 46.1663246, 10.7968994 46.1666439, 10.7968582 46.1668744, 10.7968307 46.1671017, 10.7966502 46.1678473, 10.7966103 46.1682352, 10.7965458 46.1686346, 10.7964238 46.1691058, 10.7963329 46.1692279, 10.7962856 46.1693114, 10.7962251 46.169339, 10.7961646 46.1693417, 10.7960569 46.1692925, 10.7958414 46.1691145, 10.7953587 46.168731, 10.7948933 46.1684212, 10.7942296 46.1677208, 10.7936298 46.167085, 10.7933028 46.1668008, 10.7929802 46.1666206, 10.7926733 46.1665766, 10.7922426 46.166551, 10.7915846 46.1665487, 10.7905031 46.1665941, 10.7898546 46.1666088, 10.7897407 46.1666513, 10.78957 46.1667151, 10.7892987 46.1669255, 10.7890732 46.1672276, 10.7888476 46.1676092, 10.7887508 46.1677271, 10.788539 46.1677838, 10.7882436 46.167787, 10.787437 46.1676944, 10.7866875 46.1676488, 10.8066278 46.1673531));skiing:downhill;{'lit': 'no', 'piste:difficulty': 'intermediate', 'piste:grooming': 'classic', 'ref': '101'}
