id;latitude;longitude;name;amenity;description;type
WaS_id_182981020;46.0075682;11.2656884;Sorgente del Brenta;;;spring
WaS_id_270176737;45.8804228;10.8242897;;;;spring
WaS_id_287670802;46.2552996;11.6661973;;drinking_water;;spring
WaS_id_316143276;45.8552932;11.0482711;Sorgente del Pra;;;spring
WaS_id_395572833;45.8385841;10.8084198;;drinking_water;;spring
WaS_id_412896164;45.9994077;11.0257886;Acqua del Nassent;;;spring
WaS_id_415121011;46.3454691;10.7017626;;drinking_water;;spring
WaS_id_415121017;46.3443652;10.7034689;;drinking_water;;spring
WaS_id_431332071;45.8774596;11.0948287;Sorgente dei Fontanei;;;spring
WaS_id_434169550;46.0412184;11.152468;;drinking_water;;spring
WaS_id_434490006;45.924177;10.7614562;;watering_place;;spring
WaS_id_449551737;45.9295377;11.1679834;Costila;;;spring
WaS_id_469259903;45.7870416;10.960423;Sorgente degli Albi;;;spring
WaS_id_517848242;45.8593881;10.6125847;Fontana Scaia;;;spring
WaS_id_568483351;45.8995457;10.9862549;;;;spring
WaS_id_650278474;46.4875383;11.208367;;drinking_water;;spring
WaS_id_665811102;46.055464;11.1593019;Acque di Gabbiolo;;;spring
WaS_id_670666302;45.8013743;10.9687318;;;;spring
WaS_id_671676962;45.9740685;10.9276922;;;;spring
WaS_id_697016019;45.8567432;11.1206973;;;;spring
WaS_id_706714407;45.9583175;11.1230916;;;;spring
WaS_id_854470397;46.2457671;11.0118431;Busoni;;;spring
WaS_id_865231653;45.8282786;11.1298975;Sette Albi;watering_place;;spring
WaS_id_868231294;46.0646869;11.0191395;Piociosa;;;spring
WaS_id_868579419;46.0611484;11.0324771;Fonte Brenta;;;spring
WaS_id_897699374;46.1659722;10.9255054;Quelle;;;spring
WaS_id_970731494;45.8454855;10.7685388;;;;spring
WaS_id_979881248;45.9155731;11.0872467;Albiolo;;;spring
WaS_id_991209330;45.8395224;10.6546738;;;;spring
WaS_id_991209524;45.8334671;10.6360378;;;;spring
WaS_id_1086974828;46.086518;11.1739873;;;;spring
WaS_id_1100567370;46.4073604;10.7897336;;;;spring
WaS_id_1100568138;46.4073049;10.7910294;;;;spring
WaS_id_1106942567;46.4715498;10.9995329;;;;spring
WaS_id_1307293587;45.9788361;11.3151425;;drinking_water;;spring
WaS_id_1307437588;45.9596824;10.9854271;;;;spring
WaS_id_1323664527;46.0708288;11.3243169;;;;spring
WaS_id_1357185949;46.0552604;10.8471215;Rio Bianco;;;spring
WaS_id_1358282302;46.4207505;11.685839;;drinking_water;;spring
WaS_id_1370480050;46.1160585;11.5166364;;;;spring
WaS_id_1379316451;46.4311398;11.1901398;Sorgente Tranzi;drinking_water;;spring
WaS_id_1381060990;45.9273299;11.1905332;Sorgente Fontanelle;;;spring
WaS_id_1390255251;46.1152931;11.5226751;;;;spring
WaS_id_1393347170;45.7308841;11.0782268;;drinking_water;;spring
WaS_id_1434242428;46.3492918;11.6985838;;drinking_water;;spring
WaS_id_1470721169;46.4992927;11.6831829;;;;spring
WaS_id_1716103416;45.8818528;11.0978973;Gritter;;;spring
WaS_id_1734673721;46.1882786;11.3647541;;;;spring
WaS_id_1734673723;46.191805;11.3538355;;drinking_water;;spring
WaS_id_1759885141;45.859958;11.1222036;;;;spring
WaS_id_1766653684;46.080062;11.367418;;;;spring
WaS_id_1767601066;46.0545536;10.6442076;;;;spring
WaS_id_1767616807;46.0491806;10.6622324;;;;spring
WaS_id_1768503859;45.9347749;11.3510697;Fonte Costesin (Obartrogar);;;spring
WaS_id_1820543013;46.1527898;11.5232361;;;;spring
WaS_id_1826303777;45.8943591;10.7549284;Acqua de Droghe;;;spring
WaS_id_1841866748;45.9602396;10.8958936;Fonti Albi;;no drinking water;spring
WaS_id_1890686732;46.180323;11.8158476;Acqua del Faoro;;;spring
WaS_id_1988491455;45.9301012;10.9973373;;;;spring
WaS_id_2058863324;45.9893453;10.8305348;;;;spring
WaS_id_2148402110;45.9349817;11.0382157;;;;spring
WaS_id_2389289094;46.2201457;11.8354776;;drinking_water;;spring
WaS_id_2407057493;46.1616505;10.9180756;;;;spring
WaS_id_2407622385;46.3026188;11.6355344;;;;spring
WaS_id_2435294258;46.1940767;11.0599127;;drinking_water;;spring
WaS_id_2459048749;45.9998885;11.0663042;Acqua Negra;;;spring
WaS_id_2459048750;46.0003401;11.0574796;Acqua dei Aseni;;;spring
WaS_id_2489823745;46.2157076;11.8581276;Sorgente Laibi;;;spring
WaS_id_2491763005;46.2152482;11.8779083;Sorgente Acque Nere;;;spring
WaS_id_2491763009;46.2287498;11.8703653;Sorgente Minarale;;;spring
WaS_id_2715234070;45.9737906;11.0147203;;;;spring
WaS_id_2741644999;46.1256951;11.0543089;Sorgente di Gardenal;;;spring
WaS_id_2745665182;46.1409382;11.0415463;;;;spring
WaS_id_2794308159;46.3415934;11.592272;;drinking_water;;spring
WaS_id_2956168562;46.1511517;11.9080482;;;;spring
WaS_id_3094311389;46.1837968;11.9149749;;;;spring
WaS_id_3275196666;45.8841843;10.9317409;;;;spring
WaS_id_3291048467;45.8658418;10.9463095;;;;spring
WaS_id_3440143579;46.034612;11.6598179;Fontana Paradiso;;;spring
WaS_id_3455376415;46.417372;11.6826363;;;;spring
WaS_id_3465086224;46.1481185;11.5227132;;;;spring
WaS_id_3496947451;45.9641014;10.9771623;Sorgente Zurlon;;;spring
WaS_id_3496957983;45.9772409;10.9879341;Sorgente Lavachel;;;spring
WaS_id_3497833003;45.8532287;10.6199719;;;;spring
WaS_id_3497833005;45.8576978;10.6191249;;;;spring
WaS_id_3497833006;45.8591146;10.6164776;;;;spring
WaS_id_3661599886;46.2296771;11.5743521;;;;spring
WaS_id_3661627776;46.2680424;11.5804917;;;;spring
WaS_id_3661820804;46.2041557;11.5390007;;;;spring
WaS_id_3667763454;46.4062871;11.7352997;;;;spring
WaS_id_3667763600;46.4153773;11.736061;;;;spring
WaS_id_3679225105;45.97366;11.3620865;Sorgente di val Postesina;;;spring
WaS_id_3700666728;46.3396532;10.6181549;Fontanino di Pejo;;;spring
WaS_id_3723752570;46.4114911;11.7875463;;;;spring
WaS_id_3761993193;46.4241212;11.6483858;;drinking_water;;spring
WaS_id_3824389422;45.7231955;11.0097763;;;;spring
WaS_id_3837190536;46.1353092;11.5241367;;watering_place;;spring
WaS_id_3878786202;46.0520752;11.2757701;Sorgente Beber;;;spring
WaS_id_3889229435;46.0523876;11.2831074;;;;spring
WaS_id_3901176787;46.0506853;11.5570554;;fountain;;spring
WaS_id_3923743290;46.044003;11.3132754;Sorgente Acqua Forte;;;spring
WaS_id_3927027483;46.4641127;11.2081468;Sorgente Vel;drinking_water;;spring
WaS_id_4000683555;46.0501421;11.561517;;fountain;;spring
WaS_id_4026573737;46.114811;11.2699483;Sorgente Ferruginosa del Cané;;;spring
WaS_id_4026576350;46.122215;11.2832717;;;;spring
WaS_id_4149241481;46.0375979;11.0111963;"""sorgente + fontanella""";;;spring
WaS_id_4156244576;46.1290148;11.2867532;Acqua de la Cava;;;spring
WaS_id_4187709215;46.4683771;11.7250323;;;;spring
WaS_id_4199168350;45.9788203;11.0344645;;;;spring
WaS_id_4200600459;46.0474683;11.5452855;Sorgente Molinetto;;;spring
WaS_id_4217002865;46.2593694;11.6248731;;drinking_water;;spring
WaS_id_4271749341;46.2280118;10.9703801;;drinking_water;;spring
WaS_id_4271750471;46.2337416;10.972707;;drinking_water;;spring
WaS_id_4272328525;46.1581118;10.8945621;;;;spring
WaS_id_4296665693;46.0280037;10.9757272;;;;spring
WaS_id_4312751631;46.216844;11.034734;Acquasanta;;;spring
WaS_id_4319518921;46.2822084;11.6500507;;;;spring
WaS_id_4359226001;46.2568483;10.9466046;Sorgente Roccione;;;spring
WaS_id_4404410547;45.8981807;11.0870551;;;;spring
WaS_id_4409692905;45.8756709;10.5082913;;;;spring
WaS_id_4423871223;46.2192245;10.9378602;;;;spring
WaS_id_4501438412;46.3613222;10.697461;Fontana Matta;;;spring
WaS_id_4526821816;45.7253168;10.9630217;;;;spring
WaS_id_4526824400;45.7251977;10.9629687;;;;spring
WaS_id_4601543398;45.8334024;10.5980527;;;;spring
WaS_id_4616350071;46.1086475;11.2704915;;;;spring
WaS_id_4618737882;46.1349857;11.2851725;Acqua de la Canela;;;spring
WaS_id_4640146480;46.1365437;11.29171;Fontane Frede;;;spring
WaS_id_4665146605;46.1084146;11.2759252;;;;spring
WaS_id_4767901598;46.1010294;11.2510631;Acqua del diaolo;;;spring
WaS_id_4775334232;45.8715058;11.1586366;Acqua Rosa;;;spring
WaS_id_4792143574;46.3369159;11.6683926;;drinking_water;;spring
WaS_id_4830247959;45.8792725;10.8216208;;;;spring
WaS_id_4899781759;46.0394177;11.1945561;Fontana dei mughi;;;spring
WaS_id_4922687174;45.9203258;10.5111564;Sorgente del Passo di Bruffione;;;spring
WaS_id_4936811749;46.1405651;11.2978394;Albiol;;;spring
WaS_id_4943649022;45.9871275;10.8963538;;;;spring
WaS_id_4946082277;46.0948936;11.2268115;;;;spring
WaS_id_4987050093;46.265462;10.8375755;;;;spring
WaS_id_4989735388;46.2942117;10.7429032;;drinking_water;;spring
WaS_id_5008448151;46.2515193;10.8967927;;;;spring
WaS_id_5017560814;46.2373249;11.5791436;;;;spring
WaS_id_5024979458;46.2451969;11.591712;;;;spring
WaS_id_5030212398;46.3010429;11.8157641;Sorgenti del Travignolo;drinking_water;;spring
WaS_id_5067274811;46.1470349;11.5175311;;;;spring
WaS_id_5070884886;46.0773672;11.0017622;Sorgente Ronc;;;spring
WaS_id_5074830871;46.0424524;10.9832399;;;;spring
WaS_id_5089536317;46.111075;11.2361228;Fontana vecia;;;spring
WaS_id_5154263616;45.7822528;11.0875945;Fonte dell'Astea;;;spring
WaS_id_5236772779;45.8532505;11.0967997;;;;spring
WaS_id_5284419382;46.1153119;11.2432632;;;;spring
WaS_id_5318733180;46.4182155;11.7797852;;;;spring
WaS_id_5401012893;46.0421242;10.8865511;;;;spring
WaS_id_5536619929;46.1126811;11.2401231;;;;spring
WaS_id_5588832467;46.0647156;11.5807338;;;;spring
WaS_id_5615491268;46.1259875;11.7474264;;;;spring
WaS_id_5638487054;46.1299499;11.2794682;Acqua Forte di Costalta;;;spring
WaS_id_5766180099;45.7260118;10.8639845;Sorgente Acquenere;;;spring
WaS_id_5836766273;46.281879;10.6229612;;drinking_water;;spring
WaS_id_5839576046;45.971063;10.7836029;Acqua de Nardis;;;spring
WaS_id_5895885179;45.9949806;11.1856514;;;;spring
WaS_id_5968481961;45.9797509;10.7582604;;;;spring
WaS_id_6202092423;45.9409656;10.8178693;;;;spring
WaS_id_6291516350;46.0384275;11.2386574;;;;spring
WaS_id_6546913832;45.812789;10.9519074;Sorgente Pradarc;;;spring
WaS_id_6550851954;45.8453151;10.9123074;Sorgente della Prea;;;spring
WaS_id_6550879975;45.8470458;10.8794163;Sorgente Varno;;;spring
WaS_id_6550879976;45.8441385;10.8943804;Sorgente Acqua d'Oro;;;spring
WaS_id_6551180255;45.950715;10.812738;Sorgente Seghe;;;spring
WaS_id_6558153160;46.170328;11.521204;;;;spring
WaS_id_6558184932;46.1561413;11.5275474;;;;spring
WaS_id_6558207295;46.1560849;11.5258282;;drinking_water;;spring
WaS_id_6558318772;46.1076098;11.5431777;;;;spring
WaS_id_6558339209;46.1143943;11.5532346;;;;spring
WaS_id_6590836655;45.9904658;10.9605921;Font. Fiaschet;;;spring
WaS_id_6591081076;46.0342033;11.0136834;Strengiador;;;spring
WaS_id_6637007479;45.7101126;11.0969925;Sorgente la Picolota;;;spring
WaS_id_6770754985;46.2030866;10.9332706;;;;spring
WaS_id_6792877987;45.8544916;10.7541869;;;;spring
WaS_id_6877687574;45.7537445;10.9651035;;;;spring
WaS_id_6877687584;45.7623835;10.9743102;;;;spring
WaS_id_7083972071;45.8576869;10.5784028;Menè;;;spring
WaS_id_7093408719;45.8577209;10.5831079;;;;spring
WaS_id_7238926676;45.801939;10.9705609;;;;spring
WaS_id_7260492893;45.9557186;11.0121566;;;;spring
WaS_id_7383300334;45.8714695;10.963733;;;;spring
WaS_id_7383374736;45.875639;10.97312;pat;;;spring
WaS_id_7438368963;45.6896054;10.9613002;;;;spring
WaS_id_7499321055;45.7229217;11.0384146;Sorgente la veceta;;;spring
WaS_id_7528348273;45.9853745;10.9849892;Sorgente Fotri;;;spring
WaS_id_7546158624;45.7182444;11.0005331;Sorgente Torneri;;;spring
WaS_id_7556525662;46.3181091;11.44878;Troppopieno acquedotto;;Troppopieno acquedotto;spring
WaS_id_7561867335;46.1097651;11.1572535;;;;spring
WaS_id_7618123410;45.8664736;10.881671;Fonte Romani;;;spring
WaS_id_7622033391;46.0942988;10.9031019;;;;spring
WaS_id_7658646488;46.2515218;11.5190302;;;;spring
WaS_id_7658837387;46.2347217;11.5329358;;;;spring
WaS_id_7660221912;46.2247507;11.5349493;;;;spring
WaS_id_7660505658;46.2101675;11.526582;;;;spring
WaS_id_7660611192;46.219329;11.5146553;;;;spring
WaS_id_7666879693;45.9295899;11.2313639;;;;spring
WaS_id_7726475176;46.507809;11.7958895;;;;spring
WaS_id_7811880162;46.1808133;11.4868859;;;;spring
WaS_id_7829014175;45.8925951;11.1403682;;;;spring
WaS_id_7863684251;46.2256775;10.8905971;;;;spring
WaS_id_7872350667;45.9695691;11.2630233;;;;spring
WaS_id_7883677963;46.2480923;10.7039109;;;;spring
WaS_id_7900370479;45.9009594;10.5247843;;;;spring
WaS_id_7902372072;46.3390665;10.6177886;Fontanino di Celentino;;;spring
WaS_id_7963937639;45.9830762;11.2293956;;;;spring
WaS_id_7968758004;46.1397569;11.5204417;;;;spring
WaS_id_7968758005;46.1158618;11.5223008;;;;spring
WaS_id_7968758006;46.1154355;11.5285877;;;;spring
WaS_id_7968758007;46.1119692;11.5312619;;;;spring
WaS_id_8021534952;46.0980493;11.5778089;;;;spring
WaS_id_8143269591;46.0729023;10.7016263;Poz di Catàr;;;spring
WaS_id_8215174573;45.8829816;10.9216618;;;;spring
WaS_id_8440274228;45.8289201;10.5796414;;;;spring
WaS_id_8458467686;46.081016;10.7078617;;;;spring
WaS_id_8458477519;46.1234431;10.7673714;;;;spring
WaS_id_8544140124;45.9828065;10.9680295;;;;spring
WaS_id_8550506124;46.1270036;11.1575359;;;;spring
WaS_id_8550506125;46.1257281;11.155999;;;;spring
WaS_id_8572827042;45.8643726;10.9531241;;;;spring
WaS_id_8580650672;46.1300923;11.2766242;;;;spring
WaS_id_8609832644;46.1142822;11.1516916;;;;spring
WaS_id_8666959049;45.7847338;10.9876277;;;;spring
WaS_id_8666959050;45.7837425;10.9881654;;;;spring
WaS_id_8666959051;45.7839519;10.9882379;;;;spring
WaS_id_8670957520;46.1226565;11.1955441;;;;spring
WaS_id_8690524023;46.1097808;11.2222893;;;;spring
WaS_id_8696341261;46.1189912;11.18747;;;;spring
WaS_id_8765438393;45.8839336;10.9395529;;;;spring
WaS_id_9046327252;46.1117623;11.2623882;Acquedotto Val del Sas Bianch;;;spring
WaS_id_9046327253;46.1104594;11.2557224;Acquedotto delle Sode;;;spring
WaS_id_9046327255;46.1089379;11.2599905;Acquedotto Val del Foo;;;spring
WaS_id_9048236783;46.3852344;11.6461746;;;;spring
WaS_id_9062287872;46.4204723;11.7694459;;;;spring
WaS_id_9084257059;45.8272492;11.0407015;Vasca del Cuco;;;spring
WaS_id_9145680378;45.8110299;11.1778016;Sorgente Buse Bisorte;;;spring
WaS_id_9178182088;45.9409489;11.0377268;Corzem;;;spring
WaS_id_9187108726;46.2422038;10.9088551;;;;spring
WaS_id_9205125810;46.0787239;10.6687366;sorgente dell'acquasanta;;;spring
WaS_id_9233014774;45.9656166;11.3065369;;;;spring
WaS_id_9233081339;45.9657699;11.3065176;;;;spring
WaS_id_9432008352;46.1246612;11.4377743;Sorgente acqua mora;;;spring
WaS_id_9794565169;46.4543345;10.9991783;Sorgente ferro-magnesiaca;;Sorgente acqua potabile;spring
WaS_id_9796688608;45.9287556;11.2280193;Sorgiva alla Stoan;;;spring
WaS_id_9908095097;46.2399705;11.6158117;;;;spring
WaS_id_9908114347;46.2302054;11.611067;;;;spring
WaS_id_9908155283;45.9118776;11.1577828;;;;spring
WaS_id_9912720068;45.8629962;11.1859034;Visenbrùnile;;;spring
WaS_id_9913299417;45.91873;11.1649613;;;;spring
WaS_id_9914543473;46.3577195;11.721925;;;;spring
WaS_id_9942706133;46.4399138;10.8786047;;;;spring
WaS_id_9945990649;46.0793807;10.9028182;;;;spring
