id,amenity,recycling:PET,recycling:aluminium,recycling:batteries,recycling:beverage_cartons,recycling:books,recycling:bottles,recycling:cans,recycling:cardboard,recycling:cartons,recycling:clothes,recycling:drugs,recycling:electrical_appliances,recycling:electrical_items,recycling:food_waste,recycling:garden_pots,recycling:garden_waste,recycling:glass,recycling:glass_bottles,recycling:green_waste,recycling:lamps,recycling:magazines,recycling:newspaper,recycling:organic,recycling:organic_waste,recycling:paper,recycling:paper_packaging,recycling:plastic,recycling:plastic_bottles,recycling:plastic_packaging,recycling:scrap_metal,recycling:shoes,recycling:small_appliances,recycling:tetrapak,recycling:waste,recycling:wood,recycling_type,geometry
node/261081646,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.4362294 46.2814163)
node/261081752,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.4398494 46.2826576)
node/261081757,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centre,POINT (11.4399299 46.2815241)
node/261086633,waste_disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.4187814 46.2719774)
node/261086634,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.4173692 46.2729517)
node/261086635,waste_disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.4157146 46.2712384)
node/261655790,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.4845207 46.2834122)
node/261664540,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5695516 46.2880049)
node/261664550,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5693007 46.2845214)
node/261664553,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5627995 46.2838741)
node/261664554,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5621527 46.2849396)
node/261664566,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5563882 46.2826718)
node/261664569,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5542617 46.2826327)
node/261664582,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5422593 46.2855692)
node/261664589,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5251737 46.2830278)
node/261664594,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.518118 46.2824155)
node/268423109,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centre,POINT (11.2314963 46.068013)
node/269349992,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.1842453 46.0916149)
node/270297538,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.4440528 46.2926513)
node/270297540,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.4546375 46.2918123)
node/275982494,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.1053099 46.0171691)
node/277089140,waste_disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1076713 46.0195547)
node/277089150,waste_disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1069589 46.0190182)
node/277089207,waste_disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1059032 46.0158533)
node/279655807,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.1567921 46.0631094)
node/279655957,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.1585102 46.0629789)
node/279656884,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.1523432 46.0620211)
node/287393184,waste_disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (10.8735121 45.8722954)
node/290936230,recycling,,,,,,,,,,,,,,,,,no,yes,yes,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1921738 45.9190188)
node/292033381,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.14512 46.0741218)
node/296366976,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.6868938 46.4288034)
node/296366977,recycling,,,,,,,yes,,,yes,,,,yes,,,,yes,yes,,,,,,yes,,yes,,,yes,yes,,,,,container,POINT (11.684454 46.4248428)
node/298401087,recycling,,,yes,,,,yes,,,,,,,yes,,,,yes,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.6902232 46.4303143)
node/298401091,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.6942487 46.4301819)
node/302335801,recycling,,,,,,,,,,,,,,,,,,yes,yes,,,,,,yes,,no,,yes,,,,,,,container,POINT (11.6813021 46.4261328)
node/303632540,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1272674 46.1963624)
node/303802747,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5934573 46.3068335)
node/303820177,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.6044055 46.3121815)
node/303820178,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.6035969 46.3123028)
node/303820179,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.604304 46.3116431)
node/303822598,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5986548 46.3145223)
node/303825070,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.598687 46.312218)
node/303825077,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5975073 46.310287)
node/303825079,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5994189 46.30939)
node/303827895,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5983826 46.3082568)
node/303828166,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.6052746 46.3101443)
node/303832104,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5979216 46.3061959)
node/303832106,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.5974179 46.3059053)
node/303832129,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,container,POINT (11.6036892 46.3094436)
node/303846253,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.1069372 46.141766)
node/304051814,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.6003589 46.302835)
node/305506277,recycling,,yes,,yes,,,yes,yes,yes,,,,,,,,yes,yes,yes,,yes,yes,,,yes,yes,yes,,yes,,,,,yes,,centre,POINT (11.6764612 46.4214214)
node/305510178,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.6658685 46.3778378)
node/307451882,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.7015459 46.4582297)
node/307660122,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.7150291 46.4621462)
node/307660328,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.7140176 46.4640282)
node/307661696,recycling,,,,,,,yes,,,,,,,yes,,,,yes,yes,,,,,,yes,,yes,,,,,,,,,container,POINT (11.7274881 46.4694655)
node/307661698,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.7248891 46.4684066)
node/318604028,recycling,,,yes,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,centre,POINT (10.9925562 45.8448658)
node/319980632,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2148435 46.085752)
node/319980634,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2132706 46.0854126)
node/353182845,recycling,,,yes,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,yes,,,,,,container,POINT (10.8363745 45.8977208)
node/367891492,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,container,POINT (11.2561724 45.939243)
node/387520123,recycling,,,,yes,yes,,yes,yes,,,,,,,,,,yes,yes,,yes,yes,,,yes,yes,,yes,yes,,,,,yes,,container,POINT (11.1102968 46.166018)
node/387881374,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1276384 46.1980174)
node/387882015,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.1236448 46.213014)
node/387882216,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.1272663 46.2173878)
node/388393170,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.1259021 46.2070317)
node/388393379,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.1159994 46.2169732)
node/388416093,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.0930448 46.2152356)
