id,waste_basket_id,waste_disposal_type_id
0,node/290936230,1
1,node/290936230,2
2,node/290936230,3
3,node/290936230,5
4,node/296366977,1
5,node/296366977,1
6,node/296366977,2
7,node/296366977,3
8,node/296366977,4
9,node/296366977,4
10,node/296366977,5
11,node/296366977,6
12,node/296366977,6
13,node/298401087,1
14,node/298401087,2
15,node/298401087,3
16,node/298401087,4
17,node/298401087,5
18,node/298401087,7
19,node/302335801,1
20,node/302335801,2
21,node/302335801,3
22,node/302335801,5
23,node/303632540,2
24,node/303632540,3
25,node/303632540,4
26,node/303632540,5
27,node/303832129,3
28,node/305506277,1
29,node/305506277,2
30,node/305506277,2
31,node/305506277,2
32,node/305506277,2
33,node/305506277,2
34,node/305506277,3
35,node/305506277,3
36,node/305506277,4
37,node/305506277,4
38,node/305506277,5
39,node/305506277,5
40,node/305506277,5
41,node/305506277,9
42,node/305506277,2
43,node/307661696,1
44,node/307661696,1
45,node/307661696,2
46,node/307661696,3
47,node/307661696,4
48,node/307661696,5
49,node/318604028,2
50,node/318604028,3
51,node/318604028,7
52,node/353182845,2
53,node/353182845,3
54,node/353182845,4
55,node/353182845,4
56,node/353182845,7
57,node/367891492,4
58,node/387520123,1
59,node/387520123,2
60,node/387520123,2
61,node/387520123,2
62,node/387520123,2
63,node/387520123,2
64,node/387520123,2
65,node/387520123,3
66,node/387520123,4
67,node/387520123,5
68,node/387520123,5
69,node/387520123,5
70,node/387520123,9
71,node/387881374,2
72,node/387881374,3
73,node/387881374,5
74,node/387882015,2
75,node/387882015,3
76,node/387882015,4
77,node/387882216,2
78,node/387882216,3
79,node/387882216,4
80,node/388393170,2
81,node/388393170,3
82,node/388393379,2
83,node/388393379,3
84,node/388393379,4
85,node/388416093,2
86,node/388416093,3
87,node/388416093,4
88,node/388416093,5
89,node/388416094,2
90,node/388416094,3
91,node/388416094,4
92,node/388416094,5
93,node/388416126,2
94,node/388416126,3
95,node/388416126,4
96,node/388416126,5
97,node/388416136,2
98,node/388416136,3
99,node/388416136,4
100,node/388416136,5
101,node/389537176,2
102,node/389537176,3
103,node/389537176,4
104,node/389537176,5
105,node/389537177,2
106,node/389537177,5
107,node/389537187,2
108,node/389537187,3
109,node/389537187,4
110,node/389537187,5
111,node/389537213,2
112,node/392856705,2
113,node/392856705,3
114,node/392856705,4
115,node/392856705,5
116,node/412775285,2
117,node/412775285,3
118,node/412775285,4
119,node/412775285,5
120,node/413736734,2
121,node/413736734,3
122,node/413736734,4
123,node/413736734,5
124,node/413736746,2
125,node/413736746,5
126,node/415496892,1
127,node/415496892,2
128,node/415496892,3
129,node/415496892,4
130,node/415496892,5
131,node/416856002,2
132,node/416856002,3
133,node/416856002,4
134,node/416856002,5
135,node/417675376,3
136,node/417675376,4
137,node/417675376,6
138,node/417675386,2
139,node/417675386,3
140,node/417675386,4
141,node/417675386,5
142,node/417675959,3
143,node/417675959,5
144,node/417707847,3
145,node/417969163,1
146,node/417969163,1
147,node/417969163,2
148,node/417969163,3
149,node/434209691,2
150,node/434209691,3
151,node/434209691,4
152,node/434209691,6
153,node/434209691,7
154,node/442296343,2
155,node/442296343,3
156,node/442296343,4
157,node/442296343,5
158,node/447880434,2
159,node/447880434,3
160,node/447880434,4
161,node/447880434,5
162,node/449656396,2
163,node/449656396,3
164,node/449656396,4
165,node/449656396,5
166,node/457521146,2
167,node/457521146,3
168,node/457521146,4
169,node/459656396,2
170,node/459656396,3
171,node/459656396,3
172,node/459656396,4
173,node/459656396,5
174,node/459656402,2
175,node/459656402,3
176,node/459656402,4
177,node/459656424,2
178,node/459656424,3
179,node/459656424,4
180,node/459656424,5
181,node/461102485,2
182,node/461102485,3
183,node/489869110,2
184,node/489869110,3
185,node/489869110,4
186,node/492906161,2
187,node/492906161,3
188,node/492906161,4
189,node/492906161,5
190,node/527734748,2
191,node/527734748,3
192,node/527734748,4
193,node/527734748,5
194,node/527734786,2
195,node/527734786,3
196,node/527734786,4
197,node/527734786,5
198,node/528945700,2
199,node/528945700,3
200,node/529070984,2
201,node/529070984,3
202,node/529070984,4
203,node/529070984,5
204,node/529071030,2
205,node/529071030,3
206,node/529071030,4
207,node/529071030,5
208,node/560073337,1
209,node/560073337,3
210,node/560073337,5
211,node/565167310,2
212,node/565167310,3
213,node/565167310,4
214,node/565167310,5
215,node/568475526,2
216,node/568475526,3
217,node/568475526,3
218,node/568475526,4
219,node/642206792,2
220,node/642206792,3
221,node/642206792,4
222,node/656406830,1
223,node/656406830,2
224,node/656406830,2
225,node/656406830,3
226,node/656406830,4
227,node/656406830,4
228,node/656406830,5
229,node/656406830,5
230,node/656406830,5
231,node/656406830,5
232,node/656406830,9
233,node/672005529,2
234,node/672005529,3
235,node/672005529,4
236,node/678059806,2
237,node/678059806,3
