Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2016 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Aldino;04021001;Comune;184,640;67,810;58,710;8,937;;16,730;29,795;8,853;5,995;6,896;78,390;9,014;;;
Andriano;04021002;Comune;46,430;60,420;67,430;6,447;81,720;15,740;25,940;2,326;3,495;0,379;54,780;14,577;;;
Anterivo;04021003;Comune;19,040;4,590;17,940;1,388;;3,090;7,120;2,491;0,938;0,969;17,040;5,940;;;
Appiano sulla strada del vino;04021004;Comune;2.197,540;124,280;944,200;;315,880;198,730;233,655;118,005;22,596;66,671;526,860;201,960;;;
Avelengo;04021005;Comune;201,250;21,460;69,720;1,340;12,080;18,080;4,680;6,103;7,993;1,514;86,200;11,445;;;
Badia;04021006;Comune;843,370;48,090;105,438;64,918;42,665;52,573;59,374;23,538;39,434;8,221;90,273;52,243;;;
Barbiano;04021007;Comune;98,250;1,370;70,670;29,366;;14,390;6,390;3,575;5,397;1,276;83,560;;;;
Bolzano;04021008;Comune;13.658,540;770,830;11.172,914;561,634;2.336,621;565,202;3.109,093;551,951;219,878;510,990;1.569,422;973,940;;;
Braies;04021009;Comune;115,560;0,060;55,384;2,954;;13,832;16,691;4,342;5,173;1,960;47,851;9,750;;;
Brennero;04021010;Comune;92,890;24,470;228,620;6,969;22,460;15,560;41,670;6,408;4,486;17,594;151,430;30,880;;;
Bressanone;04021011;Comune;2.149,156;26,646;2.211,012;290,402;595,315;253,905;160,858;186,525;74,011;212,408;907,548;281,680;190,850;;
Bronzolo;04021012;Comune;249,040;17,980;98,958;26,231;60,650;23,771;49,172;14,936;6,728;27,627;74,376;5,374;;;
Brunico;04021013;Comune;2.819,855;328,305;1.611,868;25,252;428,920;165,090;198,414;109,023;77,588;172,764;683,144;0,917;411,360;;
Caines;04021014;Comune;35,210;11,784;19,785;0,331;8,136;6,725;1,574;1,705;1,173;5,191;13,805;6,045;;;
Caldaro sulla strada del vino;04021015;Comune;786,640;132,270;545,750;56,684;236,615;138,280;165,950;54,919;49,476;39,350;416,420;1,874;;;
Campo di Trens;04021016;Comune;208,450;1,980;110,270;11,317;;23,920;32,140;8,440;8,243;19,905;76,280;27,820;;;
Campo Tures;04021017;Comune;746,620;39,940;452,912;159,237;64,460;72,730;158,789;66,684;28,099;41,949;251,557;21,080;1,400;;
Castelbello-Ciardes;04021018;Comune;399,920;;279,733;5,560;42,820;44,084;9,668;8,361;7,346;12,740;108,136;;;;
Castelrotto;04021019;Comune;1.035,606;89,082;544,181;10,579;47,767;94,335;147,860;31,971;9,742;7,680;373,194;34,718;;;
Cermes;04021020;Comune;198,452;29,012;83,275;0,636;28,598;16,352;5,962;7,627;6,768;0,630;66,100;15,343;;;
Chienes;04021021;Comune;432,690;155,940;219,440;0,063;;20,450;6,227;6,003;9,465;13,487;105,515;;;;
Chiusa;04021022;Comune;535,820;210,630;352,378;51,139;96,920;90,941;130,748;29,770;15,321;7,585;205,149;2,879;;;
Cornedo all\'Isarco;04021023;Comune;262,410;30,620;84,190;5,293;51,860;33,830;36,360;14,103;6,067;3,754;54,300;17,650;;;
Cortaccia sulla strada del vino;04021024;Comune;818,540;;108,675;3,719;17,490;22,235;49,672;9,404;9,299;7,600;103,003;;;;
Cortina sulla strada del vino;04021025;Comune;88,010;42,530;31,190;1,403;;12,930;12,910;3,905;1,366;5,250;30,640;6,900;;;
Corvara in Badia;04021026;Comune;783,140;12,270;340,748;0,390;37,344;74,903;48,736;21,729;22,039;10,797;333,634;10,957;;;
Curon Venosta;04021027;Comune;43,540;84,400;158,500;44,509;78,160;49,620;15,920;12,108;8,890;15,735;136,020;6,313;101,930;;
Dobbiaco;04021028;Comune;345,200;26,595;241,808;24,060;35,369;40,512;111,900;11,060;9,440;20,901;139,831;5,308;;;
Egna;04021029;Comune;394,220;70,500;189,600;61,506;105,531;45,790;86,530;32,992;13,568;7,827;142,060;;;;
Falzes;04021030;Comune;340,130;98,340;148,723;29,007;2,860;30,499;52,374;9,742;11,963;11,524;85,362;5,433;;;
Fie allo Sciliar;04021031;Comune;256,040;104,100;212,120;7,070;;54,050;84,710;22,040;7,223;8,946;184,540;53,310;;;
Fortezza;04021032;Comune;15,490;;50,775;2,281;;5,564;13,441;3,986;1,383;;31,229;;;;
Funes;04021033;Comune;197,710;66,890;113,520;45,288;;30,444;20,426;7,199;5,076;8,680;79,883;25,840;;;
Gais;04021034;Comune;368,160;56,340;212,512;;69,910;52,868;50,620;13,393;9,653;4,762;112,309;46,690;;;
Gargazzone;04021035;Comune;251,267;9,438;93,325;1,523;6,106;17,348;14,196;9,377;4,158;0,694;69,269;3,703;;;
Glorenza;04021036;Comune;33,540;2,440;83,372;8,446;2,240;6,401;1,620;5,278;6,921;;72,723;1,124;;;
La Valle;04021117;Comune;51,730;8,370;104,242;11,017;1,800;6,596;0,918;;3,038;6,804;44,909;1,490;;;
Laces;04021037;Comune;660,580;37,460;400,927;6,530;71,060;66,694;26,003;37,591;15,018;12,880;193,353;2,873;;;
Lagundo;04021038;Comune;636,820;101,820;251,260;4,630;94,720;55,720;20,980;27,892;35,352;11,070;225,140;50,070;;;
Laion;04021039;Comune;136,640;88,010;106,440;96,400;;22,240;29,050;10,839;5,437;12,402;55,270;35,990;;;
Laives;04021040;Comune;1.130,480;178,540;1.260,546;71,389;284,190;117,636;438,467;93,424;44,071;71,505;238,932;177,360;;;
Lana;04021041;Comune;1.085,403;82,847;777,875;13,409;53,594;102,822;94,915;82,824;37,948;67,513;409,711;110,981;;;
Lasa;04021042;Comune;140,980;33,960;385,479;7,528;61,780;36,745;15,877;47,190;10,321;21,580;158,068;57,850;;;
Lauregno;04021043;Comune;;5,360;8,660;0,694;;1,960;0,620;1,166;0,169;0,141;5,040;;;;
Luson;04021044;Comune;87,550;86,400;68,330;106,653;;6,380;14,260;7,785;7,348;3,731;56,270;9,810;;;
Magre sulla strada del vino;04021045;Comune;125,720;59,004;57,665;;;12,726;28,428;5,382;2,373;1,278;37,557;;;;
Malles Venosta;04021046;Comune;35,080;46,200;181,457;16,124;52,240;36,122;13,857;24,185;12,457;31,385;176,156;35,230;;;
Marebbe;04021047;Comune;423,340;0,940;250,619;;0,900;43,919;21,680;9,697;15,955;15,030;199,409;40,000;;;
Marlengo;04021048;Comune;337,348;51,578;148,045;6,980;50,842;29,068;10,598;12,436;18,345;13,884;117,491;5,610;;;
Martello;04021049;Comune;6,070;8,460;44,468;20,422;8,760;21,451;5,449;6,524;5,213;4,530;40,631;12,728;16,680;;
Meltina;04021050;Comune;15,050;14,050;49,700;4,488;;8,440;8,330;8,003;1,633;3,684;41,440;20,990;;;
Merano;04021051;Comune;3.903,620;353,330;3.383,720;23,702;788,460;394,690;103,530;246,522;114,203;400,370;2.033,520;63,690;;;
Monguelfo-Tesido;04021052;Comune;496,640;4,210;188,994;72,640;0,640;43,515;67,166;17,368;10,673;19,732;112,166;5,187;33,360;;
Montagna;04021053;Comune;217,120;81,470;92,030;6,723;;27,750;29,370;9,232;6,725;10,848;79,960;8,971;;;
Moso in Passiria;04021054;Comune;73,323;;102,980;10,625;23,320;20,828;8,552;9,193;9,113;2,155;72,900;20,888;;;
Nalles;04021055;Comune;274,533;29,835;95,259;5,276;60,552;27,225;15,480;12,928;10,043;0,799;76,711;0,300;;;
Naturno;04021056;Comune;1.146,255;24,500;434,580;25,115;24,400;64,520;28,510;45,091;28,755;30,480;261,100;66,930;;;
Naz-Sciaves;04021057;Comune;424,260;35,962;126,722;76,460;0,500;17,940;29,176;10,548;7,776;12,007;111,413;;;;
Nova Levante;04021058;Comune;249,010;77,500;126,470;;3,030;11,160;75,870;18,649;8,699;0,713;120,360;16,270;;;
Nova Ponente;04021059;Comune;329,790;131,240;309,520;;72,210;68,540;88,260;23,405;5,261;15,740;213,790;18,340;19,750;;
Ora;04021060;Comune;590,420;9,590;197,690;6,345;49,140;26,430;65,170;33,503;21,673;16,897;138,070;37,130;;;
Ortisei;04021061;Comune;593,230;75,036;449,428;16,082;62,626;84,767;112,086;26,432;5,747;26,923;228,815;4,011;;;
Parcines;04021062;Comune;480,460;38,540;222,160;31,557;67,620;56,500;15,900;29,614;16,704;16,903;148,320;4,073;;;
Perca;04021063;Comune;176,281;32,125;142,970;7,473;38,394;18,072;17,574;8,962;5,140;1,819;79,343;21,015;;;
Plaus;04021064;Comune;85,880;3,340;28,220;0,071;2,000;4,840;2,680;0,007;2,247;0,290;23,980;5,250;;;
Ponte Gardena;04021065;Comune;8,360;8,650;20,730;9,845;;3,240;9,500;1,824;0,500;7,647;9,800;;;;
Postal;04021066;Comune;218,720;12,584;71,820;2,049;8,141;14,811;13,941;12,502;3,647;4,242;52,759;4,937;;;
Prato allo Stelvio;04021067;Comune;238,570;15,980;309,263;6,228;21,520;35,261;17,398;12,320;8,801;;160,868;24,067;;;
Predoi;04021068;Comune;28,610;9,120;21,995;25,650;4,500;7,457;2,460;0,440;1,793;3,186;16,183;;;;
Proves;04021069;Comune;;4,970;12,480;0,728;;7,700;;1,162;0,357;0,142;7,820;;;;
Racines;04021070;Comune;377,810;0,670;327,910;8,018;;26,690;95,040;0,053;11,794;21,467;296,370;15,340;;;
Rasun-Anterselva;04021071;Comune;467,500;4,400;224,974;13,511;3,820;38,341;81,109;18,539;13,963;25,408;179,673;5,234;;;
Renon;04021072;Comune;430,730;45,180;316,014;11,105;166,970;56,860;73,720;39,638;8,531;19,589;267,890;17,960;;;
Rifiano;04021073;Comune;106,530;37,316;62,655;1,045;25,764;21,295;4,986;5,397;2,909;16,461;43,715;11,295;;;
Rio di Pusteria;04021074;Comune;344,170;133,800;229,326;24,135;;54,978;55,084;14,684;15,321;7,021;180,771;4,869;;;
Rodengo;04021075;Comune;86,000;;55,995;50,647;;18,571;12,242;3,028;2,320;0,888;39,775;1,160;;;
Salorno;04021076;Comune;134,400;62,190;167,195;33,079;92,490;51,640;81,170;22,242;9,190;22,654;116,510;3,955;;;
San Candido;04021077;Comune;674,380;24,640;436,364;143,288;26,783;71,526;157,188;15,850;17,862;22,885;224,947;14,458;;;
San Genesio Atesino;04021079;Comune;139,080;71,980;103,660;;;42,740;20,680;16,490;5,977;1,128;68,480;35,300;;;
San Leonardo in Passiria;04021080;Comune;309,592;107,539;171,160;16,751;43,207;46,366;12,484;15,149;18,600;16,774;107,050;31,676;;;
San Lorenzo di Sebato;04021081;Comune;418,684;106,470;299,304;45,527;98,726;43,146;51,221;23,046;23,646;6,306;185,761;51,673;;;
San Martino in Badia;04021082;Comune;163,660;0,490;327,126;32,478;;36,954;195,710;7,576;8,915;17,050;269,992;18,710;;;
San Martino in Passiria;04021083;Comune;279,626;102,119;132,780;5,498;41,793;42,646;11,744;14,746;15,614;14,296;120,670;23,496;;;
San Pancrazio;04021084;Comune;35,490;36,574;39,020;2,608;7,420;13,280;2,340;4,087;2,437;0,640;26,360;1,304;;;
Santa Cristina Valgardena;04021085;Comune;303,580;29,810;186,190;1,480;24,172;158,620;52,240;8,669;3,232;2,530;171,830;0,304;;;
Sarentino;04021086;Comune;385,690;237,380;274,210;;;83,348;71,676;28,092;9,024;28,360;190,460;29,040;;;
Scena;04021087;Comune;828,290;5,720;228,480;11,306;18,460;45,610;18,000;11,258;19,147;4,205;253,140;;;;
Selva dei Molini;04021088;Comune;126,580;41,540;49,920;;;26,420;25,220;1,895;4,423;10,946;29,600;10,424;;;
Selva di Val Gardena;04021089;Comune;714,395;44,381;500,617;7,343;38,294;79,978;104,216;15,008;3,156;10,973;444,637;1,211;;;
Senales;04021091;Comune;131,960;14,120;71,321;1,216;33,780;22,968;6,216;4,706;2,419;15,550;89,863;15,650;43,540;;
Senale-San Felice;04021118;Comune;;17,520;28,380;0,999;;8,900;2,120;2,891;1,383;1,024;19,700;;;;
Sesto;04021092;Comune;494,900;20,540;228,710;32,272;15,372;21,392;111,416;9,546;10,726;9,179;200,713;2,535;;;
Silandro;04021093;Comune;901,510;26,080;508,688;18,420;40,680;62,092;330,180;28,064;13,809;39,360;221,655;45,070;;;
Sluderno;04021094;Comune;30,060;9,460;121,228;3,284;20,400;20,662;7,894;11,688;5,045;10,894;93,603;16,867;;;
Stelvio;04021095;Comune;0,020;4,600;103,927;4,305;8,200;13,618;6,788;4,858;8,525;;125,307;1,002;;;
Terento;04021096;Comune;253,550;17,360;85,198;88,758;28,220;28,976;34,174;10,954;7,579;8,503;61,658;8,586;;;
Terlano;04021097;Comune;280,233;124,480;213,940;235,576;;55,880;71,370;28,167;4,639;14,466;184,260;3,441;;;
Termeno sulla strada del vino;04021098;Comune;528,400;8,440;185,160;10,480;77,110;46,060;46,300;21,170;11,755;25,700;150,760;16,660;;;
Tesimo;04021099;Comune;102,338;21,605;68,981;2,035;43,848;19,715;11,210;9,364;7,769;3,133;55,549;6,780;;;
Tires;04021100;Comune;59,820;30,970;45,040;3,486;;9,280;4,550;8,220;0,569;1,104;48,560;14,715;;;
