Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2016 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
 	Ala;04022001;Comune;936,562;;484,813;41,549;118,001;91,308;352,782;41,955;14,129;41,349;276,970;133,605;;;
Albiano;04022002;Comune;181,140;;108,575;6,786;37,526;19,854;60,086;10,269;2,666;3,690;58,727;22,095;;;
Aldeno;04022003;Comune;373,587;;223,927;13,997;77,395;40,947;123,924;21,180;5,499;7,610;121,120;45,585;;;
Altavalle;04022235;Comune;217,393;;130,305;8,145;45,036;23,827;72,113;12,326;3,199;4,428;70,481;24,330;;;
Altopiano Della Vigolana;04022236;Comune;490,557;;361,549;20,454;69,135;70,450;156,321;37,554;11,474;5,795;186,324;74,870;;;
Amblar-Don;04022237;Comune;65,271;;41,280;5,756;21,010;9,745;18,542;5,458;2,015;1,035;19,374;7,560;;;
Andalo;04022005;Comune;485,049;;290,736;18,172;100,486;53,164;160,898;27,500;7,140;9,880;157,257;16,365;;;
Arco;04022006;Comune;2.309,430;;1.207,847;128,468;374,330;223,675;1.258,972;140,495;17,984;12,537;;262,070;;;
Avio;04022007;Comune;413,374;;237,203;18,904;85,003;50,839;167,703;35,324;12,168;16,190;135,810;61,740;;;
Baselga di Pine;04022009;Comune;654,810;;429,554;31,815;97,928;90,344;189,948;34,751;13,213;9,034;221,529;72,626;;;
Bedollo;04022011;Comune;184,898;;118,736;6,867;33,400;25,938;52,380;11,577;3,755;2,496;61,166;17,099;;;
Besenello;04022013;Comune;233,046;;135,222;10,762;64,501;31,041;91,848;18,997;5,644;5,094;83,200;39,870;;;
Bieno;04022015;Comune;33,003;;23,853;2,917;9,694;7,823;23,654;3,604;1,431;0,185;3,355;6,420;;;
Bleggio Superiore;04022017;Comune;175,132;;119,739;9,066;33,209;21,866;72,657;13,223;3,108;4,857;72,400;23,400;;;
Bocenago;04022018;Comune;50,122;;34,269;2,594;9,504;6,258;20,793;3,785;0,889;1,390;20,721;5,775;;;
Bondone;04022021;Comune;71,153;;48,648;3,683;13,492;8,883;29,520;5,373;1,263;1,973;29,415;10,095;;;
Borgo Chiese;04022238;Comune;198,914;;136,001;10,297;37,719;24,835;82,524;15,019;3,529;5,517;82,232;29,835;;;
Borgo Lares;04022239;Comune;73,708;;50,396;3,816;13,977;9,203;30,580;5,566;1,306;2,044;30,472;10,665;;;
Borgo Valsugana;04022022;Comune;504,875;;364,895;44,619;148,300;119,678;361,848;55,121;21,909;2,829;51,324;103,905;;;
Brentonico;04022025;Comune;461,419;;283,715;19,248;116,268;55,702;167,409;29,689;8,551;18,180;189,340;59,385;;;
Bresimo;04022026;Comune;26,539;;16,784;2,341;8,542;3,962;7,540;2,219;0,819;0,421;7,877;3,750;;;
Brez;04022027;Comune;83,407;;52,749;7,357;26,848;12,453;23,694;6,974;2,575;1,323;24,757;11,205;;;
Caderzone Terme;04022029;Comune;105,453;;72,099;5,459;19,996;13,166;43,750;7,962;1,872;2,925;43,594;10,185;;;
Cagno;04022030;Comune;35,761;;22,616;3,154;11,511;5,339;10,159;2,991;1,104;0,567;10,615;5,040;;;
Calceranica al Lago;04022032;Comune;246,361;;149,672;11,218;41,058;35,759;68,203;14,373;5,414;1,634;76,894;20,535;;;
Caldes;04022033;Comune;50,343;;35,776;2,467;9,103;14,408;16,487;5,283;3,185;1,517;26,756;3,330;;;
Caldonazzo;04022034;Comune;488,716;;288,697;16,838;95,352;69,097;136,597;28,015;10,897;3,186;149,811;51,015;;;
Calliano;04022035;Comune;235,832;;81,011;6,910;10,109;11,983;55,269;2,238;1,118;8,356;64,320;27,487;;;
Campitello di Fassa;04022036;Comune;247,703;;105,572;11,929;53,960;29,530;112,436;10,503;1,728;0,470;48,620;;;;
Campodenno;04022037;Comune;156,465;;98,953;13,801;50,364;23,362;44,449;13,085;4,830;2,481;46,442;22,710;;;
Canal San Bovo;04022038;Comune;190,458;;122,175;15,664;42,338;25,325;119,479;10,734;4,238;0,507;;22,770;;;
Canazei;04022039;Comune;676,402;;294,239;28,768;85,800;71,679;296,788;21,984;6,402;4,757;78,100;;;;
Capriana;04022040;Comune;97,846;;49,652;5,817;8,684;9,348;45,514;4,136;1,542;1,362;;;;;
Carano;04022041;Comune;307,289;;155,935;18,273;27,271;29,358;142,941;12,992;4,846;4,279;;;;;
Carisolo;04022042;Comune;205,106;;140,234;10,617;38,893;25,609;85,093;15,487;3,641;5,688;84,792;14,520;;;
Carzano;04022043;Comune;36,805;;26,601;3,253;10,811;8,724;26,379;4,018;1,597;0,206;3,741;7,665;;;
Castel Condino;04022045;Comune;23,980;;16,395;1,241;4,547;2,994;9,949;1,811;0,426;0,665;9,914;3,405;;;
Castel Ivano;04022240;Comune;240,705;;173,969;21,274;70,703;57,059;172,517;26,280;10,445;1,348;24,469;49,590;;;
Castelfondo;04022046;Comune;70,394;;44,520;6,208;22,659;10,510;19,997;5,887;2,172;1,116;20,894;9,210;;;
Castello Tesino;04022048;Comune;107,977;;78,039;9,543;31,716;25,595;77,389;11,789;4,686;0,605;10,976;18,165;;;
Castello-Molina di Fiemme;04022047;Comune;411,214;;208,672;24,452;36,494;39,287;191,283;17,387;6,482;5,726;;;;;
Castelnuovo;04022049;Comune;75,906;;54,861;6,709;22,296;17,993;54,404;8,288;3,292;0,425;7,716;15,825;;;
Cavalese;04022050;Comune;874,681;;443,859;52,011;77,626;83,567;406,872;36,982;13,791;12,179;;;;;
Cavareno;04022051;Comune;143,042;;90,466;12,617;46,043;21,358;40,635;11,962;4,415;2,268;42,458;16,170;;;
Cavedago;04022052;Comune;81,231;;48,690;3,044;16,828;8,903;26,945;4,606;1,195;1,655;26,336;7,800;;;
Cavedine;04022053;Comune;368,918;;221,127;13,821;76,428;40,435;122,375;20,916;5,429;7,514;119,606;43,920;;;
Cavizzana;04022054;Comune;12,731;;7,807;0,515;1,962;3,148;3,551;1,165;0,692;0,320;5,856;0,742;;;
Cembra Lisignago;04022241;Comune;300,467;;180,099;11,257;62,247;32,933;99,670;17,035;4,423;6,120;97,414;35,535;;;
Cimone;04022058;Comune;69,224;;52,888;3,306;18,279;9,671;29,269;5,003;1,299;1,797;28,607;10,650;;;
Cinte Tesino;04022059;Comune;29,128;;21,052;2,575;8,556;6,905;20,878;3,180;1,263;0,163;2,961;5,340;;;
Cis;04022060;Comune;31,969;;20,219;2,819;10,290;4,773;9,083;2,674;0,986;0,507;9,489;4,500;;;
Civezzano;04022061;Comune;429,769;;283,347;20,617;43,175;42,155;127,938;16,548;8,779;6,826;147,825;59,323;;;
Cles;04022062;Comune;720,130;;455,434;63,516;231,799;107,521;204,576;60,223;22,224;11,420;213,749;104,445;;;
Cloz;04022063;Comune;73,981;;46,788;6,526;23,813;11,046;21,016;6,188;2,282;1,173;21,959;10,410;;;
Comano Terme;04022228;Comune;375,619;;256,815;19,444;71,226;46,898;155,835;28,360;6,667;10,417;155,282;44,445;;;
Commezzadura;04022064;Comune;179,824;;76,825;4,876;48,042;24,926;35,742;10,739;2,206;1,981;63,500;15,105;;;
Conta\';04022242;Comune;154,621;;97,788;13,638;49,770;23,087;43,925;12,931;4,771;2,452;45,894;21,435;;;
Croviana;04022068;Comune;74,851;;36,633;2,755;20,350;15,322;17,947;5,192;3,579;1,576;29,436;10,275;;;
Daiano;04022070;Comune;124,913;;63,388;7,427;11,086;11,935;58,105;5,282;1,970;1,739;;;;;
