Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);;
Ala;04022001;Comune;1.033,180;195,072;500,379;45,623;208,651;101,040;374,564;60,770;14,822;32,280;298,890;132,360;;;
Albiano;04022002;Comune;181,794;;112,013;7,764;39,149;20,654;67,157;10,527;1,883;5,947;63,044;22,215;;;
Aldeno;04022003;Comune;388,595;;239,433;16,597;83,684;44,149;143,552;22,505;4,024;12,712;134,760;47,520;;;
Altavalle;04022235;Comune;215,137;;132,558;9,189;46,330;24,443;79,474;12,459;2,228;7,038;74,607;24,225;;;
Altopiano Della Vigolana;04022236;Comune;774,914;;366,389;23,605;107,896;64,131;124,025;34,539;12,222;19,005;193,988;78,460;;;
Amblar-Don;04022237;Comune;67,073;;41,065;5,757;25,819;11,521;18,615;5,818;2,049;1,678;23,722;7,905;;;
Andalo;04022005;Comune;512,528;;315,796;21,890;110,373;58,229;189,334;29,682;5,308;16,767;177,739;16,485;;;
Arco;04022006;Comune;2.460,396;;1.209,152;81,967;490,464;181,653;792,012;115,827;16,524;5,621;690,514;267,420;;;
Avio;04022007;Comune;457,753;117,520;228,916;18,519;111,651;65,768;138,048;40,495;7,657;14,770;132,690;61,230;;;
Baselga di Pine;04022009;Comune;1.155,396;;433,532;27,932;127,669;75,884;146,753;40,869;14,461;22,489;229,538;75,675;;;
Bedollo;04022011;Comune;340,964;;119,366;7,691;35,152;20,894;40,406;11,253;3,983;6,191;63,200;22,215;;;
Besenello;04022013;Comune;267,285;;163,593;11,931;80,063;30,996;96,941;19,631;5,055;4,334;96,320;39,765;;;
Bieno;04022015;Comune;42,639;;23,596;1,576;7,913;6,145;12,391;3,253;1,334;0,125;24,693;6,688;;;
Bleggio Superiore;04022017;Comune;157,873;;102,558;69,150;40,811;19,118;42,812;13,699;3,495;2,526;77,257;23,100;;;
Bocenago;04022018;Comune;49,846;;32,380;21,832;12,885;6,036;13,517;4,326;1,104;0,798;24,392;5,955;;;
Bondone;04022021;Comune;64,906;;42,165;28,429;16,778;7,860;17,601;5,632;1,438;1,039;31,763;10,005;;;
