Comune,Istat,Waste type,Quantity
Ala,4022001,Frazione organica (t),"895,404"
Albiano,4022002,Frazione organica (t),"132,804"
Aldeno,4022003,Frazione organica (t),"325,938"
Amblar,4022004,Frazione organica (t),"27,607"
Andalo,4022005,Frazione organica (t),"661,035"
Arco,4022006,Frazione organica (t),"2.361,311"
Avio,4022007,Frazione organica (t),"435,631"
Baselga di Pine,4022009,Frazione organica (t),"839,257"
Bedollo,4022011,Frazione organica (t),"231,910"
Bersone,4022012,Frazione organica (t),"10,679"
Besenello,4022013,Frazione organica (t),"249,349"
Bieno,4022015,Frazione organica (t),"42,562"
Bleggio Superiore,4022017,Frazione organica (t),"168,740"
Bocenago,4022018,Frazione organica (t),"37,195"
Bolbeno,4022019,Frazione organica (t),"36,059"
Bondo,4022020,Frazione organica (t),"35,480"
Bondone,4022021,Frazione organica (t),"34,766"
Borgo Valsugana,4022022,Frazione organica (t),"972,191"
Bosentino,4022023,Frazione organica (t),"115,955"
Breguzzo,4022024,Frazione organica (t),"31,314"
Brentonico,4022025,Frazione organica (t),"492,728"
Bresimo,4022026,Frazione organica (t),"24,539"
Brez,4022027,Frazione organica (t),"73,803"
Brione,4022028,Frazione organica (t),"3,548"
Caderzone Terme,4022029,Frazione organica (t),"44,718"
Cagno,4022030,Frazione organica (t),"33,090"
Calavino,4022031,Frazione organica (t),"177,762"
Calceranica al Lago,4022032,Frazione organica (t),"289,482"
Caldes,4022033,Frazione organica (t),"52,344"
Caldonazzo,4022034,Frazione organica (t),"552,207"
Calliano,4022035,Frazione organica (t),"197,695"
Campitello di Fassa,4022036,Frazione organica (t),"274,193"
Campodenno,4022037,Frazione organica (t),"140,542"
Canal San Bovo,4022038,Frazione organica (t),"141,751"
Canazei,4022039,Frazione organica (t),"689,817"
Capriana,4022040,Frazione organica (t),"101,505"
Carano,4022041,Frazione organica (t),"305,535"
Carisolo,4022042,Frazione organica (t),"103,044"
Carzano,4022043,Frazione organica (t),"121,532"
Castel Condino,4022045,Frazione organica (t),"10,160"
Castelfondo,4022046,Frazione organica (t),"66,088"
Castello Tesino,4022048,Frazione organica (t),"107,051"
Castello-Molina di Fiemme,4022047,Frazione organica (t),"418,210"
Castelnuovo,4022049,Frazione organica (t),"114,296"
Cavalese,4022050,Frazione organica (t),"863,805"
Cavareno,4022051,Frazione organica (t),"126,414"
Cavedago,4022052,Frazione organica (t),"102,887"
Cavedine,4022053,Frazione organica (t),"323,231"
Cavizzana,4022054,Frazione organica (t),"13,831"
Cembra,4022055,Frazione organica (t),"142,012"
Centa San Nicolo,4022056,Frazione organica (t),"90,818"
Cimego,4022057,Frazione organica (t),"20,386"
Cimone,4022058,Frazione organica (t),"53,319"
Cinte Tesino,4022059,Frazione organica (t),"28,749"
Cis,4022060,Frazione organica (t),"29,745"
Civezzano,4022061,Frazione organica (t),"546,530"
Cles,4022062,Frazione organica (t),"652,984"
Cloz,4022063,Frazione organica (t),"69,249"
Comano Terme,4022228,Frazione organica (t),"231,319"
Commezzadura,4022064,Frazione organica (t),"159,564"
Condino,4022066,Frazione organica (t),"161,756"
Coredo,4022067,Frazione organica (t),"194,548"
Croviana,4022068,Frazione organica (t),"71,498"
Cunevo,4022069,Frazione organica (t),"58,095"
Daiano,4022070,Frazione organica (t),"135,093"
Dambel,4022071,Frazione organica (t),"40,713"
Daone,4022072,Frazione organica (t),"23,203"
Dare,4022073,Frazione organica (t),"25,947"
Denno,4022074,Frazione organica (t),"121,115"
Dimaro,4022075,Frazione organica (t),"392,422"
Don,4022076,Frazione organica (t),"32,162"
Dorsino,4022077,Frazione organica (t),"22,984"
Drena,4022078,Frazione organica (t),"46,106"
Dro,4022079,Frazione organica (t),"448,454"
Faedo,4022080,Frazione organica (t),"45,663"
Fai della Paganella,4022081,Frazione organica (t),"280,024"
Faver,4022082,Frazione organica (t),"83,945"
Fiave,4022083,Frazione organica (t),"58,418"
Fiera di Primiero,4022084,Frazione organica (t),"53,589"
Fierozzo,4022085,Frazione organica (t),"70,546"
Flavon,4022086,Frazione organica (t),"52,610"
Folgaria,4022087,Frazione organica (t),"621,113"
Fondo,4022088,Frazione organica (t),"160,620"
Fornace,4022089,Frazione organica (t),"182,447"
Frassilongo,4022090,Frazione organica (t),"53,517"
Garniga Terme,4022091,Frazione organica (t),"36,713"
Giovo,4022092,Frazione organica (t),"137,454"
Giustino,4022093,Frazione organica (t),"125,559"
Grauno,4022094,Frazione organica (t),"13,667"
Grigno,4022095,Frazione organica (t),"84,076"
Grumes,4022096,Frazione organica (t),"28,403"
Imer,4022097,Frazione organica (t),"102,476"
Isera,4022098,Frazione organica (t),"290,752"
Ivano-Fracena,4022099,Frazione organica (t),"26,383"
Lardaro,4022100,Frazione organica (t),"11,869"
Lasino,4022101,Frazione organica (t),"209,680"
Lavarone,4022102,Frazione organica (t),"235,323"
Lavis,4022103,Frazione organica (t),"1.301,280"
Ledro,4022229,Frazione organica (t),"459,980"
Levico Terme,4022104,Frazione organica (t),"1.397,950"
Lisignago,4022105,Frazione organica (t),"37,812"
Livo,4022106,Frazione organica (t),"81,798"
Lona-Lases,4022108,Frazione organica (t),"77,483"
Luserna,4022109,Frazione organica (t),"33,198"
Male,4022110,Frazione organica (t),"226,774"
Malosco,4022111,Frazione organica (t),"63,114"
Massimeno,4022112,Frazione organica (t),"11,416"
Mazzin,4022113,Frazione organica (t),"138,994"
Mezzana,4022114,Frazione organica (t),"325,581"
Mezzano,4022115,Frazione organica (t),"143,979"
Mezzocorona,4022116,Frazione organica (t),"552,516"
Mezzolombardo,4022117,Frazione organica (t),"1.130,447"
Moena,4022118,Frazione organica (t),"616,693"
Molveno,4022120,Frazione organica (t),"444,720"
Monclassico,4022121,Frazione organica (t),"104,891"
Montagne,4022122,Frazione organica (t),"14,713"
Mori,4022123,Frazione organica (t),"1.066,795"
Nago-Torbole,4022124,Frazione organica (t),"648,200"
Nanno,4022125,Frazione organica (t),"56,980"
Nave San Rocco,4022126,Frazione organica (t),"145,096"
Nogaredo,4022127,Frazione organica (t),"262,673"
Nomi,4022128,Frazione organica (t),"138,662"
Novaledo,4022129,Frazione organica (t),"29,229"
Ospedaletto,4022130,Frazione organica (t),"30,500"
Ossana,4022131,Frazione organica (t),"127,423"
Padergnone,4022132,Frazione organica (t),"77,106"
Palu del Fersina,4022133,Frazione organica (t),"26,759"
