,Municipality,ref: ISTAT,year,Waste type,Quantity,category
0,22001.0,4022001,2014,Organic Fraction (t),"895,404",1.0
1,22002.0,4022002,2014,Organic Fraction (t),"132,804",1.0
2,22003.0,4022003,2014,Organic Fraction (t),"325,938",1.0
3,,4022004,2014,Organic Fraction (t),"27,607",1.0
4,22005.0,4022005,2014,Organic Fraction (t),"661,035",1.0
5,22006.0,4022006,2014,Organic Fraction (t),"2.361,311",1.0
6,22007.0,4022007,2014,Organic Fraction (t),"435,631",1.0
7,,4022009,2014,Organic Fraction (t),"839,257",1.0
8,22011.0,4022011,2014,Organic Fraction (t),"231,910",1.0
9,,4022012,2014,Organic Fraction (t),"10,679",1.0
10,22013.0,4022013,2014,Organic Fraction (t),"249,349",1.0
11,22015.0,4022015,2014,Organic Fraction (t),"42,562",1.0
12,22017.0,4022017,2014,Organic Fraction (t),"168,740",1.0
13,22018.0,4022018,2014,Organic Fraction (t),"37,195",1.0
14,,4022019,2014,Organic Fraction (t),"36,059",1.0
15,,4022020,2014,Organic Fraction (t),"35,480",1.0
16,22021.0,4022021,2014,Organic Fraction (t),"34,766",1.0
17,22022.0,4022022,2014,Organic Fraction (t),"972,191",1.0
18,,4022023,2014,Organic Fraction (t),"115,955",1.0
19,,4022024,2014,Organic Fraction (t),"31,314",1.0
20,22025.0,4022025,2014,Organic Fraction (t),"492,728",1.0
21,22026.0,4022026,2014,Organic Fraction (t),"24,539",1.0
22,,4022027,2014,Organic Fraction (t),"73,803",1.0
23,,4022028,2014,Organic Fraction (t),"3,548",1.0
24,22029.0,4022029,2014,Organic Fraction (t),"44,718",1.0
25,,4022030,2014,Organic Fraction (t),"33,090",1.0
26,,4022031,2014,Organic Fraction (t),"177,762",1.0
27,22032.0,4022032,2014,Organic Fraction (t),"289,482",1.0
28,22033.0,4022033,2014,Organic Fraction (t),"52,344",1.0
29,22034.0,4022034,2014,Organic Fraction (t),"552,207",1.0
30,22035.0,4022035,2014,Organic Fraction (t),"197,695",1.0
31,22036.0,4022036,2014,Organic Fraction (t),"274,193",1.0
32,22037.0,4022037,2014,Organic Fraction (t),"140,542",1.0
33,22038.0,4022038,2014,Organic Fraction (t),"141,751",1.0
34,22039.0,4022039,2014,Organic Fraction (t),"689,817",1.0
35,22040.0,4022040,2014,Organic Fraction (t),"101,505",1.0
36,,4022041,2014,Organic Fraction (t),"305,535",1.0
37,22042.0,4022042,2014,Organic Fraction (t),"103,044",1.0
38,22043.0,4022043,2014,Organic Fraction (t),"121,532",1.0
39,22045.0,4022045,2014,Organic Fraction (t),"10,160",1.0
40,,4022046,2014,Organic Fraction (t),"66,088",1.0
41,22048.0,4022048,2014,Organic Fraction (t),"107,051",1.0
42,22047.0,4022047,2014,Organic Fraction (t),"418,210",1.0
43,22049.0,4022049,2014,Organic Fraction (t),"114,296",1.0
44,22050.0,4022050,2014,Organic Fraction (t),"863,805",1.0
45,22051.0,4022051,2014,Organic Fraction (t),"126,414",1.0
46,22052.0,4022052,2014,Organic Fraction (t),"102,887",1.0
47,22053.0,4022053,2014,Organic Fraction (t),"323,231",1.0
48,22054.0,4022054,2014,Organic Fraction (t),"13,831",1.0
49,,4022055,2014,Organic Fraction (t),"142,012",1.0
50,,4022056,2014,Organic Fraction (t),"90,818",1.0
51,,4022057,2014,Organic Fraction (t),"20,386",1.0
52,22058.0,4022058,2014,Organic Fraction (t),"53,319",1.0
53,22059.0,4022059,2014,Organic Fraction (t),"28,749",1.0
54,22060.0,4022060,2014,Organic Fraction (t),"29,745",1.0
55,22061.0,4022061,2014,Organic Fraction (t),"546,530",1.0
56,22062.0,4022062,2014,Organic Fraction (t),"652,984",1.0
57,,4022063,2014,Organic Fraction (t),"69,249",1.0
58,22228.0,4022228,2014,Organic Fraction (t),"231,319",1.0
59,22064.0,4022064,2014,Organic Fraction (t),"159,564",1.0
60,,4022066,2014,Organic Fraction (t),"161,756",1.0
61,,4022067,2014,Organic Fraction (t),"194,548",1.0
62,22068.0,4022068,2014,Organic Fraction (t),"71,498",1.0
63,,4022069,2014,Organic Fraction (t),"58,095",1.0
64,,4022070,2014,Organic Fraction (t),"135,093",1.0
65,22071.0,4022071,2014,Organic Fraction (t),"40,713",1.0
66,,4022072,2014,Organic Fraction (t),"23,203",1.0
67,,4022073,2014,Organic Fraction (t),"25,947",1.0
68,22074.0,4022074,2014,Organic Fraction (t),"121,115",1.0
69,,4022075,2014,Organic Fraction (t),"392,422",1.0
70,,4022076,2014,Organic Fraction (t),"32,162",1.0
71,,4022077,2014,Organic Fraction (t),"22,984",1.0
72,22078.0,4022078,2014,Organic Fraction (t),"46,106",1.0
73,22079.0,4022079,2014,Organic Fraction (t),"448,454",1.0
74,,4022080,2014,Organic Fraction (t),"45,663",1.0
75,22081.0,4022081,2014,Organic Fraction (t),"280,024",1.0
76,,4022082,2014,Organic Fraction (t),"83,945",1.0
77,,4022083,2014,Organic Fraction (t),"58,418",1.0
78,,4022084,2014,Organic Fraction (t),"53,589",1.0
79,,4022085,2014,Organic Fraction (t),"70,546",1.0
80,,4022086,2014,Organic Fraction (t),"52,610",1.0
81,22087.0,4022087,2014,Organic Fraction (t),"621,113",1.0
82,,4022088,2014,Organic Fraction (t),"160,620",1.0
83,22089.0,4022089,2014,Organic Fraction (t),"182,447",1.0
84,,4022090,2014,Organic Fraction (t),"53,517",1.0
85,22091.0,4022091,2014,Organic Fraction (t),"36,713",1.0
86,22092.0,4022092,2014,Organic Fraction (t),"137,454",1.0
87,22093.0,4022093,2014,Organic Fraction (t),"125,559",1.0
88,,4022094,2014,Organic Fraction (t),"13,667",1.0
89,22095.0,4022095,2014,Organic Fraction (t),"84,076",1.0
90,,4022096,2014,Organic Fraction (t),"28,403",1.0
91,22097.0,4022097,2014,Organic Fraction (t),"102,476",1.0
92,22098.0,4022098,2014,Organic Fraction (t),"290,752",1.0
93,,4022099,2014,Organic Fraction (t),"26,383",1.0
94,,4022100,2014,Organic Fraction (t),"11,869",1.0
95,,4022101,2014,Organic Fraction (t),"209,680",1.0
96,22102.0,4022102,2014,Organic Fraction (t),"235,323",1.0
97,22103.0,4022103,2014,Organic Fraction (t),"1.301,280",1.0
98,22229.0,4022229,2014,Organic Fraction (t),"459,980",1.0
