Municipality,ref: ISTAT,Waste type,Quantity,category
Ala,4022001,Organic Fraction (t),"895,404",1
Albiano,4022002,Organic Fraction (t),"132,804",1
Aldeno,4022003,Organic Fraction (t),"325,938",1
Amblar,4022004,Organic Fraction (t),"27,607",1
Andalo,4022005,Organic Fraction (t),"661,035",1
Arco,4022006,Organic Fraction (t),"2.361,311",1
Avio,4022007,Organic Fraction (t),"435,631",1
Baselga di Pine,4022009,Organic Fraction (t),"839,257",1
Bedollo,4022011,Organic Fraction (t),"231,910",1
Bersone,4022012,Organic Fraction (t),"10,679",1
Besenello,4022013,Organic Fraction (t),"249,349",1
Bieno,4022015,Organic Fraction (t),"42,562",1
Bleggio Superiore,4022017,Organic Fraction (t),"168,740",1
Bocenago,4022018,Organic Fraction (t),"37,195",1
Bolbeno,4022019,Organic Fraction (t),"36,059",1
Bondo,4022020,Organic Fraction (t),"35,480",1
Bondone,4022021,Organic Fraction (t),"34,766",1
Borgo Valsugana,4022022,Organic Fraction (t),"972,191",1
Bosentino,4022023,Organic Fraction (t),"115,955",1
Breguzzo,4022024,Organic Fraction (t),"31,314",1
Brentonico,4022025,Organic Fraction (t),"492,728",1
Bresimo,4022026,Organic Fraction (t),"24,539",1
Brez,4022027,Organic Fraction (t),"73,803",1
Brione,4022028,Organic Fraction (t),"3,548",1
Caderzone Terme,4022029,Organic Fraction (t),"44,718",1
Cagno,4022030,Organic Fraction (t),"33,090",1
Calavino,4022031,Organic Fraction (t),"177,762",1
Calceranica al Lago,4022032,Organic Fraction (t),"289,482",1
Caldes,4022033,Organic Fraction (t),"52,344",1
Caldonazzo,4022034,Organic Fraction (t),"552,207",1
Calliano,4022035,Organic Fraction (t),"197,695",1
Campitello di Fassa,4022036,Organic Fraction (t),"274,193",1
Campodenno,4022037,Organic Fraction (t),"140,542",1
Canal San Bovo,4022038,Organic Fraction (t),"141,751",1
Canazei,4022039,Organic Fraction (t),"689,817",1
Capriana,4022040,Organic Fraction (t),"101,505",1
Carano,4022041,Organic Fraction (t),"305,535",1
Carisolo,4022042,Organic Fraction (t),"103,044",1
Carzano,4022043,Organic Fraction (t),"121,532",1
Castel Condino,4022045,Organic Fraction (t),"10,160",1
Castelfondo,4022046,Organic Fraction (t),"66,088",1
Castello Tesino,4022048,Organic Fraction (t),"107,051",1
Castello-Molina di Fiemme,4022047,Organic Fraction (t),"418,210",1
Castelnuovo,4022049,Organic Fraction (t),"114,296",1
Cavalese,4022050,Organic Fraction (t),"863,805",1
Cavareno,4022051,Organic Fraction (t),"126,414",1
Cavedago,4022052,Organic Fraction (t),"102,887",1
Cavedine,4022053,Organic Fraction (t),"323,231",1
Cavizzana,4022054,Organic Fraction (t),"13,831",1
Cembra,4022055,Organic Fraction (t),"142,012",1
