id,Municipality,ref: ISTAT,year,Waste type,Quantity,category
0,22001,4022001,2014,Organic Fraction (t),"895,404",1
1,22002,4022002,2014,Organic Fraction (t),"132,804",1
2,22003,4022003,2014,Organic Fraction (t),"325,938",1
3,,4022004,2014,Organic Fraction (t),"27,607",1
4,22005,4022005,2014,Organic Fraction (t),"661,035",1
5,22006,4022006,2014,Organic Fraction (t),"2.361,311",1
6,22007,4022007,2014,Organic Fraction (t),"435,631",1
7,,4022009,2014,Organic Fraction (t),"839,257",1
8,22011,4022011,2014,Organic Fraction (t),"231,910",1
9,,4022012,2014,Organic Fraction (t),"10,679",1
10,22013,4022013,2014,Organic Fraction (t),"249,349",1
11,22015,4022015,2014,Organic Fraction (t),"42,562",1
12,22017,4022017,2014,Organic Fraction (t),"168,740",1
13,22018,4022018,2014,Organic Fraction (t),"37,195",1
14,,4022019,2014,Organic Fraction (t),"36,059",1
15,,4022020,2014,Organic Fraction (t),"35,480",1
16,22021,4022021,2014,Organic Fraction (t),"34,766",1
17,22022,4022022,2014,Organic Fraction (t),"972,191",1
18,,4022023,2014,Organic Fraction (t),"115,955",1
19,,4022024,2014,Organic Fraction (t),"31,314",1
20,22025,4022025,2014,Organic Fraction (t),"492,728",1
21,22026,4022026,2014,Organic Fraction (t),"24,539",1
22,,4022027,2014,Organic Fraction (t),"73,803",1
23,,4022028,2014,Organic Fraction (t),"3,548",1
24,22029,4022029,2014,Organic Fraction (t),"44,718",1
25,,4022030,2014,Organic Fraction (t),"33,090",1
26,,4022031,2014,Organic Fraction (t),"177,762",1
27,22032,4022032,2014,Organic Fraction (t),"289,482",1
28,22033,4022033,2014,Organic Fraction (t),"52,344",1
29,22034,4022034,2014,Organic Fraction (t),"552,207",1
30,22035,4022035,2014,Organic Fraction (t),"197,695",1
31,22036,4022036,2014,Organic Fraction (t),"274,193",1
32,22037,4022037,2014,Organic Fraction (t),"140,542",1
33,22038,4022038,2014,Organic Fraction (t),"141,751",1
34,22039,4022039,2014,Organic Fraction (t),"689,817",1
35,22040,4022040,2014,Organic Fraction (t),"101,505",1
36,,4022041,2014,Organic Fraction (t),"305,535",1
37,22042,4022042,2014,Organic Fraction (t),"103,044",1
