id,latitude,longitude,name,cuisine,operator,street,city,postcode,housenumber,website,phone,email,type
FnD_id_247887464,46.0718261,11.1404686,Dal Boccia,pasta;pizza;regional;seafood,,Via degli Alberti Poja,,38121-38123,13,,+39 0461 437903,,restaurant:pasta;pizza;regional;seafood
FnD_id_258441546,45.9171651,11.0531014,"Pizzeria ""Le palme""",pizza,,Via Panizza,,,56,,+39 0464 411201,,restaurant:pizza
FnD_id_259973562,46.1096102,11.1402622,Il bosco incantato,,,Via del Lavaron,Trento,,2,,+39 0461 960826,,restaurant
FnD_id_260573164,46.2730274,11.4165704,Bar Sport,,,,,,,,,,bar
FnD_id_261081650,46.280372,11.4349689,Bar La Torre,,,,,,,,,,cafe
FnD_id_261081683,46.2789911,11.4354671,Agritur,,,,,,,,,,restaurant
FnD_id_261086637,46.2712502,11.417343,Pizzeria La Ruota,,,,,,,,,,restaurant
FnD_id_261086638,46.2814562,11.4346433,Bar caffè Castello,,,Via Roma,,,9,,+39 0462 340033,,cafe
FnD_id_261664578,46.285474,11.5420016,,,,,,,,,,,pub
FnD_id_267649391,46.2148653,11.1168418,Crown,pizza,,Via Fratelli Grandi,Mezzocorona,38016,,,,,restaurant:pizza
FnD_id_268401562,46.0677279,11.1210128,Caffè Portici,,Filippo Aldo,Piazza del Duomo,Trento,38122,40,,+39 0461 092622,,cafe
FnD_id_268401567,46.0677511,11.1220676,Bar Pasi,,Botto W. s.n.c.,Piazza Mario Pasi,Trento,38122,1,,+39 0461 982301,barpasi.tn@gmail.com,cafe
FnD_id_268421250,46.0856765,11.2153436,Ristorante Argentino ¨Sapori di Patagonia¨,,,,,,,,,,restaurant
FnD_id_268430904,46.0674055,11.1243864,Dalla Sora Giovanna,,La & Gio Srls,Via Roggia Grande,Trento,38122,8,https://dallasoragiovanna.it/,+39 0461 095967,,restaurant
FnD_id_268430906,46.0672711,11.1256418,PatriK,,,,,,,,,,bar
FnD_id_268430908,46.067111,11.1242606,Jo Bar,,,Via Calepina,Trento,38122,29,,,,cafe
FnD_id_268432521,46.066267,11.1229923,Trattoria Al Tino,,,Via Santissima Trinitá,Trento,38122,10,,,,restaurant
