id,name,latitude,longitude,memorial_type,type,inscription
memorial_id_64776777,Kaiserschuetzen 1917,45.9368351,11.0951798,war_memorial,memorial:war_memorial,
monument_id_248947102,Monumento ad Alcide Degasperi,46.0678336,11.1275793,,monument,
memorial_id_268437617,Caduti della Resistenza in Albania,46.0660591,11.1255131,statue,memorial:statue,
memorial_id_269894250,Unnamed,45.8857878,10.8435203,bust,memorial:bust,
memorial_id_269894274,San Giovanni Napomuceno,45.884126,10.8391446,statue,memorial:statue,
monument_id_270099585,Campana dei Caduti,45.8740208,11.0389098,,monument,
memorial_id_276248562,Monumento ai Caduti,46.1310995,11.2463352,war_memorial,memorial:war_memorial,
memorial_id_292751346,Theodor Christomannos,46.413825,11.6230151,,memorial,
monument_id_298491630,Castel Saiori,45.8003546,11.0058349,,castle,
monument_id_302099274,Castello di Arco,45.9224802,10.8881639,,castle,
memorial_id_306399106,Unnamed,45.8797994,11.0413851,,memorial,
monument_id_307705093,Castel Corno,45.8891533,10.9916134,,castle,
memorial_id_322065419,Armistizio del 29-10-1918,45.8180301,11.0111764,,memorial,
monument_id_322071391,Madonna del Cacciatore,45.7904782,11.0331347,,monument,
memorial_id_323204092,Unnamed,45.9029325,10.8608405,,memorial,
memorial_id_335605395,Monumento alle Guide Alpine,46.230711,10.8274004,sculpture,memorial:sculpture,
monument_id_335647222,Monumento ai Caduti,45.8885145,10.6702788,,monument,
monument_id_364991102,Madonnina del Lago,45.9524269,11.0196472,,monument,
memorial_id_379532622,Unnamed,45.8643541,10.8854771,,memorial,
memorial_id_402814579,Monumento ai caduti,45.8579426,10.8993094,,memorial,
memorial_id_412834792,Cros dei Francesi,46.1706715,11.0613118,,memorial,
memorial_id_430368127,Memoriale Cesare Battisti e Fabio Filzi,45.8146632,11.124656,,memorial,
memorial_id_469267431,Unnamed,45.7694743,10.9662699,,memorial,
memorial_id_520498906,Monumento ai caduti,45.7992343,11.179623,,memorial,
monument_id_520499052,Tomba Generale Vittorio Emanuele Rossi,45.7938002,11.1844281,,monument,
monument_id_520499474,Arco Romano,45.7926983,11.1854947,,monument,
memorial_id_540427490,Unnamed,45.9237397,10.6986613,,memorial,
monument_id_552935671,Castello di Segonzano,46.1865692,11.2513554,,castle,
memorial_id_616567418,Monumento ai caduti,45.8388729,10.9701187,,memorial,
memorial_id_672805949,Adelpreto,45.8968793,11.0433165,,memorial,
memorial_id_675334487,Monumento ai caduti,46.0492721,11.1439881,,memorial,
memorial_id_701422166,Monumento ai caduti,45.8502703,10.8235693,obelisk,memorial:obelisk,
monument_id_721098590,Cimitero militare monumentale austroungarico,46.0009878,10.6940124,,monument,
memorial_id_734227540,Unnamed,45.8718338,10.774629,stele,memorial:stele,
memorial_id_736936486,Kaiserschützen memorial,45.8279358,11.0518275,,memorial,
memorial_id_739372013,Monumento ai Caduti,46.1518003,11.7975542,,memorial,
memorial_id_748783526,Monumento dei caduti,45.8175742,10.9559581,sculpture,memorial:sculpture,
